Repo,File,Scope,Extension,LineStart,LineEnd,Label,ValueStart,ValueEnd,Info,Category
0401c075,0795adfe,/conf/,.ini,4,4,T,9,21,,Password
0401c075,0795adfe,/conf/,.ini,8,8,T,9,19,,Password
0401c075,6489c9cc,/test/src/,.cpp,54,54,F,1,35,,Other
0401c075,6489c9cc,/test/src/,.cpp,62,62,F,1,35,,Other
0401c075,6489c9cc,/test/src/,.cpp,61,61,F,1,35,,Other
0401c075,a1676f19,/src/,.c,3150,3150,T,18,26,,URL Credentials
0401c075,a1676f19,/src/,.c,3354,3354,F,,,,Password
0401c075,a1676f19,/src/,.c,3152,3152,F,,,,Password
0401c075,a1676f19,/src/,.c,2037,2037,F,,,,Password
0401c075,a1676f19,/src/,.c,3051,3051,F,,,,Password
0401c075,a1676f19,/src/,.c,3307,3307,F,,,,Password
0401c075,a1676f19,/src/,.c,3301,3301,F,,,,Password
0401c075,a1676f19,/src/,.c,3346,3346,F,,,,Password
0401c075,a1676f19,/src/,.c,2766,2766,F,,,,Password
0401c075,a1676f19,/src/,.c,2548,2548,F,,,,Password
0401c075,a1676f19,/src/,.c,3192,3192,F,,,,Password
0401c075,a1676f19,/src/,.c,3167,3167,F,,,,Password
0401c075,a1676f19,/src/,.c,3357,3357,F,,,,Password
0401c075,a1676f19,/src/,.c,2549,2549,F,,,,Password
0401c075,a1676f19,/src/,.c,3363,3363,F,,,,Password
0401c075,a1676f19,/src/,.c,3352,3352,F,,,,Password
