Id,FileID,Domain,RepoName,FilePath,LineStart,LineEnd,GroundTruth,ValueStart,ValueEnd,CryptographyKey,PredefinedPattern,Category
71436,5b74a8e2,GitHub,0436af4a,data/0436af4a/src/5b74a8e2.cs,13,13,T,52,84,,,Secret:Auth
71437,5b74a8e2,GitHub,0436af4a,data/0436af4a/src/5b74a8e2.cs,15,15,F,46,64,,id,Auth
71438,5b74a8e2,GitHub,0436af4a,data/0436af4a/src/5b74a8e2.cs,16,16,T,50,82,,,Secret:Auth
71441,76af6e50,GitHub,0436af4a,data/0436af4a/src/76af6e50.cs,17,17,T,49,89,,,Secret:Auth
71444,4433e6a4,GitHub,0436af4a,data/0436af4a/test/src/client/4433e6a4.cs,210,210,T,37,47,,,Auth
71445,17ed1848,GitHub,0436af4a,data/0436af4a/conf/docs/17ed1848.md,318,318,T,58,66,,,URL Credentials
71446,4663e076,GitHub,0436af4a,data/0436af4a/docs/4663e076.md,39,39,T,26,36,,,Credential
71447,4663e076,GitHub,0436af4a,data/0436af4a/docs/4663e076.md,65,65,X,26,31,,,Credential
71448,a9108d0e,GitHub,0436af4a,data/0436af4a/docs/a9108d0e.md,730,730,F,37,50,,,Credential
71449,94b788c0,GitHub,0436af4a,data/0436af4a/docs/94b788c0.md,77,77,F,20,56,,id,Auth:UUID
71450,94b788c0,GitHub,0436af4a,data/0436af4a/docs/94b788c0.md,78,78,T,24,44,,,Secret:Auth
71452,a9108d0e,GitHub,0436af4a,data/0436af4a/docs/a9108d0e.md,387,387,T,38,46,,,Password:URL Credentials
71453,a9108d0e,GitHub,0436af4a,data/0436af4a/docs/a9108d0e.md,724,724,F,34,47,,,Credential
71454,a9108d0e,GitHub,0436af4a,data/0436af4a/docs/a9108d0e.md,914,914,F,32,37,,,Credential
71455,a9108d0e,GitHub,0436af4a,data/0436af4a/docs/a9108d0e.md,920,920,F,35,40,,,Credential
71456,a9108d0e,GitHub,0436af4a,data/0436af4a/docs/a9108d0e.md,1007,1007,T,27,67,,,Secret
71457,a9108d0e,GitHub,0436af4a,data/0436af4a/docs/a9108d0e.md,1013,1013,T,30,70,,,Secret
71460,c7cee009,GitHub,0436af4a,data/0436af4a/conf/docs/c7cee009.md,52,52,F,17,27,,,URL Credentials
71461,031868ed,GitHub,0436af4a,data/0436af4a/src/code/031868ed.axaml,5,5,F,88,95,,,Credential
71462,0a5f84be,GitHub,0436af4a,data/0436af4a/src/0a5f84be.axaml,5,5,F,76,83,,,Credential
71463,0f5653ad,GitHub,0436af4a,data/0436af4a/src/0f5653ad.cs,27,27,F,51,56,,,Credential
71464,b8e838d1,GitHub,0436af4a,data/0436af4a/src/b8e838d1.cs,153,153,F,38,68,,,Password
71465,2570e05e,GitHub,0436af4a,data/0436af4a/src/2570e05e.cs,189,189,F,78,87,,,Auth
71466,b470d7e1,GitHub,0436af4a,data/0436af4a/src/b470d7e1.axaml,5,5,F,81,88,,,Credential
71467,ec08ec22,GitHub,0436af4a,data/0436af4a/src/ec08ec22.axaml,6,6,F,89,96,,,Credential
71468,aac28416,GitHub,0436af4a,data/0436af4a/src/aac28416.cs,13,13,F,36,53,,,API
71469,ef52c2b8,GitHub,0436af4a,data/0436af4a/test/src/ef52c2b8.cs,73,73,T,37,47,,,Password
71470,5b74a8e2,GitHub,0436af4a,data/0436af4a/src/5b74a8e2.cs,12,12,F,48,66,,id,Auth
71471,6d6c3e78,GitHub,0436af4a,data/0436af4a/src/6d6c3e78.cs,15,15,F,47,51,,,Auth
71472,6d6c3e78,GitHub,0436af4a,data/0436af4a/src/6d6c3e78.cs,34,34,F,60,70,,,Credential
71473,6d6c3e78,GitHub,0436af4a,data/0436af4a/src/6d6c3e78.cs,35,35,F,41,46,,,API
71474,6d6c3e78,GitHub,0436af4a,data/0436af4a/src/6d6c3e78.cs,97,97,F,57,72,,,Auth
71475,6d6c3e78,GitHub,0436af4a,data/0436af4a/src/6d6c3e78.cs,110,110,F,60,79,,,Auth
71476,6d6c3e78,GitHub,0436af4a,data/0436af4a/src/6d6c3e78.cs,129,129,F,66,70,,,Auth
71477,76af6e50,GitHub,0436af4a,data/0436af4a/src/76af6e50.cs,14,14,F,45,65,,id,Auth
71478,80495516,GitHub,0436af4a,data/0436af4a/src/80495516.cs,15,15,F,65,69,,,Auth
71479,80495516,GitHub,0436af4a,data/0436af4a/src/80495516.cs,38,38,F,62,66,,,Auth
71480,847e8b11,GitHub,0436af4a,data/0436af4a/src/847e8b11.cs,100,100,F,,,,,Credential
71481,8afb953c,GitHub,0436af4a,data/0436af4a/src/8afb953c.cs,89,89,F,30,60,,,Password
71482,b3c52f34,GitHub,0436af4a,data/0436af4a/src/b3c52f34.cs,10,10,F,53,71,,,Password
71483,b3c52f34,GitHub,0436af4a,data/0436af4a/src/b3c52f34.cs,22,22,F,62,66,,,Credential
71484,c08e419d,GitHub,0436af4a,data/0436af4a/src/c08e419d.cs,12,12,F,45,109,,id,Auth
71485,c08e419d,GitHub,0436af4a,data/0436af4a/src/c08e419d.cs,13,13,T,49,113,,,Secret:Auth
71486,cfa449d4,GitHub,0436af4a,data/0436af4a/src/cfa449d4.cs,19,19,F,38,57,,,API
71487,fdddb9a4,GitHub,0436af4a,data/0436af4a/src/assets/fdddb9a4.axaml,8,8,F,35,39,,,Key
71488,dbd51584,GitHub,0436af4a,data/0436af4a/_/dbd51584.config,5,5,F,14,19,,,Key
71489,e4cc8527,GitHub,0436af4a,data/0436af4a/src/e4cc8527.cs,11,11,F,59,81,,,Auth
71490,e4cc8527,GitHub,0436af4a,data/0436af4a/src/e4cc8527.cs,16,16,F,55,78,,,Auth
71491,f61a26b2,GitHub,0436af4a,data/0436af4a/src/f61a26b2.cs,145,145,F,67,71,,,Auth
71492,f6243fe6,GitHub,0436af4a,data/0436af4a/src/f6243fe6.cs,60,60,F,35,53,,,Password
71493,f638e9ab,GitHub,0436af4a,data/0436af4a/src/f638e9ab.cs,209,209,F,36,48,,,Password
71494,f7748e5d,GitHub,0436af4a,data/0436af4a/src/secret/f7748e5d.cs,308,308,F,37,49,,,Key
71495,f7748e5d,GitHub,0436af4a,data/0436af4a/src/secret/f7748e5d.cs,309,309,F,37,49,,,Key
71496,f81b05db,GitHub,0436af4a,data/0436af4a/src/f81b05db.cs,45,45,F,67,74,,,Auth
71497,04875bc3,GitHub,0436af4a,data/0436af4a/test/src/04875bc3.cs,273,273,F,67,76,,,Key
71498,116226b2,GitHub,0436af4a,data/0436af4a/test/src/116226b2.cs,274,274,T,32,43,,,Password
71499,1cf81e7e,GitHub,0436af4a,data/0436af4a/test/src/1cf81e7e.cs,295,295,F,51,56,,,Credential
71500,1cf81e7e,GitHub,0436af4a,data/0436af4a/test/src/1cf81e7e.cs,433,433,T,36,46,,,Password
71501,1cf81e7e,GitHub,0436af4a,data/0436af4a/test/src/1cf81e7e.cs,476,476,T,36,46,,,Password
71502,2c05a92b,GitHub,0436af4a,data/0436af4a/test/src/server/2c05a92b.cs,111,111,F,90,100,,,Auth
71503,2c05a92b,GitHub,0436af4a,data/0436af4a/test/src/server/2c05a92b.cs,405,405,F,55,61,,,Auth
71504,dc9185d3,GitHub,0436af4a,data/0436af4a/test/src/dc9185d3.cs,23,23,T,41,51,,,Password
71505,4433e6a4,GitHub,0436af4a,data/0436af4a/test/src/client/4433e6a4.cs,15,15,T,49,81,,,Secret
71506,4433e6a4,GitHub,0436af4a,data/0436af4a/test/src/client/4433e6a4.cs,145,145,T,45,55,,,Auth
71507,4433e6a4,GitHub,0436af4a,data/0436af4a/test/src/client/4433e6a4.cs,284,284,F,48,57,,,Token
