Id,FileID,Domain,RepoName,FilePath,LineStart,LineEnd,GroundTruth,ValueStart,ValueEnd,CryptographyKey,PredefinedPattern,Category
1002418,b3356305,GitHub,0ce78112,data/0ce78112/other/b3356305.md,49,49,T,62,68,,,Password
1002419,6bc48d10,GitHub,0ce78112,data/0ce78112/src/6bc48d10.yml,5,5,T,13,19,,,Password
1004815,e4acf921,GitHub,0ce78112,data/0ce78112/src/e4acf921.yml,18,18,T,26,32,,,Password
1000005,f08277bb,GitHub,0ce78112,data/0ce78112/other/f08277bb,21,21,F,28,34,,,Key
1000006,06b6094c,GitHub,0ce78112,data/0ce78112/src/06b6094c.py,291,291,F,27,45,,,Token
1000007,06b6094c,GitHub,0ce78112,data/0ce78112/src/06b6094c.py,292,292,F,31,37,,,Key
1002405,ee2febb0,GitHub,0ce78112,data/0ce78112/src/ee2febb0.py,199,199,F,27,33,,,API
1002406,ee2febb0,GitHub,0ce78112,data/0ce78112/src/ee2febb0.py,231,231,F,33,39,,,API
1002407,ee2febb0,GitHub,0ce78112,data/0ce78112/src/ee2febb0.py,292,292,F,38,44,,,Token
1112556,ee2febb0,GitHub,0ce78112,data/0ce78112/src/ee2febb0.py,292,292,F,61,67,,,API
1112657,ee2febb0,GitHub,0ce78112,data/0ce78112/src/ee2febb0.py,293,293,F,64,70,,,API
1002412,ee2febb0,GitHub,0ce78112,data/0ce78112/src/ee2febb0.py,674,674,F,53,59,,,API
1481065,2b56a3f9,GitHub,0ce78112,data/0ce78112/other/2b56a3f9.md,21,21,T,62,68,,,Password
1481066,2b56a3f9,GitHub,0ce78112,data/0ce78112/other/2b56a3f9.md,56,56,T,62,68,,,Password
