Id,FileID,Domain,RepoName,FilePath,LineStart,LineEnd,GroundTruth,ValueStart,ValueEnd,CryptographyKey,PredefinedPattern,Category
1861,c150a534,GitHub,0de15ccf,data/0de15ccf/test/c150a534.cs,146,146,F,,,,,Token
1862,c150a534,GitHub,0de15ccf,data/0de15ccf/test/c150a534.cs,429,429,F,,,,,Token
4033,c1d979e9,GitHub,0de15ccf,data/0de15ccf/test/c1d979e9.cs,81,81,F,,,,,Other
6862,90142aee,GitHub,0de15ccf,data/0de15ccf/sample/90142aee.cs,170,170,F,,,,,Other
7420,6efb3296,GitHub,0de15ccf,data/0de15ccf/test/6efb3296.cs,330,330,F,,,,,Token
7421,0ac525a5,GitHub,0de15ccf,data/0de15ccf/test/0ac525a5.cs,483,483,F,,,,,Token
9225,c150a534,GitHub,0de15ccf,data/0de15ccf/test/c150a534.cs,60,60,F,,,,,Credential
10828,92b13b04,GitHub,0de15ccf,data/0de15ccf/src/92b13b04.cs,140,140,F,,,,,Auth
10864,c150a534,GitHub,0de15ccf,data/0de15ccf/test/c150a534.cs,790,790,F,,,,,Token
10877,53c4ebe6,GitHub,0de15ccf,data/0de15ccf/test/53c4ebe6.cs,224,224,F,,,,,Token
10878,53c4ebe6,GitHub,0de15ccf,data/0de15ccf/test/53c4ebe6.cs,116,116,F,,,,,Token
10879,92b13b04,GitHub,0de15ccf,data/0de15ccf/src/92b13b04.cs,235,235,F,,,,,Auth
10880,92b13b04,GitHub,0de15ccf,data/0de15ccf/src/92b13b04.cs,255,255,F,,,,,Token
10884,92b13b04,GitHub,0de15ccf,data/0de15ccf/src/92b13b04.cs,146,146,F,,,,,Auth
11130,b57a669c,GitHub,0de15ccf,data/0de15ccf/sample/b57a669c.cs,22,22,F,,,,,Key
11217,92b13b04,GitHub,0de15ccf,data/0de15ccf/src/92b13b04.cs,125,125,F,,,,,Token
11785,5de9445c,GitHub,0de15ccf,data/0de15ccf/test/5de9445c.cs,364,364,F,,,,,Auth
11858,7c5b8970,GitHub,0de15ccf,data/0de15ccf/src/7c5b8970.cs,122,122,F,,,,,Auth
11896,75bb90f9,GitHub,0de15ccf,data/0de15ccf/sample/75bb90f9.cs,169,169,F,,,,,Secret
11897,75bb90f9,GitHub,0de15ccf,data/0de15ccf/sample/75bb90f9.cs,168,168,F,,,,,Token
13289,0ac525a5,GitHub,0de15ccf,data/0de15ccf/test/0ac525a5.cs,676,676,F,,,,,Token
13430,7f0527c7,GitHub,0de15ccf,data/0de15ccf/src/7f0527c7.cs,22,22,F,,,,,Auth
13437,5de9445c,GitHub,0de15ccf,data/0de15ccf/test/5de9445c.cs,20,20,F,,,,,Auth
13441,7c5b8970,GitHub,0de15ccf,data/0de15ccf/src/7c5b8970.cs,15,15,F,,,,,Auth
13442,92b13b04,GitHub,0de15ccf,data/0de15ccf/src/92b13b04.cs,22,22,F,,,,,Auth
13443,7f0527c7,GitHub,0de15ccf,data/0de15ccf/src/7f0527c7.cs,12,12,F,,,,,Auth
13540,61425e60,GitHub,0de15ccf,data/0de15ccf/src/61425e60.cs,17,17,F,,,,,Auth
13541,61425e60,GitHub,0de15ccf,data/0de15ccf/src/61425e60.cs,14,14,F,,,,,Auth
13626,2510e192,GitHub,0de15ccf,data/0de15ccf/src/2510e192.cs,101,101,F,,,,,Secret
13642,53c4ebe6,GitHub,0de15ccf,data/0de15ccf/test/53c4ebe6.cs,250,250,F,,,,,Token
13643,53c4ebe6,GitHub,0de15ccf,data/0de15ccf/test/53c4ebe6.cs,141,141,F,,,,,Token
14743,5de9445c,GitHub,0de15ccf,data/0de15ccf/test/5de9445c.cs,22,22,F,,,,,Auth
16124,616469c5,GitHub,0de15ccf,data/0de15ccf/src/616469c5.json,255,255,F,,,,,Auth
16291,616469c5,GitHub,0de15ccf,data/0de15ccf/src/616469c5.json,265,265,F,,,,,Auth
16308,616469c5,GitHub,0de15ccf,data/0de15ccf/src/616469c5.json,299,299,F,,,,,Auth
