Repo,File,Scope,Extension,LineStart,LineEnd,Label,ValueStart,ValueEnd,Info,Category
23689bd1,057249c6,/src/,.ts,53,53,F,-1,-1,,Key
23689bd1,057249c6,/src/,.ts,43,43,F,16,199,,JSON Web Token
23689bd1,05a177a1,/src/,.ts,107,107,F,-1,-1,,Key
23689bd1,05a177a1,/src/,.ts,95,95,F,-1,-1,,Key
23689bd1,05a177a1,/src/,.ts,57,57,F,-1,-1,,Other
23689bd1,05a177a1,/src/,.ts,137,137,F,-1,-1,,Key
23689bd1,05a177a1,/src/,.ts,128,128,F,-1,-1,,Key
23689bd1,06379b12,/src/browser/,.ts,1,1,F,-1,-1,,Key
23689bd1,08196980,/src/browser/,.ts,51,51,F,-1,-1,,Key
23689bd1,08196980,/src/browser/,.ts,65,65,F,-1,-1,,Key
23689bd1,0b6fdfa1,/test/,.mjs,46,46,F,,,,Token
23689bd1,0b6fdfa1,/test/,.mjs,41,41,F,-1,-1,,Other
23689bd1,0b6fdfa1,/test/,.mjs,39,39,F,-1,-1,,Other
23689bd1,0b6fdfa1,/test/,.mjs,40,40,F,-1,-1,,Other
23689bd1,0b6fdfa1,/test/,.mjs,41,42,T,12,17,,JWK
23689bd1,0bed5c4b,/src/,.ts,291,291,F,-1,-1,,Key
23689bd1,0bed5c4b,/src/,.ts,177,177,F,-1,-1,,Key
23689bd1,0d4ae775,/src/secret/,.ts,4,4,F,,,,Secret
23689bd1,1407312b,/test/secure/,.mjs,20,20,F,17,73,JSON Web Token,JSON Web Token
23689bd1,1407312b,/test/secure/,.mjs,36,36,F,-1,-1,,Other
23689bd1,1407312b,/test/secure/,.mjs,41,41,F,35,92,,JSON Web Token
23689bd1,23c7d6d0,/src/,.ts,79,79,F,,,,Token
23689bd1,23c7d6d0,/src/,.ts,140,140,F,-1,-1,,Other
23689bd1,23c7d6d0,/src/,.ts,141,141,F,-1,-1,,Other
23689bd1,23c7d6d0,/src/,.ts,147,147,F,-1,-1,,Other
23689bd1,23c7d6d0,/src/,.ts,130,130,T,50,114,,Secret:Key
23689bd1,23c7d6d0,/src/,.ts,107,107,F,,,,Dropbox App secret
23689bd1,23c7d6d0,/src/,.ts,524,524,F,,,,Secret
23689bd1,23c7d6d0,/src/,.ts,130,130,F,43,49,,Key
23689bd1,2ee482d5,/src/,.ts,79,79,F,-1,-1,,Key
23689bd1,2ee482d5,/src/,.ts,49,49,F,-1,-1,,Key:Gitlab Feed Token
23689bd1,2ee482d5,/src/,.ts,23,23,F,-1,-1,,Other
23689bd1,2ee482d5,/src/,.ts,39,39,F,16,526,,JSON Web Token
23689bd1,2f419657,/src/,.ts,16,16,F,-1,-1,,Key
23689bd1,2f419657,/src/,.ts,17,17,F,-1,-1,,Key
23689bd1,3220d10c,/test/,.mjs,47,47,F,22,65,,Other
23689bd1,3220d10c,/test/,.mjs,25,25,F,22,65,,Other
23689bd1,3220d10c,/test/,.mjs,35,35,F,22,65,,Other
23689bd1,3220d10c,/test/,.mjs,23,23,F,-1,-1,,Other
23689bd1,3220d10c,/test/,.mjs,34,34,F,20,95,,Other
23689bd1,3220d10c,/test/,.mjs,46,46,F,20,95,,Other
23689bd1,35fcd6a1,/src/,.ts,62,62,F,-1,-1,,Key
23689bd1,35fcd6a1,/src/,.ts,45,45,F,-1,-1,,Other
23689bd1,3ba90705,/docs/,.md,30,30,T,22,364,,Key
23689bd1,3ba90705,/docs/,.md,51,51,F,,,,Gitlab Feed Token
23689bd1,3ba90705,/docs/,.md,27,27,F,14,65,,JSON Web Token
23689bd1,3d9ad018,/src/,.ts,50,50,F,-1,-1,,Key
23689bd1,3d9ad018,/src/,.ts,40,40,F,,,,Token
23689bd1,3d9ad018,/src/,.ts,29,29,T,16,401,JSON Web Token,Azure Access Token:JSON Web Token
23689bd1,42aebf04,/src/code/util/,.ts,29,29,F,,,,Token
23689bd1,46fe33af,/docs/,.md,24,24,F,12,87,,Other
23689bd1,49e2e9d5,/test/,.mjs,143,143,F,14,89,,Other
23689bd1,49e2e9d5,/test/,.mjs,116,116,F,14,57,,Other
23689bd1,49e2e9d5,/test/,.mjs,154,154,F,14,89,,Other
23689bd1,49e2e9d5,/test/,.mjs,127,127,F,14,57,,Other
23689bd1,49e2e9d5,/test/,.mjs,142,142,F,14,89,,Other
23689bd1,49e2e9d5,/test/,.mjs,115,115,F,14,57,,Other
23689bd1,49e2e9d5,/test/,.mjs,101,101,F,-1,-1,,Key
23689bd1,49e2e9d5,/test/,.mjs,121,121,F,-1,-1,,Key
23689bd1,49e2e9d5,/test/,.mjs,148,148,F,-1,-1,,Key
23689bd1,4a87b210,/src/,.ts,70,70,F,-1,-1,,Key
23689bd1,4a87b210,/src/,.ts,67,67,F,-1,-1,,Key
23689bd1,4b52b21e,/src/,.ts,68,68,F,-1,-1,,Key
23689bd1,4b52b21e,/src/,.ts,71,71,F,-1,-1,,Key
23689bd1,4b52b21e,/src/,.ts,99,99,F,-1,-1,,Key
23689bd1,4b52b21e,/src/,.ts,11,11,F,-1,-1,,Key
23689bd1,4b52b21e,/src/,.ts,17,17,F,-1,-1,,Key
23689bd1,4b52b21e,/src/,.ts,8,8,F,-1,-1,,Key
23689bd1,4b52b21e,/src/,.ts,42,42,F,-1,-1,,Key
23689bd1,4b52b21e,/src/,.ts,26,26,F,-1,-1,,Key
23689bd1,4b52b21e,/src/,.ts,14,14,F,-1,-1,,Key
23689bd1,4b52b21e,/src/,.ts,20,20,F,-1,-1,,Key
23689bd1,4b52b21e,/src/,.ts,23,23,F,-1,-1,,Key
23689bd1,4b52b21e,/src/,.ts,35,35,F,-1,-1,,Key
23689bd1,4b52b21e,/src/,.ts,51,51,F,-1,-1,,Key
23689bd1,4bd1eeae,/src/,.ts,77,77,F,-1,-1,,Key
23689bd1,4bd1eeae,/src/,.ts,56,56,F,-1,-1,,Key
23689bd1,4bd1eeae,/src/,.ts,53,53,F,-1,-1,,Key
23689bd1,5211fcfa,/test/,.mjs,143,143,F,-1,-1,,Key
23689bd1,5211fcfa,/test/,.mjs,131,131,F,-1,-1,,Key
23689bd1,5211fcfa,/test/,.mjs,136,136,F,-1,-1,,Key
23689bd1,5211fcfa,/test/,.mjs,123,123,F,-1,-1,,Key
23689bd1,5211fcfa,/test/,.mjs,126,126,F,-1,-1,,Key
23689bd1,5211fcfa,/test/,.mjs,41,41,F,25,68,,Other
23689bd1,5211fcfa,/test/,.mjs,42,42,F,25,68,,Other
23689bd1,5211fcfa,/test/,.mjs,55,55,F,12,55,,Other
23689bd1,5211fcfa,/test/,.mjs,251,251,F,10,86,,Other
23689bd1,5211fcfa,/test/,.mjs,244,244,F,10,53,,Other
23689bd1,5211fcfa,/test/,.mjs,258,258,F,10,53,,Other
23689bd1,5211fcfa,/test/,.mjs,265,265,F,10,85,,Other
23689bd1,5211fcfa,/test/,.mjs,234,234,F,10,53,,Other
23689bd1,5211fcfa,/test/,.mjs,250,250,F,10,86,,Other
23689bd1,5211fcfa,/test/,.mjs,243,243,F,10,53,,Other
23689bd1,5211fcfa,/test/,.mjs,232,232,F,10,53,,Other
23689bd1,5211fcfa,/test/,.mjs,264,264,F,10,85,,Other
23689bd1,5211fcfa,/test/,.mjs,257,257,F,10,53,,Other
23689bd1,5211fcfa,/test/,.mjs,233,233,F,10,53,,Other
23689bd1,5211fcfa,/test/,.mjs,82,82,F,-1,-1,,Other
23689bd1,5211fcfa,/test/,.mjs,172,172,F,-1,-1,,Other
23689bd1,5211fcfa,/test/,.mjs,154,154,F,-1,-1,,Other
23689bd1,5211fcfa,/test/,.mjs,179,179,F,-1,-1,,Other
