Id,FileID,Domain,RepoName,FilePath,LineStart,LineEnd,GroundTruth,ValueStart,ValueEnd,CryptographyKey,PredefinedPattern,Category
11536745,a288500e,GitHub,2e00b328,data/2e00b328/src/script/a288500e.ksh,4,4,T,5,49,,,SonarQube Credentials
11536746,6bd02b7c,GitHub,2e00b328,data/2e00b328/src/script/6bd02b7c.sh,4,4,T,5,49,,,SonarQube Credentials
11536747,c85ce304,GitHub,2e00b328,data/2e00b328/src/script/c85ce304.ps1,2,2,T,12,56,,,SonarQube Credentials
11536748,038ff36f,GitHub,2e00b328,data/2e00b328/src/script/038ff36f.bash,4,4,T,5,49,,,SonarQube Credentials
11536749,0743c9c0,GitHub,2e00b328,data/2e00b328/test/client/build/0743c9c0.cs,54,54,T,41,61,,,Basic Authorization
11536750,ba458cdb,GitHub,2e00b328,data/2e00b328/src/script/ba458cdb.zsh,4,4,T,5,49,,,SonarQube Credentials
11536751,8ebb233e,GitHub,2e00b328,data/2e00b328/test/src/build/8ebb233e.java,65,65,T,48,53,,,Password
11536755,602fdca4,GitHub,2e00b328,data/2e00b328/src/602fdca4.conf,2,2,T,13,57,,,SonarQube Credentials:Token
11536756,83d57937,GitHub,2e00b328,data/2e00b328/src/resource/app/83d57937.properties,3,3,T,27,37,,,Password
11536757,97f01c1d,GitHub,2e00b328,data/2e00b328/conf/97f01c1d,2,2,T,12,56,,,SonarQube Credentials:Token
11536758,23529dd5,GitHub,2e00b328,data/2e00b328/src/resource/app/23529dd5.yaml,3,3,T,9,53,,,SonarQube Credentials:Token
11536759,6841cbe9,GitHub,2e00b328,data/2e00b328/src/6841cbe9.config,2,2,T,13,57,,,SonarQube Credentials:Token
11536760,7bee59bf,GitHub,2e00b328,data/2e00b328/src/7bee59bf.pem,2,2,T,13,57,,,SonarQube Credentials:Token
11536761,236e86fb,GitHub,2e00b328,data/2e00b328/src/resource/app/236e86fb.yml,3,3,T,9,53,,,SonarQube Credentials:Token
11536762,26c9c814,GitHub,2e00b328,data/2e00b328/test/build/26c9c814.cs,794,794,T,53,68,,,Password
11536763,26c9c814,GitHub,2e00b328,data/2e00b328/test/build/26c9c814.cs,382,382,F,181,,,,Password
11536764,26c9c814,GitHub,2e00b328,data/2e00b328/test/build/26c9c814.cs,786,786,T,77,85,,,Password
11536765,26c9c814,GitHub,2e00b328,data/2e00b328/test/build/26c9c814.cs,790,790,T,51,59,,,Password
11536766,26c9c814,GitHub,2e00b328,data/2e00b328/test/build/26c9c814.cs,791,791,F,51,,,,Password
11536767,26c9c814,GitHub,2e00b328,data/2e00b328/test/build/26c9c814.cs,793,793,F,53,65,,,Password
11536768,26c9c814,GitHub,2e00b328,data/2e00b328/test/build/26c9c814.cs,839,839,T,101,109,,,Password
11536769,26c9c814,GitHub,2e00b328,data/2e00b328/test/build/26c9c814.cs,877,877,T,87,95,,,Password
11536770,0743c9c0,GitHub,2e00b328,data/2e00b328/test/client/build/0743c9c0.cs,39,39,T,48,55,,,Password
