Id,FileID,Domain,RepoName,FilePath,LineStart,LineEnd,GroundTruth,WithWords,ValueStart,ValueEnd,InURL,InRuntimeParameter,CharacterSet,CryptographyKey,PredefinedPattern,VariableNameType,Entropy,Length,Base64Encode,HexEncode,URLEncode,Category
2682,2c4e1b47,GitHub,2e944350,data/2e944350/test/2c4e1b47.php,27,27,T,F,43,49,F,F,,,,,0,0,F,F,F,Password
3879,49aaa281,GitHub,2e944350,data/2e944350/test/49aaa281.md,21,21,Template,F,32,38,F,F,Any,,,Secret,2.58,6,F,F,F,Password
15991,9a02bb49,GitHub,2e944350,data/2e944350/src/9a02bb49.php,93,93,F,F,12,39,F,F,,,,,0,0,F,F,F,Password
16004,b9011659,GitHub,2e944350,data/2e944350/test/b9011659.php,38,38,F,F,,,F,F,,,,,0,0,F,F,F,Generic Secret
16005,f9a88d72,GitHub,2e944350,data/2e944350/test/f9a88d72.php,122,122,F,F,,,F,F,,,,,0,0,F,F,F,Generic Secret
16014,11fb7b50,GitHub,2e944350,data/2e944350/test/11fb7b50.php,33,33,F,F,,,F,F,,,,,0,0,F,F,F,Generic Secret
16136,8a66b4d5,GitHub,2e944350,data/2e944350/test/8a66b4d5.php,27,27,F,F,,,F,F,,,,,0,0,F,F,F,Generic Secret
16716,f573d804,GitHub,2e944350,data/2e944350/src/f573d804.php,96,96,F,F,,,F,F,,,,,0,0,F,F,F,Generic Token
16765,ac66bdfe,GitHub,2e944350,data/2e944350/test/ac66bdfe.php,36,36,F,F,,,F,F,,,,,0,0,F,F,F,Generic Token
18598,49aaa281,GitHub,2e944350,data/2e944350/test/49aaa281.md,52,52,F,F,,,F,F,,,,,0,0,F,F,F,Generic Token
21399,f9a88d72,GitHub,2e944350,data/2e944350/test/f9a88d72.php,95,95,F,F,,,F,F,,,,,0,0,F,F,F,Generic Secret
27387,49aaa281,GitHub,2e944350,data/2e944350/test/49aaa281.md,37,37,T,F,27,33,F,F,CharsOnly,,,Secret,2.58,6,F,F,F,Password
29117,32aff869,GitHub,2e944350,data/2e944350/test/32aff869.php,319,319,Template,F,20,26,F,F,CharsOnly,,,Token,2.25,6,F,F,F,Generic Token
35282,225a4e6d,GitHub,2e944350,data/2e944350/test/225a4e6d.crlf,1,27,T,T,,,F,F,Any,Private,,Unknown,2.53,31,F,F,F,Private Key
35323,3d8ce767,GitHub,2e944350,data/2e944350/test/3d8ce767.key,1,15,T,T,,,F,F,Any,Private,,Unknown,2.53,31,F,F,F,Private Key
46244,49aaa281,GitHub,2e944350,data/2e944350/test/49aaa281.md,51,51,Template,F,32,38,F,F,Any,,,Secret,2.58,6,F,F,F,Password
46245,49aaa281,GitHub,2e944350,data/2e944350/test/49aaa281.md,35,35,Template,F,32,38,F,F,Any,,,Secret,2.58,6,F,F,F,Password
55889,ac66bdfe,GitHub,2e944350,data/2e944350/test/ac66bdfe.php,71,71,F,F,,,F,F,,,,,0,0,F,F,F,Generic Token
82685,f9a88d72,GitHub,2e944350,data/2e944350/test/f9a88d72.php,154,154,F,F,15,19,F,F,,,,,0,0,F,F,F,Generic Secret
100958,f9a88d72,GitHub,2e944350,data/2e944350/test/f9a88d72.php,123,123,F,F,,,F,F,,,,,0.00,,F,F,F,Generic Secret
100959,f9a88d72,GitHub,2e944350,data/2e944350/test/f9a88d72.php,144,144,F,F,,,F,F,,,,,0.00,,F,F,F,Generic Secret
100961,f9a88d72,GitHub,2e944350,data/2e944350/test/f9a88d72.php,155,155,F,F,,,F,F,,,,,0.00,,F,F,F,Generic Secret
