Id,FileID,Domain,RepoName,FilePath,LineStart,LineEnd,GroundTruth,ValueStart,ValueEnd,CryptographyKey,PredefinedPattern,Category
2705,f79a6112,GitHub,353ae7fa,data/353ae7fa/test/f79a6112.go,25,25,F,,,,,Password
11935,5cb7e3a3,GitHub,353ae7fa,data/353ae7fa/test/5cb7e3a3.go,65,65,F,,,,,Password
17743,09499c9b,GitHub,353ae7fa,data/353ae7fa/src/09499c9b.go,92,92,F,,,,,Token
23554,f79a6112,GitHub,353ae7fa,data/353ae7fa/test/f79a6112.go,34,34,F,,,,,Password
23976,f79a6112,GitHub,353ae7fa,data/353ae7fa/test/f79a6112.go,33,33,F,,,,,Password
27089,b1018e0e,GitHub,353ae7fa,data/353ae7fa/test/b1018e0e.go,89,89,F,,,,,Password
29147,385fba82,GitHub,353ae7fa,data/353ae7fa/test/385fba82.go,33,33,Template,25,31,,,Password
29149,385fba82,GitHub,353ae7fa,data/353ae7fa/test/385fba82.go,53,53,Template,28,34,,,Password
29161,385fba82,GitHub,353ae7fa,data/353ae7fa/test/385fba82.go,52,52,Template,28,34,,,Password
34160,8504b5ae,GitHub,353ae7fa,data/353ae7fa/test/8504b5ae.go,89,89,T,26,43,,,Password
34231,8504b5ae,GitHub,353ae7fa,data/353ae7fa/test/8504b5ae.go,65,65,T,111,121,,,Token
34242,8504b5ae,GitHub,353ae7fa,data/353ae7fa/test/8504b5ae.go,73,73,T,12,22,,,Token
130553,4b0b3fde,GitHub,353ae7fa,data/353ae7fa/test/4b0b3fde.go,71,71,F,,,,,Password
