Repo,File,Scope,Extension,LineStart,LineEnd,Label,ValueStart,ValueEnd,Info,Category
369d561d,089432f9,/src/build/,.java,399,399,F,-1,-1,,Key
369d561d,1ac072ab,/src/,.java,312,312,F,-1,-1,,Key
369d561d,1ac072ab,/src/,.java,484,484,F,-1,-1,,Key
369d561d,2d505796,/test/src/,.java,75,75,F,-1,-1,,Key
369d561d,2d505796,/test/src/,.java,80,80,F,-1,-1,,Key
369d561d,2d505796,/test/src/,.java,61,61,F,-1,-1,,Key
369d561d,2d505796,/test/src/,.java,71,71,F,-1,-1,,Key
369d561d,2d505796,/test/src/,.java,66,66,F,-1,-1,,Key
369d561d,2d505796,/test/src/,.java,85,85,F,-1,-1,,Key
369d561d,2dbb3ba3,/src/cluster/,.java,445,445,F,-1,-1,,Key
369d561d,2dbb3ba3,/src/cluster/,.java,318,318,F,-1,-1,,Key
369d561d,2dbb3ba3,/src/cluster/,.java,463,463,F,-1,-1,,Key
369d561d,2dbb3ba3,/src/cluster/,.java,453,453,F,-1,-1,,Key
369d561d,2dbb3ba3,/src/cluster/,.java,470,470,F,-1,-1,,Key
369d561d,2ebec57d,/src/,.java,45,45,F,,,,API
369d561d,3b415c9a,/test/src/,.java,31,31,F,-1,-1,,Key
369d561d,3b415c9a,/test/src/,.java,84,84,F,-1,-1,,Key
369d561d,3ec09421,/src/,.java,82,82,F,-1,-1,,Key
369d561d,3ec09421,/src/,.java,140,140,F,-1,-1,,Key
369d561d,3ec09421,/src/,.java,226,226,F,-1,-1,,Key
369d561d,3f62e28a,/src/code/client/,.java,34,34,F,-1,-1,,Key
369d561d,3f62e28a,/src/code/client/,.java,38,38,F,-1,-1,,Key
369d561d,3f62e28a,/src/code/client/,.java,40,40,F,-1,-1,,Key
369d561d,3f62e28a,/src/code/client/,.java,37,37,F,-1,-1,,Key
369d561d,3f62e28a,/src/code/client/,.java,39,39,F,-1,-1,,Key
369d561d,3f62e28a,/src/code/client/,.java,36,36,F,,,,Key
369d561d,3f62e28a,/src/code/client/,.java,35,35,F,,,,Key
369d561d,4f724662,/test/src/,.java,56,56,F,-1,-1,,Key
369d561d,51fbefbc,/src/,.java,34,34,F,-1,-1,,Key
369d561d,5a1fa13c,/src/,.java,239,239,F,-1,-1,,Key
369d561d,5a1fa13c,/src/,.java,244,244,F,-1,-1,,Key
369d561d,7d147a18,/src/,.java,127,127,F,-1,-1,,Key
369d561d,7d147a18,/src/,.java,117,117,F,-1,-1,,Key
369d561d,7d147a18,/src/,.java,90,90,F,-1,-1,,Key
369d561d,7d147a18,/src/,.java,106,106,F,-1,-1,,Key
369d561d,8a039d2f,/src/local/,.java,291,291,F,-1,-1,,Key
369d561d,9999d280,/test/src/,.java,123,123,F,-1,-1,,Key
369d561d,9d019fae,/src/,.java,48,48,F,-1,-1,,Key
369d561d,a3409be5,/src/,.java,874,874,F,-1,-1,,Key
369d561d,a3409be5,/src/,.java,881,881,F,-1,-1,,Key
369d561d,a3409be5,/src/,.java,1056,1056,F,-1,-1,,Key
369d561d,a3409be5,/src/,.java,1070,1070,F,-1,-1,,Key
369d561d,a3409be5,/src/,.java,2021,2021,F,-1,-1,,Key
369d561d,a3409be5,/src/,.java,2130,2130,F,-1,-1,,Key
369d561d,a3409be5,/src/,.java,2904,2904,F,-1,-1,,Key
369d561d,a3409be5,/src/,.java,3067,3067,F,-1,-1,,Key
369d561d,aa37a9b2,/src/,.java,30,30,F,-1,-1,,Key
369d561d,c578a464,/test/src/,.java,15,15,F,-1,-1,,Key
369d561d,e2881744,/test/src/,.java,563,563,F,-1,-1,,Key
369d561d,e59217f7,/src/,.java,87,87,F,-1,-1,,Key
369d561d,e59217f7,/src/,.java,96,96,F,-1,-1,,Key
369d561d,e98f390d,/test/src/,.java,22,22,F,-1,-1,,Key
369d561d,e98f390d,/test/src/,.java,30,30,F,-1,-1,,Key
369d561d,ed5937ef,/src/,.java,713,713,F,-1,-1,,Key
369d561d,ee436366,/src/,.java,71,71,F,-1,-1,,Key
369d561d,efb2b8be,/src/,.java,212,212,F,-1,-1,,Key
369d561d,ff80a3d5,/test/src/,.java,16,16,F,-1,-1,,Key
