Id,FileID,Domain,RepoName,FilePath,LineStart:LineEnd,GroundTruth,WithWords,ValueStart,ValueEnd,InURL,InRuntimeParameter,CharacterSet,CryptographyKey,PredefinedPattern,VariableNameType,Entropy,Length,Base64Encode,HexEncode,URLEncode,Category
2023,ddfc3a6e,GitHub,387016a6,data/387016a6/other/k,42:42,F,F,,,F,F,,,,,0,0,F,F,F,
3090,b8da60f9,GitHub,387016a6,data/387016a6/test/et.java,287:287,F,F,,,F,F,,,,,0,0,F,F,F,
3091,d33ea6b4,GitHub,387016a6,data/387016a6/test/gl.java,33:33,F,F,,,F,F,,,,,0,0,F,F,F,
3800,61d0d876,GitHub,387016a6,data/387016a6/src/en.gradle,245:245,F,F,,,F,F,,,,,0,0,F,F,F,
3801,61d0d876,GitHub,387016a6,data/387016a6/src/en.gradle,248:248,F,F,,,F,F,,,,,0,0,F,F,F,
4081,a2972a9f,GitHub,387016a6,data/387016a6/test/eo.java,191:193,F,F,,,F,F,,,,,0,0,F,F,F,
4244,9923bc30,GitHub,387016a6,data/387016a6/test/eq.java,39:39,F,F,,,F,F,,,,,0,0,F,F,F,
4359,26b93822,GitHub,387016a6,data/387016a6/src/fv.java,685:685,F,F,,,F,F,,,,,0,0,F,F,F,
4514,d8325f6d,GitHub,387016a6,data/387016a6/test/ep.java,142:142,F,F,,,F,F,,,,,0,0,F,F,F,
4582,9ca7dd81,GitHub,387016a6,data/387016a6/src/l.bat,98:98,F,F,,,F,F,,,,,0,0,F,F,F,
5008,73cd6bff,GitHub,387016a6,data/387016a6/test/eu.java,290:290,F,F,,,F,F,,,,,0,0,F,F,F,
5026,913ba047,GitHub,387016a6,data/387016a6/src/hy.gradle,26:26,F,F,,,F,F,,,,,0,0,F,F,F,
5924,009084f7,GitHub,387016a6,data/387016a6/src/fr.gradle,4:4,F,F,,,F,F,,,,,0,0,F,F,F,
5926,df97e764,GitHub,387016a6,data/387016a6/src/ek.gradle,48:48,F,F,,,F,F,,,,,0,0,F,F,F,
5927,61d0d876,GitHub,387016a6,data/387016a6/src/en.gradle,56:56,F,F,,,F,F,,,,,0,0,F,F,F,
5929,61d0d876,GitHub,387016a6,data/387016a6/src/en.gradle,48:48,F,F,,,F,F,,,,,0,0,F,F,F,
5930,61d0d876,GitHub,387016a6,data/387016a6/src/en.gradle,40:40,F,F,,,F,F,,,,,0,0,F,F,F,
5931,61d0d876,GitHub,387016a6,data/387016a6/src/en.gradle,46:46,F,F,,,F,F,,,,,0,0,F,F,F,
5932,01b42f5f,GitHub,387016a6,data/387016a6/src/gg.gradle,40:40,F,F,,,F,F,,,,,0,0,F,F,F,
5933,01b42f5f,GitHub,387016a6,data/387016a6/src/gg.gradle,44:44,F,F,,,F,F,,,,,0,0,F,F,F,
5934,01b42f5f,GitHub,387016a6,data/387016a6/src/gg.gradle,42:42,F,F,,,F,F,,,,,0,0,F,F,F,
5935,01b42f5f,GitHub,387016a6,data/387016a6/src/gg.gradle,36:36,F,F,,,F,F,,,,,0,0,F,F,F,
5936,01b42f5f,GitHub,387016a6,data/387016a6/src/gg.gradle,32:32,F,F,,,F,F,,,,,0,0,F,F,F,
5937,01b42f5f,GitHub,387016a6,data/387016a6/src/gg.gradle,38:38,F,F,,,F,F,,,,,0,0,F,F,F,
6266,230b7df4,GitHub,387016a6,data/387016a6/test/gp.txt,33:33,F,F,,,F,F,,,,,0,0,F,F,F,
6267,230b7df4,GitHub,387016a6,data/387016a6/test/gp.txt,22:22,F,F,,,F,F,,,,,0,0,F,F,F,
6496,01b42f5f,GitHub,387016a6,data/387016a6/src/gg.gradle,34:34,F,F,,,F,F,,,,,0,0,F,F,F,
7513,d1c5edc1,GitHub,387016a6,data/387016a6/test/dw.yml,40:40,F,F,,,F,F,,,,,0,0,F,F,F,
7514,ce086542,GitHub,387016a6,data/387016a6/test/dt.yml,333:333,F,F,,,F,F,,,,,0,0,F,F,F,
