Id,FileID,Domain,RepoName,FilePath,LineStart,LineEnd,GroundTruth,ValueStart,ValueEnd,CryptographyKey,PredefinedPattern,Category
961,e1e2fdf9,GitHub,41659445,data/41659445/src/e1e2fdf9.jsx,7,7,F,,,,,Password
977,eb85e4f0,GitHub,41659445,data/41659445/test/eb85e4f0.ts,14,14,Template,56,66,,,Secret
1042,ea8c6e4c,GitHub,41659445,data/41659445/src/ea8c6e4c.jsx,3,3,F,,,,,Secret
1160,9620730d,GitHub,41659445,data/41659445/src/9620730d.ts,62,62,F,-1,-1,,,Key
1700,9b8a5f24,GitHub,41659445,data/41659445/src/9b8a5f24.ts,166,166,F,,,,,Token
1709,24f3148d,GitHub,41659445,data/41659445/other/24f3148d.md,46,46,F,,,,,Token
1712,36d43f8a,GitHub,41659445,data/41659445/other/36d43f8a.md,106,106,F,,,,,Token
1725,36d43f8a,GitHub,41659445,data/41659445/other/36d43f8a.md,104,104,F,,,,,Token
1726,36d43f8a,GitHub,41659445,data/41659445/other/36d43f8a.md,105,105,F,,,,,Token
5345,91fd135b,GitHub,41659445,data/41659445/src/91fd135b.ts,16,16,F,-1,-1,,,Key
6231,1b313185,GitHub,41659445,data/41659445/src/1b313185.ts,102,102,F,,,,,Secret
6233,1b313185,GitHub,41659445,data/41659445/src/1b313185.ts,90,90,F,,,,,Secret
6260,1b313185,GitHub,41659445,data/41659445/src/1b313185.ts,103,103,F,,,,,Secret
7439,eb85e4f0,GitHub,41659445,data/41659445/test/eb85e4f0.ts,124,124,Template,39,49,,,Secret
7512,18dda803,GitHub,41659445,data/41659445/test/18dda803.ts,15,15,F,,,,,Token
7572,0f0b2402,GitHub,41659445,data/41659445/src/0f0b2402.ts,282,282,F,,,,,Token
7676,1b313185,GitHub,41659445,data/41659445/src/1b313185.ts,79,79,F,,,,,Secret
8846,9b8a5f24,GitHub,41659445,data/41659445/src/9b8a5f24.ts,300,300,F,,,,,Secret
8848,0f0b2402,GitHub,41659445,data/41659445/src/0f0b2402.ts,93,93,F,,,,,Secret
8849,11c0c356,GitHub,41659445,data/41659445/src/11c0c356.ts,15,15,F,,,,,Secret
11527,1b313185,GitHub,41659445,data/41659445/src/1b313185.ts,119,119,F,,,,,Secret
11532,581f4cb0,GitHub,41659445,data/41659445/src/581f4cb0.js,24,24,F,-1,-1,,,Key
13350,eefd3209,GitHub,41659445,data/41659445/src/eefd3209.ts,251,251,F,,,,,Secret
13354,eefd3209,GitHub,41659445,data/41659445/src/eefd3209.ts,258,258,F,,,,,Secret
13395,9b8a5f24,GitHub,41659445,data/41659445/src/9b8a5f24.ts,284,284,F,,,,,Secret
13396,0f0b2402,GitHub,41659445,data/41659445/src/0f0b2402.ts,408,408,F,,,,,Secret
13397,eefd3209,GitHub,41659445,data/41659445/src/eefd3209.ts,237,237,F,,,,,Secret
13407,0f0b2402,GitHub,41659445,data/41659445/src/0f0b2402.ts,415,415,F,,,,,Secret
13408,eefd3209,GitHub,41659445,data/41659445/src/eefd3209.ts,244,244,F,,,,,Secret
13409,9b8a5f24,GitHub,41659445,data/41659445/src/9b8a5f24.ts,291,291,F,,,,,Secret
13410,0f0b2402,GitHub,41659445,data/41659445/src/0f0b2402.ts,428,428,F,,,,,Secret
13412,46250174,GitHub,41659445,data/41659445/src/46250174.ts,80,80,F,,,,,Secret
13413,d4a2a492,GitHub,41659445,data/41659445/src/d4a2a492.ts,136,136,F,,,,,Secret
13414,9620730d,GitHub,41659445,data/41659445/src/9620730d.ts,91,91,F,,,,,Secret
13416,9620730d,GitHub,41659445,data/41659445/src/9620730d.ts,95,95,F,,,,,Secret
13417,d4a2a492,GitHub,41659445,data/41659445/src/d4a2a492.ts,147,147,F,,,,,Secret
13499,0f0b2402,GitHub,41659445,data/41659445/src/0f0b2402.ts,436,436,F,,,,,Secret
15154,91fd135b,GitHub,41659445,data/41659445/src/91fd135b.ts,93,93,F,,,,,Secret
15382,a0f82dc2,GitHub,41659445,data/41659445/test/a0f82dc2.ts,153,153,F,,,,,Auth
15417,ffb36453,GitHub,41659445,data/41659445/test/ffb36453.ts,107,107,F,,,,,Auth
15563,0f0b2402,GitHub,41659445,data/41659445/src/0f0b2402.ts,340,340,F,,,,,Token
15564,0f0b2402,GitHub,41659445,data/41659445/src/0f0b2402.ts,352,352,F,,,,,Token
15807,eefd3209,GitHub,41659445,data/41659445/src/eefd3209.ts,28,28,F,,,,,Secret
16967,074dc7a7,GitHub,41659445,data/41659445/test/074dc7a7.ts,4,4,F,,,,,Token
17735,efff9305,GitHub,41659445,data/41659445/other/efff9305,1,1,F,,,,,Auth
25165,581f4cb0,GitHub,41659445,data/41659445/src/581f4cb0.js,20,20,F,-1,-1,,,Key
25796,e1e2fdf9,GitHub,41659445,data/41659445/src/e1e2fdf9.jsx,62,62,F,,,,,Token
26611,9b8a5f24,GitHub,41659445,data/41659445/src/9b8a5f24.ts,207,207,F,,,,,Secret
26613,46250174,GitHub,41659445,data/41659445/src/46250174.ts,46,46,F,,,,,Secret
26618,eefd3209,GitHub,41659445,data/41659445/src/eefd3209.ts,190,190,F,,,,,Secret
26620,9620730d,GitHub,41659445,data/41659445/src/9620730d.ts,37,37,F,,,,,Secret
26635,9620730d,GitHub,41659445,data/41659445/src/9620730d.ts,27,27,F,,,,,Secret
26658,0f0b2402,GitHub,41659445,data/41659445/src/0f0b2402.ts,262,262,F,,,,,Secret
26661,d4a2a492,GitHub,41659445,data/41659445/src/d4a2a492.ts,49,49,F,,,,,Secret
26662,eefd3209,GitHub,41659445,data/41659445/src/eefd3209.ts,203,203,F,,,,,Secret
26663,0f0b2402,GitHub,41659445,data/41659445/src/0f0b2402.ts,207,207,F,,,,,Secret
26664,d4a2a492,GitHub,41659445,data/41659445/src/d4a2a492.ts,39,39,F,,,,,Secret
26665,d4a2a492,GitHub,41659445,data/41659445/src/d4a2a492.ts,29,29,F,,,,,Secret
27411,eb85e4f0,GitHub,41659445,data/41659445/test/eb85e4f0.ts,8,8,Template,13,23,,,Secret
28187,91fd135b,GitHub,41659445,data/41659445/src/91fd135b.ts,169,169,T,65,81,,,Jira 2FA:Secret
31476,5398b006,GitHub,41659445,data/41659445/test/5398b006.js,131,131,F,,,,,Token:Secret
32427,b2f74201,GitHub,41659445,data/41659445/test/b2f74201.ts,16,16,T,16,32,,,Password:Secret
32428,c7cb0c45,GitHub,41659445,data/41659445/test/c7cb0c45.js,8,8,T,20,59,,,Secret
32441,c7cb0c45,GitHub,41659445,data/41659445/test/c7cb0c45.js,18,18,T,20,36,,,Jira 2FA:Secret
32442,b3356305,GitHub,41659445,data/41659445/other/b3356305.md,94,94,T,16,48,,,Secret
33951,b3356305,GitHub,41659445,data/41659445/other/b3356305.md,447,447,T,21,53,,,Secret
34868,bf2cd4b4,GitHub,41659445,data/41659445/test/bf2cd4b4.ts,8,8,F,12,18,,,Token
34869,faf09b36,GitHub,41659445,data/41659445/test/faf09b36.ts,102,102,F,12,20,,,Token
34870,bf2cd4b4,GitHub,41659445,data/41659445/test/bf2cd4b4.ts,32,32,F,12,18,,,Token
34871,faf09b36,GitHub,41659445,data/41659445/test/faf09b36.ts,156,156,F,12,20,,,Token
34872,18278ad7,GitHub,41659445,data/41659445/test/18278ad7.ts,23,23,F,12,18,,,Token
34873,bf2cd4b4,GitHub,41659445,data/41659445/test/bf2cd4b4.ts,26,26,F,12,18,,,Token
34874,faf09b36,GitHub,41659445,data/41659445/test/faf09b36.ts,78,78,F,12,20,,,Token
34875,faf09b36,GitHub,41659445,data/41659445/test/faf09b36.ts,174,174,F,12,20,,,Token
34876,5398b006,GitHub,41659445,data/41659445/test/5398b006.js,207,207,F,14,20,,,Token
34877,5398b006,GitHub,41659445,data/41659445/test/5398b006.js,212,212,Template,14,20,,,Token
34879,5398b006,GitHub,41659445,data/41659445/test/5398b006.js,202,202,F,14,20,,,Token
34881,18278ad7,GitHub,41659445,data/41659445/test/18278ad7.ts,39,39,F,12,18,,,Token
34882,faf09b36,GitHub,41659445,data/41659445/test/faf09b36.ts,162,162,F,12,20,,,Token
34883,bf2cd4b4,GitHub,41659445,data/41659445/test/bf2cd4b4.ts,14,14,F,12,18,,,Token
34884,faf09b36,GitHub,41659445,data/41659445/test/faf09b36.ts,108,108,F,12,20,,,Token
34885,18278ad7,GitHub,41659445,data/41659445/test/18278ad7.ts,31,31,F,12,18,,,Token
34894,faf09b36,GitHub,41659445,data/41659445/test/faf09b36.ts,114,114,F,12,20,,,Token
34902,faf09b36,GitHub,41659445,data/41659445/test/faf09b36.ts,90,90,F,12,20,,,Token
34905,18278ad7,GitHub,41659445,data/41659445/test/18278ad7.ts,15,15,F,12,18,,,Token
34906,faf09b36,GitHub,41659445,data/41659445/test/faf09b36.ts,144,144,F,12,20,,,Token
34928,faf09b36,GitHub,41659445,data/41659445/test/faf09b36.ts,168,168,F,12,20,,,Token
34930,faf09b36,GitHub,41659445,data/41659445/test/faf09b36.ts,126,126,F,12,20,,,Token
34932,faf09b36,GitHub,41659445,data/41659445/test/faf09b36.ts,84,84,F,12,20,,,Token
34933,faf09b36,GitHub,41659445,data/41659445/test/faf09b36.ts,96,96,F,12,20,,,Token
34934,faf09b36,GitHub,41659445,data/41659445/test/faf09b36.ts,150,150,F,12,20,,,Token
34935,faf09b36,GitHub,41659445,data/41659445/test/faf09b36.ts,138,138,F,12,20,,,Token
34936,faf09b36,GitHub,41659445,data/41659445/test/faf09b36.ts,72,72,F,12,20,,,Token
34937,bf2cd4b4,GitHub,41659445,data/41659445/test/bf2cd4b4.ts,20,20,F,12,18,,,Token
34938,faf09b36,GitHub,41659445,data/41659445/test/faf09b36.ts,120,120,F,12,20,,,Token
34942,faf09b36,GitHub,41659445,data/41659445/test/faf09b36.ts,132,132,F,12,20,,,Token
35218,5398b006,GitHub,41659445,data/41659445/test/5398b006.js,201,201,T,15,47,,,Secret
35220,bf2cd4b4,GitHub,41659445,data/41659445/test/bf2cd4b4.ts,27,27,T,13,29,,,Secret
35221,bf2cd4b4,GitHub,41659445,data/41659445/test/bf2cd4b4.ts,9,9,T,13,29,,,Password:Secret
35233,5398b006,GitHub,41659445,data/41659445/test/5398b006.js,210,210,T,15,47,,,Secret
35249,bf2cd4b4,GitHub,41659445,data/41659445/test/bf2cd4b4.ts,33,33,T,13,29,,,Secret
35250,bf2cd4b4,GitHub,41659445,data/41659445/test/bf2cd4b4.ts,21,21,T,13,29,,,Secret
35252,074dc7a7,GitHub,41659445,data/41659445/test/074dc7a7.ts,44,44,T,11,43,,,Secret
35334,074dc7a7,GitHub,41659445,data/41659445/test/074dc7a7.ts,19,19,F,15,21,,,Token
35335,074dc7a7,GitHub,41659445,data/41659445/test/074dc7a7.ts,9,9,F,15,21,,,Token
35336,074dc7a7,GitHub,41659445,data/41659445/test/074dc7a7.ts,14,14,F,15,21,,,Token
35337,074dc7a7,GitHub,41659445,data/41659445/test/074dc7a7.ts,39,39,F,15,21,,,Token
35338,074dc7a7,GitHub,41659445,data/41659445/test/074dc7a7.ts,34,34,F,15,21,,,Token
35339,074dc7a7,GitHub,41659445,data/41659445/test/074dc7a7.ts,23,23,T,16,48,,,Secret
35340,074dc7a7,GitHub,41659445,data/41659445/test/074dc7a7.ts,33,33,T,16,48,,,Secret
35341,074dc7a7,GitHub,41659445,data/41659445/test/074dc7a7.ts,8,8,T,16,48,,,Secret
35342,074dc7a7,GitHub,41659445,data/41659445/test/074dc7a7.ts,13,13,T,16,48,,,Secret
35343,074dc7a7,GitHub,41659445,data/41659445/test/074dc7a7.ts,28,28,T,16,48,,,Secret
35344,074dc7a7,GitHub,41659445,data/41659445/test/074dc7a7.ts,18,18,T,16,48,,,Secret
35345,074dc7a7,GitHub,41659445,data/41659445/test/074dc7a7.ts,38,38,T,16,48,,,Secret
35349,074dc7a7,GitHub,41659445,data/41659445/test/074dc7a7.ts,24,24,F,15,21,,,Token
35350,074dc7a7,GitHub,41659445,data/41659445/test/074dc7a7.ts,29,29,F,15,21,,,Token
37409,5398b006,GitHub,41659445,data/41659445/test/5398b006.js,205,205,T,15,47,,,Secret
37410,bf2cd4b4,GitHub,41659445,data/41659445/test/bf2cd4b4.ts,15,15,T,13,29,,,Password:Secret
37420,074dc7a7,GitHub,41659445,data/41659445/test/074dc7a7.ts,68,68,Template,12,18,,,Token
37421,074dc7a7,GitHub,41659445,data/41659445/test/074dc7a7.ts,82,82,Template,12,18,,,Token
37422,074dc7a7,GitHub,41659445,data/41659445/test/074dc7a7.ts,67,67,T,13,45,,,Secret
37423,074dc7a7,GitHub,41659445,data/41659445/test/074dc7a7.ts,73,73,T,13,45,,,Secret
37424,074dc7a7,GitHub,41659445,data/41659445/test/074dc7a7.ts,80,80,T,13,45,,,Secret
47806,eb85e4f0,GitHub,41659445,data/41659445/test/eb85e4f0.ts,119,119,Template,15,25,,,Secret
47991,074dc7a7,GitHub,41659445,data/41659445/test/074dc7a7.ts,78,78,F,-1,-1,,,Other
47992,074dc7a7,GitHub,41659445,data/41659445/test/074dc7a7.ts,64,64,F,-1,-1,,,Other
47993,18278ad7,GitHub,41659445,data/41659445/test/18278ad7.ts,20,20,F,-1,-1,,,Other
47994,074dc7a7,GitHub,41659445,data/41659445/test/074dc7a7.ts,65,65,F,-1,-1,,,Other
47995,18278ad7,GitHub,41659445,data/41659445/test/18278ad7.ts,36,36,F,-1,-1,,,Other
47996,bf2cd4b4,GitHub,41659445,data/41659445/test/bf2cd4b4.ts,35,35,F,-1,-1,,,Other
47997,074dc7a7,GitHub,41659445,data/41659445/test/074dc7a7.ts,79,79,F,-1,-1,,,Other
47998,bf2cd4b4,GitHub,41659445,data/41659445/test/bf2cd4b4.ts,29,29,F,-1,-1,,,Other
47999,bf2cd4b4,GitHub,41659445,data/41659445/test/bf2cd4b4.ts,17,17,F,-1,-1,,,Other
48000,18278ad7,GitHub,41659445,data/41659445/test/18278ad7.ts,12,12,F,-1,-1,,,Other
48001,18278ad7,GitHub,41659445,data/41659445/test/18278ad7.ts,28,28,F,-1,-1,,,Other
48002,bf2cd4b4,GitHub,41659445,data/41659445/test/bf2cd4b4.ts,11,11,F,-1,-1,,,Other
48003,bf2cd4b4,GitHub,41659445,data/41659445/test/bf2cd4b4.ts,23,23,F,-1,-1,,,Other
48004,074dc7a7,GitHub,41659445,data/41659445/test/074dc7a7.ts,72,72,F,-1,-1,,,Other
48067,18278ad7,GitHub,41659445,data/41659445/test/18278ad7.ts,10,10,T,13,29,,,Password:Secret
48068,18278ad7,GitHub,41659445,data/41659445/test/18278ad7.ts,34,34,T,13,29,,,Password:Secret
48069,18278ad7,GitHub,41659445,data/41659445/test/18278ad7.ts,26,26,T,13,29,,,Password:Secret
48070,18278ad7,GitHub,41659445,data/41659445/test/18278ad7.ts,18,18,T,13,29,,,Password:Secret
48082,074dc7a7,GitHub,41659445,data/41659445/test/074dc7a7.ts,75,75,Template,12,18,,,Token
50063,a0f82dc2,GitHub,41659445,data/41659445/test/a0f82dc2.ts,5,5,F,-1,-1,,,Other
63346,1b313185,GitHub,41659445,data/41659445/src/1b313185.ts,113,113,F,,,,,Secret
63347,1b313185,GitHub,41659445,data/41659445/src/1b313185.ts,114,114,F,,,,,Secret
74957,9620730d,GitHub,41659445,data/41659445/src/9620730d.ts,80,80,F,,,,,Secret
75172,9620730d,GitHub,41659445,data/41659445/src/9620730d.ts,49,49,F,,,,,Secret
75173,eefd3209,GitHub,41659445,data/41659445/src/eefd3209.ts,150,150,F,,,,,Secret
75174,d4a2a492,GitHub,41659445,data/41659445/src/d4a2a492.ts,142,142,F,,,,,Secret
75175,d4a2a492,GitHub,41659445,data/41659445/src/d4a2a492.ts,172,172,F,,,,,Secret
75176,0f0b2402,GitHub,41659445,data/41659445/src/0f0b2402.ts,465,465,F,,,,,Secret
75177,9620730d,GitHub,41659445,data/41659445/src/9620730d.ts,86,86,F,,,,,Secret
75178,eefd3209,GitHub,41659445,data/41659445/src/eefd3209.ts,132,132,F,,,,,Secret
75179,46250174,GitHub,41659445,data/41659445/src/46250174.ts,26,26,F,,,,,Secret
75180,46250174,GitHub,41659445,data/41659445/src/46250174.ts,58,58,F,,,,,Secret
