Repo,File,Scope,Extension,LineStart,LineEnd,Label,ValueStart,ValueEnd,Info,Category
43e1f4ea,0884a595,/test/src/resource/,.yml,6,6,F,,,,Password
43e1f4ea,0c07c761,/test/src/browser/,.java,18,18,F,48,56,,Key
43e1f4ea,210b46ef,/_/,.yml,26,26,F,-1,-1,,Other
43e1f4ea,2568f90a,/test/src/,.java,26,26,Template,44,48,,Password
43e1f4ea,2ac82259,/test/src/,.java,31,31,Template,31,34,,Password
43e1f4ea,2ac82259,/test/src/,.java,27,27,Template,36,44,,Password
43e1f4ea,2dc94b2b,/test/src/,.java,69,69,F,-1,-1,,Key
43e1f4ea,2fbdcc52,/test/src/example/client/,.java,16,16,Template,53,59,,Password
43e1f4ea,317a1df2,/test/src/browser/,.java,56,56,Template,52,58,,Password
43e1f4ea,317a1df2,/test/src/browser/,.java,60,60,F,-1,-1,,Key
43e1f4ea,37a088c2,/test/src/,.java,39,39,T,36,41,,Password
43e1f4ea,38ecf2ab,/example/build/,.gradle,9,9,F,,,,API
43e1f4ea,57a8aa7d,/test/src/,.java,31,31,Template,31,35,,Password
43e1f4ea,57a8aa7d,/test/src/,.java,27,27,Template,44,48,,Password
43e1f4ea,5bdf1396,/test/src/,.java,36,36,Template,52,57,,Password
43e1f4ea,5bdf1396,/test/src/,.java,37,37,Template,59,63,,Password
43e1f4ea,6cffa70f,/example/docs/build/,.gradle,6,6,F,,,,API
43e1f4ea,6d82705a,/test/src/util/,.java,10,10,F,-1,-1,,Other
43e1f4ea,7309c751,/test/src/,.java,15,15,Template,49,57,,Password
43e1f4ea,78c35381,/test/src/conf/resource/,.json,4,4,T,21,613,,Auth
43e1f4ea,7aef3c2b,/test/src/conf/resource/,.json,5,5,T,21,33,,Auth
43e1f4ea,8147dbcd,/test/src/conf/resource/docker/,.bat,28,28,F,,,,Token
43e1f4ea,8147dbcd,/test/src/conf/resource/docker/,.bat,21,21,Template,23,29,,Secret
43e1f4ea,8147dbcd,/test/src/conf/resource/docker/,.bat,29,29,Template,23,29,,Secret
43e1f4ea,8661f4ba,/build/,.gradle,59,59,F,,,,API
43e1f4ea,8661f4ba,/build/,.gradle,156,156,F,,,,API
43e1f4ea,8661f4ba,/build/,.gradle,164,164,F,,,,API
43e1f4ea,8661f4ba,/build/,.gradle,183,183,F,-1,-1,,Key
43e1f4ea,8a1d33c6,/test/src/resource/,.pem,1,28,T,,,,PEM Private Key
43e1f4ea,8a248cc4,/test/src/example/conf/resource/,.yaml,1055,1055,T,27,36,,Password
43e1f4ea,8a248cc4,/test/src/example/conf/resource/,.yaml,1036,1036,T,25,34,,Password
43e1f4ea,8a248cc4,/test/src/example/conf/resource/,.yaml,1034,1034,T,23,32,,Key:Password
43e1f4ea,8a248cc4,/test/src/example/conf/resource/,.yaml,1135,1135,T,26,35,,Key:Password
43e1f4ea,8a248cc4,/test/src/example/conf/resource/,.yaml,1051,1051,T,23,32,,Key:Password
43e1f4ea,8a248cc4,/test/src/example/conf/resource/,.yaml,1133,1133,T,31,40,,Key:Password
43e1f4ea,8a248cc4,/test/src/example/conf/resource/,.yaml,164,164,F,-1,-1,,Credential
43e1f4ea,8a248cc4,/test/src/example/conf/resource/,.yaml,172,172,F,-1,-1,,Credential
43e1f4ea,8a248cc4,/test/src/example/conf/resource/,.yaml,300,300,F,-1,-1,,Key
43e1f4ea,905e446c,/test/src/,.java,24,24,T,31,37,,Password
43e1f4ea,99cc63db,/test/src/,.java,27,27,Template,31,41,,Password
43e1f4ea,9c5a78d0,/test/src/resource/client/,.pem,1,27,T,,,,PEM Private Key
43e1f4ea,a49832bc,/test/src/,.java,37,37,T,44,53,,Password
43e1f4ea,a6f3081b,/test/src/,.java,47,47,T,58,66,,Password
43e1f4ea,a748d289,/example/docs/build/,.gradle,10,10,F,,,,API
43e1f4ea,ac997a2c,/test/src/,.java,60,60,F,-1,-1,,Key
43e1f4ea,ac997a2c,/test/src/,.java,65,65,F,-1,-1,,Key
43e1f4ea,b5ec5339,/test/src/server/,.java,28,28,T,44,70,,Password
43e1f4ea,b5ec5339,/test/src/server/,.java,124,124,F,,,,Password
43e1f4ea,b5ec5339,/test/src/server/,.java,30,30,F,,,,Password
43e1f4ea,bb556958,/test/src/,.java,32,32,Template,55,61,,Password
43e1f4ea,c0b5ffb3,/test/src/conf/resource/,.json,5,5,T,21,33,,Auth
43e1f4ea,c3312677,/docs/,.html,4,4,T,132,164,,Token
43e1f4ea,c93975df,/test/src/,.java,27,27,Template,44,48,,Password
43e1f4ea,cda80703,/test/build/,.gradle,3,3,F,,,,API
43e1f4ea,d647e7a1,/test/src/server/,.java,15,15,Template,51,70,,Password
43e1f4ea,dad76817,/test/src/,.java,23,23,Template,44,57,,Password
43e1f4ea,deacfc7d,/test/src/,.java,85,85,Template,31,39,,Password
43e1f4ea,df946eec,/test/src/,.java,13,13,Template,50,58,,Password
43e1f4ea,ecd9f4ac,/test/src/,.java,54,54,Template,58,66,,Password
43e1f4ea,ecd9f4ac,/test/src/,.java,118,118,F,,,,Password
43e1f4ea,ecd9f4ac,/test/src/,.java,60,60,F,,,,Password
43e1f4ea,ecd9f4ac,/test/src/,.java,177,177,F,,,,Password
43e1f4ea,ecd9f4ac,/test/src/,.java,56,56,F,47,55,,Auth
43e1f4ea,eeee420b,/test/src/conf/resource/docker/,,29,29,F,,,,Token
43e1f4ea,eeee420b,/test/src/conf/resource/docker/,,22,22,Template,22,28,,Secret
43e1f4ea,eeee420b,/test/src/conf/resource/docker/,,30,30,Template,22,28,,Secret
43e1f4ea,f7b12f0f,/src/example/,.kt,13,13,F,-1,-1,,Key
43e1f4ea,fae73aef,/test/src/client/,.java,17,17,Template,47,60,,Token
43e1f4ea,fd2aeccc,/test/src/,.java,16,16,Template,39,42,,Password
