Id,FileID,Domain,RepoName,FilePath,LineStart,LineEnd,GroundTruth,WithWords,ValueStart,ValueEnd,InURL,InRuntimeParameter,CharacterSet,CryptographyKey,PredefinedPattern,VariableNameType,Entropy,Length,Base64Encode,HexEncode,URLEncode,Category
9677,fef2f5a8,GitHub,46c52073,data/46c52073/src/fef2f5a8.cs,162,162,F,F,,,F,F,,,,,0,0,F,F,F,API
10783,0cac4c0a,GitHub,46c52073,data/46c52073/src/0cac4c0a.cs,25,25,F,F,,,F,F,,,,,0,0,F,F,F,Auth
16878,b3356305,GitHub,46c52073,data/46c52073/other/b3356305.md,1859,1859,F,F,,,F,F,,,,,0,0,F,F,F,Password
27721,eee909ed,GitHub,46c52073,data/46c52073/src/eee909ed.sql,7,7,F,F,,,F,F,,,,,0,0,F,F,F,Password
27722,eee909ed,GitHub,46c52073,data/46c52073/src/eee909ed.sql,57,57,F,F,,,F,F,,,,,0,0,F,F,F,Password
28009,b3356305,GitHub,46c52073,data/46c52073/other/b3356305.md,1850,1850,Template,T,14,28,F,F,CharsOnly,,,Secret,2.99,14,F,F,F,Password
31143,e45e45ba,GitHub,46c52073,data/46c52073/src/e45e45ba.yml,34,34,Template,T,126,136,F,F,Any,,,Secret,2.99,10,F,F,F,Password
31166,e45e45ba,GitHub,46c52073,data/46c52073/src/e45e45ba.yml,14,14,Template,T,104,114,F,F,Any,,,Secret,2.99,10,F,F,F,Password
31208,0bec9f00,GitHub,46c52073,data/46c52073/other/0bec9f00,6,6,Template,T,16,26,F,F,Any,,,Secret,2.99,10,F,F,F,Password
32295,96494069,GitHub,46c52073,data/46c52073/src/96494069.yml,39,39,T,F,118,127,F,F,Any,,,Secret,2.6,9,F,F,F,Password
32351,3d8bdf96,GitHub,46c52073,data/46c52073/test/3d8bdf96.cmd,12,12,T,F,84,93,F,F,Any,,,Secret,2.60,9,F,F,F,Password
33808,96494069,GitHub,46c52073,data/46c52073/src/96494069.yml,45,45,T,F,23,32,F,F,Any,,,Secret,2.6,9,F,F,F,Password
33813,3d8bdf96,GitHub,46c52073,data/46c52073/test/3d8bdf96.cmd,17,17,T,F,119,128,F,F,Any,,,Secret,2.60,9,F,F,F,Password
82754,eee909ed,GitHub,46c52073,data/46c52073/src/eee909ed.sql,21,21,F,F,68,69,F,F,,,,,0.0,0,F,F,F,Password
82755,eee909ed,GitHub,46c52073,data/46c52073/src/eee909ed.sql,71,71,F,F,68,69,F,F,,,,,0.0,0,F,F,F,Password
100872,b3356305,GitHub,46c52073,data/46c52073/other/b3356305.md,1843,1843,F,F,,,F,F,,,,,0.00,,F,F,F,Secret
100873,b3356305,GitHub,46c52073,data/46c52073/other/b3356305.md,1861,1861,F,F,,,F,F,,,,,0.00,,F,F,F,Secret
100874,b3356305,GitHub,46c52073,data/46c52073/other/b3356305.md,805,805,F,F,,,F,F,,,,,0.00,,F,F,F,Password
100875,b3356305,GitHub,46c52073,data/46c52073/other/b3356305.md,1944,1944,F,F,-1,-1,F,F,,,,,0.0,-1,F,F,F,Other
1339572,eee909ed,GitHub,46c52073,data/46c52073/src/eee909ed.sql,4,4,T,F,2,38,F,F,,,,,0.0,0,F,F,F,UUID
1339573,eee909ed,GitHub,46c52073,data/46c52073/src/eee909ed.sql,18,18,T,F,2,38,F,F,,,,,0.0,0,F,F,F,UUID
1339574,eee909ed,GitHub,46c52073,data/46c52073/src/eee909ed.sql,30,30,T,F,2,38,F,F,,,,,0.0,0,F,F,F,UUID
1339575,eee909ed,GitHub,46c52073,data/46c52073/src/eee909ed.sql,40,40,T,F,2,38,F,F,,,,,0.0,0,F,F,F,UUID
1339576,eee909ed,GitHub,46c52073,data/46c52073/src/eee909ed.sql,49,49,T,F,2,38,F,F,,,,,0.0,0,F,F,F,UUID
1339577,eee909ed,GitHub,46c52073,data/46c52073/src/eee909ed.sql,54,54,T,F,2,38,F,F,,,,,0.0,0,F,F,F,UUID
1339578,eee909ed,GitHub,46c52073,data/46c52073/src/eee909ed.sql,68,68,T,F,2,38,F,F,,,,,0.0,0,F,F,F,UUID
1339579,eee909ed,GitHub,46c52073,data/46c52073/src/eee909ed.sql,79,79,T,F,2,38,F,F,,,,,0.0,0,F,F,F,UUID
1494084,441db129,GitHub,46c52073,data/46c52073/src/441db129.rsa,1,1,T,F,10,42,F,F,,,,,0.0,0,F,F,F,Key
1494085,a2672cbe,GitHub,46c52073,data/46c52073/src/a2672cbe.json,17,17,T,F,30,54,F,F,,,,,0.0,0,F,F,F,Key
1494086,b72b6de0,GitHub,46c52073,data/46c52073/test/b72b6de0.cs,13,13,T,F,42,48,F,F,,,,,0.0,0,F,F,F,Password
