Repo,File,Scope,Extension,LineStart,LineEnd,Label,ValueStart,ValueEnd,Info,Category
473043a1,2877d947,/test/,.py,62,62,F,,,,Password
473043a1,2877d947,/test/,.py,72,72,F,,,,Password
473043a1,474ff054,/_/,.py,58,58,F,-1,-1,,Key
473043a1,476514ac,/_/,.py,17,17,F,-1,-1,,Key
473043a1,4e8715c7,/test/,.py,61,61,F,-1,-1,,Key
473043a1,4e8715c7,/test/,.py,286,286,F,-1,-1,,Key
473043a1,4e8715c7,/test/,.py,292,292,F,-1,-1,,Key
473043a1,4e8715c7,/test/,.py,257,257,F,-1,-1,,Key
473043a1,4e8715c7,/test/,.py,274,274,F,-1,-1,,Key
473043a1,4e8715c7,/test/,.py,294,294,F,-1,-1,,Key
473043a1,5cbda1d4,/test/client/,.key,1,51,T,,,,PEM Private Key
473043a1,5fbedfbb,/test/,.py,28,28,F,-1,-1,,Key
473043a1,691123b0,/_/,.py,31,31,F,,,,Password
473043a1,691123b0,/_/,.py,43,43,F,,,,Password
473043a1,691123b0,/_/,.py,27,27,F,,,,Password
473043a1,7b14a933,/_/,.py,266,266,F,,,,Token
473043a1,7b14a933,/_/,.py,272,272,F,,,,Token
473043a1,7b14a933,/_/,.py,270,270,F,,,,Token
473043a1,7b3ed02b,/readme/,.rst,1141,1141,F,,,,Password:URL Credentials
473043a1,7b3ed02b,/readme/,.rst,1114,1114,F,,,,Password:URL Credentials
473043a1,7b3ed02b,/readme/,.rst,1367,1367,F,,,,Password
473043a1,a99307c6,/test/,.py,17,17,F,,,,Auth
473043a1,a99307c6,/test/,.py,49,49,F,,,,Auth
473043a1,a99307c6,/test/,.py,25,25,F,,,,Auth
473043a1,a99307c6,/test/,.py,34,34,F,,,,Auth
473043a1,a99307c6,/test/,.py,42,42,F,,,,Auth
473043a1,a99307c6,/test/,.py,52,52,F,,,,Auth
473043a1,ab88b613,/test/,.py,12,12,T,12,20,,Password
473043a1,ab88b613,/test/,.py,15,15,T,33,53,,Auth
473043a1,ad7c3c4a,/_/,.py,204,204,F,,,,Password
473043a1,ad7c3c4a,/_/,.py,312,312,F,-1,-1,,Key
473043a1,ad7c3c4a,/_/,.py,202,202,F,41,49,,URL Credentials
473043a1,ad7c3c4a,/_/,.py,257,257,F,,,,Password
473043a1,bad16dc9,/_/,.py,94,94,F,-1,-1,,Other
473043a1,c55c5446,/test/util/,.py,72,72,F,,,,Token
473043a1,c55c5446,/test/util/,.py,80,80,F,,,,Token
473043a1,d6765182,/_/,.py,15,15,F,-1,-1,,Key
473043a1,d6765182,/_/,.py,78,78,F,-1,-1,,Key
473043a1,d6765182,/_/,.py,108,108,F,-1,-1,,Key
473043a1,e83d4ce5,/test/util/init/,.py,224,224,F,,,,Auth
