Repo,File,Scope,Extension,LineStart,LineEnd,Label,ValueStart,ValueEnd,Info,Category
49e2a965,0a7ae4db,/test/fixture/,.json,4,4,F,-1,-1,,Other
49e2a965,0a7ae4db,/test/fixture/,.json,3,3,F,-1,-1,,Other
49e2a965,0cd594dd,/src/,.ts,16,16,F,-1,-1,,Key
49e2a965,0cd594dd,/src/,.ts,19,19,F,-1,-1,,Key
49e2a965,0cd594dd,/src/,.ts,25,25,F,-1,-1,,Key
49e2a965,0cd594dd,/src/,.ts,31,31,F,-1,-1,,Key
49e2a965,0cd594dd,/src/,.ts,37,37,F,-1,-1,,Key
49e2a965,13d6465f,/test/app/,.ts,24,24,F,21,32,,Key
49e2a965,30ef539d,/test/,.ts,97,97,F,-1,-1,,Other
49e2a965,30ef539d,/test/,.ts,98,98,Template,25,35,,Secret
49e2a965,30ef539d,/test/,.ts,115,115,F,-1,-1,,Other
49e2a965,30ef539d,/test/,.ts,116,116,Template,25,35,,Secret
49e2a965,617abb47,/test/,.ts,13,21,T,,,,PEM Private Key
49e2a965,617abb47,/test/,.ts,439,439,T,18,37,,Token
49e2a965,63da967b,/test/,.ts,22,22,Template,24,30,,Secret
49e2a965,63da967b,/test/,.ts,13,21,T,,,,PEM Private Key
49e2a965,69c9100f,/src/,.ts,113,113,F,21,-1,,Key
49e2a965,76ccf172,/test/,.ts,75,75,Template,27,31,,Password
49e2a965,76ccf172,/test/,.ts,44,44,T,18,37,,Token
49e2a965,76ccf172,/test/,.ts,74,74,T,13,-1,,PEM Private Key
49e2a965,76ccf172,/test/,.ts,74,74,T,46,,,BASE64 Private Key
49e2a965,7f6254f3,/docs/,.md,106,106,F,-1,-1,,Key
49e2a965,7f6254f3,/docs/,.md,42,42,F,,,,Secret
49e2a965,7f6254f3,/docs/,.md,53,53,F,,,,Secret
49e2a965,7f6254f3,/docs/,.md,105,105,F,,,,Secret
49e2a965,85f228e9,/test/app/,.ts,127,127,Template,25,28,,Secret
49e2a965,85f228e9,/test/app/,.ts,100,100,Template,27,41,,Secret
49e2a965,85f228e9,/test/app/,.ts,102,102,T,26,66,,Secret
49e2a965,85f228e9,/test/app/,.ts,31,31,F,21,-1,,Key
49e2a965,85f228e9,/test/app/,.ts,70,70,F,23,-1,,Key
49e2a965,85f228e9,/test/app/,.ts,144,144,Template,25,28,,Secret
49e2a965,91cf9921,/test/fixture/,.pem,1,51,T,,,,PEM Private Key
49e2a965,97db29a7,/docs/,.md,186,186,F,-1,-1,,Key
49e2a965,97db29a7,/docs/,.md,187,187,Template,15,31,,Secret
49e2a965,97db29a7,/docs/,.md,209,209,F,15,46,,Key
49e2a965,97db29a7,/docs/,.md,210,210,Template,11,27,,Secret
49e2a965,97db29a7,/docs/,.md,236,236,F,17,48,,Key
49e2a965,97db29a7,/docs/,.md,237,237,Template,13,29,,Secret
49e2a965,97db29a7,/docs/,.md,129,129,F,-1,-1,,Other
49e2a965,9e7115c5,/src/,.ts,10,10,F,-1,-1,,Key
49e2a965,ae95a565,/docs/,.md,194,194,F,,,,API
49e2a965,ae95a565,/docs/,.md,109,109,F,,,,URL Credentials
49e2a965,ae95a565,/docs/,.md,150,150,F,,,,URL Credentials
49e2a965,ae95a565,/docs/,.md,32,32,F,-1,-1,,Other
49e2a965,ae95a565,/docs/,.md,195,195,F,,,,Auth
49e2a965,ae95a565,/docs/,.md,72,72,F,,,,Password
49e2a965,b369b381,/test/app/,.snap,16,16,Template,25,39,,Secret
49e2a965,b369b381,/test/app/,.snap,33,33,Template,25,28,,Secret
49e2a965,b369b381,/test/app/,.snap,14,14,T,31,71,,Secret
49e2a965,c22885d9,/test/docs/,.md,40,40,F,,,,Token
49e2a965,d0299fed,/test/,.ts,15,15,Template,19,25,,Secret
49e2a965,d0299fed,/test/,.ts,6,14,T,,,,PEM Private Key
49e2a965,d0299fed,/test/,.ts,80,80,F,-1,-1,,Key
49e2a965,d5e663f8,/test/fixture/,.json,4,4,F,-1,-1,,Other
49e2a965,d5e663f8,/test/fixture/,.json,3,3,Template,21,31,,Secret
49e2a965,ef6fe596,/test/server/,.ts,40,40,Template,17,23,,Secret
49e2a965,ef6fe596,/test/server/,.ts,74,74,Template,19,25,,Secret
49e2a965,ef6fe596,/test/server/,.ts,12,20,T,,,,PEM Private Key
