Repo,File,Scope,Extension,LineStart,LineEnd,Label,ValueStart,ValueEnd,Info,Category
4a099ada,01623948,/client/vendor/,.go,113,113,F,,,,Password
4a099ada,03d780df,/vendor/readme/,.md,397,397,F,,,,Password
4a099ada,03d780df,/vendor/readme/,.md,626,626,F,,,,Secret
4a099ada,03d780df,/vendor/readme/,.md,628,628,Template,56,67,,Password
4a099ada,03d780df,/vendor/readme/,.md,602,602,F,,,,Secret
4a099ada,03d780df,/vendor/readme/,.md,410,410,T,43,51,,Password
4a099ada,03d780df,/vendor/readme/,.md,344,344,F,,,,Password
4a099ada,03d780df,/vendor/readme/,.md,622,622,F,-1,-1,,Other
4a099ada,03d780df,/vendor/readme/,.md,348,348,F,,,,Password
4a099ada,03d780df,/vendor/readme/,.md,356,356,F,,,,Password
4a099ada,088d3691,/rest/vendor/,.go,329,329,F,,,,Password
4a099ada,088d3691,/rest/vendor/,.go,343,343,F,,,,Token
4a099ada,088d3691,/rest/vendor/,.go,155,155,T,23,59,,Token:UUID
4a099ada,088d3691,/rest/vendor/,.go,218,218,Template,19,24,,Password
4a099ada,088d3691,/rest/vendor/,.go,204,204,T,19,32,,Password
4a099ada,088d3691,/rest/vendor/,.go,197,197,T,17,30,,Password
4a099ada,088d3691,/rest/vendor/,.go,336,336,F,30,94,,Auth
4a099ada,088d3691,/rest/vendor/,.go,338,338,T,29,93,,Auth
4a099ada,0a5d2c22,/docs/doc/,.html,150,150,T,52,119,,API:Token
4a099ada,0a5d2c22,/docs/doc/,.html,241,241,T,52,119,,API:Token
4a099ada,0a5d2c22,/docs/doc/,.html,506,506,T,52,119,,API:Token
4a099ada,0adefa1d,/rest/client/vendor/,.go,274,274,F,,,,Password
4a099ada,0adefa1d,/rest/client/vendor/,.go,289,289,F,,,,Token
4a099ada,0adefa1d,/rest/client/vendor/,.go,252,252,T,23,59,,Token:UUID
4a099ada,0adefa1d,/rest/client/vendor/,.go,281,281,F,30,94,,Auth
4a099ada,0adefa1d,/rest/client/vendor/,.go,283,283,T,25,89,,Auth
4a099ada,0f722afb,/docs/doc/,.json,13,13,T,25,89,,API:Token
