Id,FileID,Domain,RepoName,FilePath,LineStart,LineEnd,GroundTruth,ValueStart,ValueEnd,CryptographyKey,PredefinedPattern,Category
1226,7d2d6b5a,GitHub,55031e17,data/55031e17/build/7d2d6b5a.py,339,339,F,,,,,Key
1388,fa8587f2,GitHub,55031e17,data/55031e17/rest/model/fa8587f2.py,6,6,F,,,,,Credential
1609,4ec00bca,GitHub,55031e17,data/55031e17/client/4ec00bca.py,52,52,F,,,,,Key
1867,a2dcc45b,GitHub,55031e17,data/55031e17/rest/client/a2dcc45b.py,80,80,F,,,,,Key
2089,f038ff7b,GitHub,55031e17,data/55031e17/test/conf/f038ff7b.py,59,59,T,19,23,,,URL Credentials
2863,f038ff7b,GitHub,55031e17,data/55031e17/test/conf/f038ff7b.py,473,473,F,,,,,URL Credentials
2864,f038ff7b,GitHub,55031e17,data/55031e17/test/conf/f038ff7b.py,474,474,F,,,,,Password
3069,f038ff7b,GitHub,55031e17,data/55031e17/test/conf/f038ff7b.py,491,491,F,,,,,URL Credentials
3071,f038ff7b,GitHub,55031e17,data/55031e17/test/conf/f038ff7b.py,492,492,F,,,,,Password
3159,e5045336,GitHub,55031e17,data/55031e17/model/e5045336.py,472,472,F,,,,,Key
3160,de15a3db,GitHub,55031e17,data/55031e17/client/de15a3db.py,60,60,F,,,,,Key
3204,a1a04cda,GitHub,55031e17,data/55031e17/util/a1a04cda.py,85,85,F,,,,,Key
4372,ffc2579f,GitHub,55031e17,data/55031e17/client/ffc2579f.py,85,85,F,,,,,Key
4376,50fdd145,GitHub,55031e17,data/55031e17/test/model/50fdd145.py,63,63,F,,,,,Password
4436,18f41449,GitHub,55031e17,data/55031e17/tool/client/18f41449.py,84,84,F,,,,,Key
4437,18f41449,GitHub,55031e17,data/55031e17/tool/client/18f41449.py,30,30,F,,,,,Key
4438,18f41449,GitHub,55031e17,data/55031e17/tool/client/18f41449.py,32,32,F,,,,,Key
5798,5995f4df,GitHub,55031e17,data/55031e17/test/conf/5995f4df.py,56,56,F,,,,,Key
5799,5995f4df,GitHub,55031e17,data/55031e17/test/conf/5995f4df.py,59,59,F,,,,,Key
6114,b8fa2fad,GitHub,55031e17,data/55031e17/test/tool/util/b8fa2fad.py,328,328,F,,,,,Key
7147,778e45d7,GitHub,55031e17,data/55031e17/test/conf/model/778e45d7.py,37,37,F,,,,,Key
7277,50fdd145,GitHub,55031e17,data/55031e17/test/model/50fdd145.py,45,45,F,,,,,Key
7296,18f41449,GitHub,55031e17,data/55031e17/tool/client/18f41449.py,669,669,F,,,,,Key
7814,cf0eacdf,GitHub,55031e17,data/55031e17/conf/init/server/cf0eacdf.py,182,182,F,,,,,Key
8215,f038ff7b,GitHub,55031e17,data/55031e17/test/conf/f038ff7b.py,463,463,F,,,,,URL Credentials
8218,f038ff7b,GitHub,55031e17,data/55031e17/test/conf/f038ff7b.py,464,464,F,,,,,Password
8274,dae658b6,GitHub,55031e17,data/55031e17/tool/client/dae658b6.py,410,410,F,,,,,Credential
8437,0acbba4b,GitHub,55031e17,data/55031e17/test/mock/util/0acbba4b.py,188,188,F,,,,,Key
8449,fadacae4,GitHub,55031e17,data/55031e17/test/fadacae4.py,244,244,F,,,,,Key
8450,fadacae4,GitHub,55031e17,data/55031e17/test/fadacae4.py,247,247,F,,,,,Key
8476,4ec00bca,GitHub,55031e17,data/55031e17/client/4ec00bca.py,16,16,F,,,,,Key
8486,e730089a,GitHub,55031e17,data/55031e17/test/tool/e730089a.py,173,173,F,,,,,URL Credentials
8487,5bf90f43,GitHub,55031e17,data/55031e17/test/tool/5bf90f43.py,173,173,F,,,,,URL Credentials
8506,0acbba4b,GitHub,55031e17,data/55031e17/test/mock/util/0acbba4b.py,22,22,F,,,,,Token
8513,19b2953e,GitHub,55031e17,data/55031e17/tool/sys/client/19b2953e.py,80,80,F,,,,,Key
8517,cb11ba4c,GitHub,55031e17,data/55031e17/test/tool/client/cb11ba4c.py,134,134,F,,,,,URL Credentials
8535,f038ff7b,GitHub,55031e17,data/55031e17/test/conf/f038ff7b.py,181,181,F,,,,,Password:URL Credentials
8540,cb11ba4c,GitHub,55031e17,data/55031e17/test/tool/client/cb11ba4c.py,102,102,F,,,,,URL Credentials
8541,cb11ba4c,GitHub,55031e17,data/55031e17/test/tool/client/cb11ba4c.py,120,120,F,,,,,URL Credentials
8542,cb11ba4c,GitHub,55031e17,data/55031e17/test/tool/client/cb11ba4c.py,86,86,F,,,,,URL Credentials
8543,cb11ba4c,GitHub,55031e17,data/55031e17/test/tool/client/cb11ba4c.py,143,143,F,,,,,URL Credentials
8545,6b44eaca,GitHub,55031e17,data/55031e17/rest/client/6b44eaca.py,35,35,F,,,,,Token
8608,fadacae4,GitHub,55031e17,data/55031e17/test/fadacae4.py,234,234,F,,,,,Key
8609,fadacae4,GitHub,55031e17,data/55031e17/test/fadacae4.py,237,237,F,,,,,Key
8610,0acbba4b,GitHub,55031e17,data/55031e17/test/mock/util/0acbba4b.py,23,23,F,,,,,Token
8622,eb89ad0f,GitHub,55031e17,data/55031e17/model/eb89ad0f.py,45,45,F,,,,,Password
8625,fadacae4,GitHub,55031e17,data/55031e17/test/fadacae4.py,231,231,F,,,,,Key
8648,89f6d87c,GitHub,55031e17,data/55031e17/test/89f6d87c.py,35,35,F,,,,,Token
8664,6b44eaca,GitHub,55031e17,data/55031e17/rest/client/6b44eaca.py,36,36,F,,,,,Token
8708,cb11ba4c,GitHub,55031e17,data/55031e17/test/tool/client/cb11ba4c.py,213,213,F,,,,,URL Credentials
8726,61dab7f6,GitHub,55031e17,data/55031e17/test/61dab7f6.py,63,63,F,,,,,Key
8816,0fc79dca,GitHub,55031e17,data/55031e17/model/0fc79dca.py,8,8,F,,,,,Key
8822,d1e3b3f2,GitHub,55031e17,data/55031e17/server/d1e3b3f2.py,13,13,F,,,,,Auth
9171,fe23bdb3,GitHub,55031e17,data/55031e17/client/fe23bdb3.py,50,50,F,,,,,Key
9172,3884a377,GitHub,55031e17,data/55031e17/test/build/3884a377.py,63,63,F,,,,,Key
9325,da058d70,GitHub,55031e17,data/55031e17/test/tool/sys/client/da058d70.py,121,121,F,,,,,Key
9335,1751a50c,GitHub,55031e17,data/55031e17/test/tool/1751a50c.py,258,258,F,,,,,Key
9336,57d609f8,GitHub,55031e17,data/55031e17/test/57d609f8.py,271,271,F,,,,,Key
9684,2019f9b8,GitHub,55031e17,data/55031e17/tool/client/2019f9b8.py,498,498,F,,,,,Token
10243,2019f9b8,GitHub,55031e17,data/55031e17/tool/client/2019f9b8.py,501,501,F,,,,,Token
11036,96f7df82,GitHub,55031e17,data/55031e17/test/96f7df82.py,80,80,F,,,,,Key
11065,03925a34,GitHub,55031e17,data/55031e17/server/03925a34.py,84,84,F,,,,,Password
11245,7d2d6b5a,GitHub,55031e17,data/55031e17/build/7d2d6b5a.py,340,340,F,,,,,Key
11246,7d2d6b5a,GitHub,55031e17,data/55031e17/build/7d2d6b5a.py,338,338,F,,,,,Key
11424,dd93d0a1,GitHub,55031e17,data/55031e17/test/util/dd93d0a1.py,36,36,F,,,,,Key
11570,56565499,GitHub,55031e17,data/55031e17/conf/model/56565499.py,138,138,F,,,,,Key
11589,3884a377,GitHub,55031e17,data/55031e17/test/build/3884a377.py,87,87,F,,,,,Key
11773,38202780,GitHub,55031e17,data/55031e17/server/38202780.py,219,219,F,,,,,Key
11848,962488f5,GitHub,55031e17,data/55031e17/test/conf/962488f5.py,50,50,F,,,,,URL Credentials
12159,18f41449,GitHub,55031e17,data/55031e17/tool/client/18f41449.py,152,152,F,,,,,Key
12259,0f9b956e,GitHub,55031e17,data/55031e17/util/0f9b956e.py,16,16,F,,,,,Key
12457,2c6b0595,GitHub,55031e17,data/55031e17/client/2c6b0595.py,225,225,F,,,,,Key
13162,d9e6bd07,GitHub,55031e17,data/55031e17/conf/init/client/d9e6bd07.py,349,349,F,,,,,Key
13164,33f1f2f9,GitHub,55031e17,data/55031e17/client/33f1f2f9.py,611,611,F,,,,,Key
13636,35a3d095,GitHub,55031e17,data/55031e17/server/35a3d095.py,25,25,F,,,,,Secret
13653,6cb899b4,GitHub,55031e17,data/55031e17/client/6cb899b4.py,179,179,F,,,,,Key
13654,1c21fdc3,GitHub,55031e17,data/55031e17/server/1c21fdc3.py,12,12,F,,,,,Token
13686,5309c92e,GitHub,55031e17,data/55031e17/model/5309c92e.py,103,103,F,,,,,Key
13770,7d2d6b5a,GitHub,55031e17,data/55031e17/build/7d2d6b5a.py,251,251,F,,,,,Key
13772,eb89ad0f,GitHub,55031e17,data/55031e17/model/eb89ad0f.py,157,157,F,,,,,Credential
13773,eb89ad0f,GitHub,55031e17,data/55031e17/model/eb89ad0f.py,172,172,F,,,,,Credential
14171,18f41449,GitHub,55031e17,data/55031e17/tool/client/18f41449.py,540,540,F,,,,,Key
14194,c31dce34,GitHub,55031e17,data/55031e17/rest/client/c31dce34.py,132,132,F,,,,,Token
14391,e730089a,GitHub,55031e17,data/55031e17/test/tool/e730089a.py,26,26,F,,,,,URL Credentials
14392,5bf90f43,GitHub,55031e17,data/55031e17/test/tool/5bf90f43.py,28,28,F,,,,,URL Credentials
14393,fbe3767b,GitHub,55031e17,data/55031e17/test/fbe3767b.py,33,33,F,,,,,URL Credentials
