Id,FileID,Domain,RepoName,FilePath,LineStart,LineEnd,GroundTruth,ValueStart,ValueEnd,CryptographyKey,PredefinedPattern,Category
1367,b3356305,GitHub,55aa4858,data/55aa4858/other/b3356305.md,22,22,F,,,,,API
22289,caf97ccc,GitHub,55aa4858,data/55aa4858/other/caf97ccc.md,830,830,F,13,24,,TEMPLATE,Password
22290,373062bc,GitHub,55aa4858,data/55aa4858/src/373062bc.html,179,179,F,13,24,,TEMPLATE,Password
27221,8214a561,GitHub,55aa4858,data/55aa4858/src/8214a561.conf,171,171,T,23,27,,,Password
27299,7506d301,GitHub,55aa4858,data/55aa4858/src/7506d301.conf,91,91,F,21,24,,TEMPLATE,URL Credentials
27300,7506d301,GitHub,55aa4858,data/55aa4858/src/7506d301.conf,88,88,F,26,29,,TEMPLATE,URL Credentials
27301,8214a561,GitHub,55aa4858,data/55aa4858/src/8214a561.conf,88,88,F,26,29,,TEMPLATE,URL Credentials
29312,7506d301,GitHub,55aa4858,data/55aa4858/src/7506d301.conf,97,97,F,18,24,,TEMPLATE,Password
32703,8214a561,GitHub,55aa4858,data/55aa4858/src/8214a561.conf,16,16,T,19,83,,,Bitbucket Client Secret:Secret
41503,7506d301,GitHub,55aa4858,data/55aa4858/src/7506d301.conf,16,16,T,19,83,,,Bitbucket Client Secret:Secret
41504,7506d301,GitHub,55aa4858,data/55aa4858/src/7506d301.conf,171,171,T,23,27,,,Password
41505,8214a561,GitHub,55aa4858,data/55aa4858/src/8214a561.conf,91,91,F,21,24,,TEMPLATE,URL Credentials
42849,373062bc,GitHub,55aa4858,data/55aa4858/src/373062bc.html,225,225,F,13,24,,TEMPLATE,Password
42850,373062bc,GitHub,55aa4858,data/55aa4858/src/373062bc.html,247,247,F,13,24,,TEMPLATE,Password
42851,373062bc,GitHub,55aa4858,data/55aa4858/src/373062bc.html,254,254,F,13,24,,TEMPLATE,Password
42852,373062bc,GitHub,55aa4858,data/55aa4858/src/373062bc.html,276,276,F,13,24,,TEMPLATE,Password
42853,373062bc,GitHub,55aa4858,data/55aa4858/src/373062bc.html,283,283,F,13,24,,TEMPLATE,Password
48240,caf97ccc,GitHub,55aa4858,data/55aa4858/other/caf97ccc.md,898,898,F,13,24,,TEMPLATE,Password
48241,caf97ccc,GitHub,55aa4858,data/55aa4858/other/caf97ccc.md,909,909,F,13,24,,TEMPLATE,Password
48242,caf97ccc,GitHub,55aa4858,data/55aa4858/other/caf97ccc.md,882,882,F,13,24,,TEMPLATE,Password
48243,caf97ccc,GitHub,55aa4858,data/55aa4858/other/caf97ccc.md,871,871,F,13,24,,TEMPLATE,Password
48244,caf97ccc,GitHub,55aa4858,data/55aa4858/other/caf97ccc.md,855,855,F,13,24,,TEMPLATE,Password
50060,285557ea,GitHub,55aa4858,data/55aa4858/other/285557ea.md,22,22,F,,,,,API
50061,0b5ca119,GitHub,55aa4858,data/55aa4858/other/0b5ca119.md,22,22,F,,,,,API
55622,8214a561,GitHub,55aa4858,data/55aa4858/src/8214a561.conf,97,97,F,18,24,,TEMPLATE,Password
100587,8214a561,GitHub,55aa4858,data/55aa4858/src/8214a561.conf,46,46,F,,,,,Auth
100588,7506d301,GitHub,55aa4858,data/55aa4858/src/7506d301.conf,46,46,F,,,,,Auth
133369,caf97ccc,GitHub,55aa4858,data/55aa4858/other/caf97ccc.md,1,1,F,,,,,API
