Repo,File,Scope,Extension,LineStart,LineEnd,Label,ValueStart,ValueEnd,Info,Category
5aefaef8,0c4a2902,/_/,.md,736,736,T,62,98,,UUID
5aefaef8,1294feee,/_/,.md,91,91,T,169,202,,Firebase Domain
5aefaef8,195cee0e,/conf/,.yaml,209,209,T,8,23,,Dropbox App secret
5aefaef8,1e6a90be,/_/,.md,51,51,T,76,112,,UUID
5aefaef8,1e702fde,/_/,.md,195,195,T,69,105,,UUID
5aefaef8,205d2bd5,/_/,.md,524,524,T,88,124,,UUID
5aefaef8,205d2bd5,/_/,.md,524,524,T,162,198,,UUID
5aefaef8,205d2bd5,/_/,.md,1264,1264,T,90,126,,UUID
5aefaef8,2812ad30,/conf/,.yaml,104,104,T,2,17,,Dropbox App secret
5aefaef8,3addfba0,/test/,.md,75,75,T,533,569,,UUID
5aefaef8,467f6811,/_/,.yaml,157,157,T,2,17,,Dropbox App secret
5aefaef8,467f6811,/_/,.yaml,513,513,T,2,17,,Dropbox App secret
5aefaef8,47afce2e,/_/,.md,622,622,T,16,31,,Dropbox App secret
5aefaef8,54ad8eef,/api/,.md,1531,1531,T,39,71,,Bitbucket Client ID:Bitbucket Client Secret:Auth
5aefaef8,54ad8eef,/api/,.md,1537,1537,T,24,56,,Bitbucket Client ID:Bitbucket Client Secret:Auth
5aefaef8,57675174,/_/,.md,652,652,T,142,166,,Key
5aefaef8,57675174,/_/,.md,1840,1840,T,192,216,,Key
5aefaef8,57675174,/_/,.md,125,125,F,332,356,,Key
5aefaef8,6a4ca2be,/_/,.md,30,30,T,79,96,,Key
5aefaef8,6f3aa1de,/_/,.md,82,82,T,77,113,,UUID
5aefaef8,7a8532d3,/_/,.yaml,552,552,T,2,17,,Dropbox App secret
5aefaef8,829abc0d,/_/,.md,40,40,T,81,96,,Dropbox App secret
5aefaef8,837bff4a,/_/,.md,31,31,T,142,178,,UUID
5aefaef8,86c4147e,/_/,.md,34,34,T,108,144,,UUID
5aefaef8,902339d9,/_/,.yaml,140,140,T,2,17,,Dropbox App secret
5aefaef8,902339d9,/_/,.yaml,406,406,T,2,17,,Dropbox App secret
5aefaef8,902339d9,/_/,.yaml,541,541,T,2,17,,Dropbox App secret
5aefaef8,906fe97f,/_/,.md,30,30,T,230,266,,UUID
5aefaef8,9b24c532,/_/,.md,1925,1925,T,53,89,,UUID
5aefaef8,9b24c532,/_/,.md,1925,1925,T,127,163,,UUID
5aefaef8,9b24c532,/_/,.md,4862,4862,T,53,89,,UUID
5aefaef8,9b24c532,/_/,.md,4862,4862,T,127,163,,UUID
5aefaef8,a2b60f9b,/_/,.md,359,359,T,3,18,,Dropbox App secret
5aefaef8,abc95510,/test/,.md,320,320,T,60,96,,UUID
5aefaef8,bf0ba262,/conf/readme/,.md,39,39,T,0,15,,Dropbox App secret
5aefaef8,cd7262e8,/_/,.yaml,437,437,T,2,17,,Dropbox App secret
5aefaef8,dc02cd9b,/_/,.md,3353,3353,T,60,96,,UUID
5aefaef8,dc02cd9b,/_/,.md,3353,3353,T,186,222,,UUID
5aefaef8,dc02cd9b,/_/,.md,4602,4602,T,38,53,,Dropbox App secret
5aefaef8,dc637d4b,/_/,.md,791,791,T,43,107,,Bitbucket Client Secret
5aefaef8,ee134964,/_/,.md,3592,3592,T,58,94,,UUID
5aefaef8,ee134964,/_/,.md,3592,3592,T,139,175,,UUID
