Id,FileID,Domain,RepoName,FilePath,LineStart,LineEnd,GroundTruth,WithWords,ValueStart,ValueEnd,InURL,InRuntimeParameter,CharacterSet,CryptographyKey,PredefinedPattern,VariableNameType,Entropy,Length,Base64Encode,HexEncode,URLEncode,Category
374,e002928e,GitHub,63800a10,data/63800a10/src/e002928e.py,68,68,F,F,,,F,F,,,,,0,0,F,F,F,Generic Token
2474,60691956,GitHub,63800a10,data/63800a10/src/60691956.py,160,160,F,F,,,F,F,,,,,0,0,F,F,F,Generic Secret
7211,60691956,GitHub,63800a10,data/63800a10/src/60691956.py,135,135,F,F,,,F,F,,,,,0,0,F,F,F,Generic Token
7597,e002928e,GitHub,63800a10,data/63800a10/src/e002928e.py,81,81,F,F,,,F,F,,,,,0,0,F,F,F,Generic Token
7955,e002928e,GitHub,63800a10,data/63800a10/src/e002928e.py,63,63,F,F,,,F,F,,,,,0,0,F,F,F,Generic Token
14321,f9839c9a,GitHub,63800a10,data/63800a10/src/f9839c9a.py,214,214,F,F,,,F,F,,,,,0,0,F,F,F,Generic Token
27388,d8056f87,GitHub,63800a10,data/63800a10/src/d8056f87.sql,375,375,F,F,52,150,F,F,,,,,0,0,F,F,F,Generic Secret
29523,6ac3f79f,GitHub,63800a10,data/63800a10/src/6ac3f79f.yml,37,37,F,F,9,693,F,F,Any,,,Unknown,5.93,684,F,F,F,Info
35011,160d3634,GitHub,63800a10,data/63800a10/test/160d3634.json,3,3,F,F,14,86,F,F,,,,,0,0,F,F,F,Generic Secret
35017,160d3634,GitHub,63800a10,data/63800a10/test/160d3634.json,8,8,T,F,18,42,F,F,Any,,,Secret,3.95,24,F,F,F,Generic Secret
35424,6ac3f79f,GitHub,63800a10,data/63800a10/src/6ac3f79f.yml,32,32,T,F,18,54,F,F,Any,,,Token,3.38,36,F,F,F,Generic Token
35880,66fb79c0,GitHub,63800a10,data/63800a10/test/66fb79c0.token,1,1,T,F,18,199,T,F,Any,,Google OAuth Access Token,Auth,5.51,181,F,F,F,Predefined Pattern
108509,e002928e,GitHub,63800a10,data/63800a10/src/e002928e.py,46,46,F,F,,,F,F,,,,,0.00,,F,F,F,Generic Secret
108510,e002928e,GitHub,63800a10,data/63800a10/src/e002928e.py,48,48,F,F,,,F,F,,,,,0.00,,F,F,F,Generic Secret
114611,160d3634,GitHub,63800a10,data/63800a10/test/160d3634.json,10,10,F,F,,,F,F,,,,,0.00,,F,F,F,Authentication Credentials
134784,160d3634,GitHub,63800a10,data/63800a10/test/160d3634.json,3,8,T,F,14,42,F,F,,,,,0,0,F,F,F,Google Multi
