Id,FileID,Domain,RepoName,FilePath,LineStart,LineEnd,GroundTruth,ValueStart,ValueEnd,CryptographyKey,PredefinedPattern,Category
863,8ca67559,GitHub,638eb0c6,data/638eb0c6/test/src/8ca67559.js,83,83,F,,,,,Secret
1789,49ff8759,GitHub,638eb0c6,data/638eb0c6/src/49ff8759.ts,448,448,F,,,,,Credential
1799,cae0f37e,GitHub,638eb0c6,data/638eb0c6/src/cae0f37e.js,60,60,F,,,,,Credential
1913,91e8fa03,GitHub,638eb0c6,data/638eb0c6/src/91e8fa03.ts,15,15,F,,,,,Key
3140,d4451bab,GitHub,638eb0c6,data/638eb0c6/example/d4451bab.md,569,569,F,0,107,,JSON Web Token,JSON Web Token
5182,91e8fa03,GitHub,638eb0c6,data/638eb0c6/src/91e8fa03.ts,34,34,F,,,,,Key
5205,0eb767ca,GitHub,638eb0c6,data/638eb0c6/src/0eb767ca.ts,18,18,F,,,,,Key
5588,d4451bab,GitHub,638eb0c6,data/638eb0c6/example/d4451bab.md,516,516,F,,,,,URL Credentials
7633,d4451bab,GitHub,638eb0c6,data/638eb0c6/example/d4451bab.md,695,695,F,,,,,Password
7672,0eb767ca,GitHub,638eb0c6,data/638eb0c6/src/0eb767ca.ts,327,327,F,,,,,Secret
7673,0eb767ca,GitHub,638eb0c6,data/638eb0c6/src/0eb767ca.ts,328,328,F,,,,,Secret
7884,30d68336,GitHub,638eb0c6,data/638eb0c6/src/30d68336.ts,469,469,F,,,,,Token
10820,d30cf858,GitHub,638eb0c6,data/638eb0c6/src/d30cf858.ts,46,46,F,,,,,Key
10920,1bf6f0c4,GitHub,638eb0c6,data/638eb0c6/test/src/1bf6f0c4.js,94,94,X,67,73,,,Secret
13291,91e8fa03,GitHub,638eb0c6,data/638eb0c6/src/91e8fa03.ts,21,21,F,,,,,Key
14085,30d68336,GitHub,638eb0c6,data/638eb0c6/src/30d68336.ts,571,571,F,,,,,Password
14209,0eb767ca,GitHub,638eb0c6,data/638eb0c6/src/0eb767ca.ts,306,306,F,,,,,Key
14210,2ee8da4e,GitHub,638eb0c6,data/638eb0c6/src/2ee8da4e.ts,288,288,F,,,,,Key
18132,49ff8759,GitHub,638eb0c6,data/638eb0c6/src/49ff8759.ts,1191,1191,F,,,,,Credential
22698,30d68336,GitHub,638eb0c6,data/638eb0c6/src/30d68336.ts,110,110,F,,,,EXAMPLE,URL Credentials:Password
24486,4af37325,GitHub,638eb0c6,data/638eb0c6/example/4af37325.md,29,29,F,,,,,URL Credentials
30735,a3b98aa9,GitHub,638eb0c6,data/638eb0c6/test/src/a3b98aa9.js,618,618,X,25,31,,,Secret
30851,df79c119,GitHub,638eb0c6,data/638eb0c6/example/sample/df79c119.js,5,5,X,16,27,,,Password
30853,f4b1be94,GitHub,638eb0c6,data/638eb0c6/test/src/f4b1be94.js,28,28,X,20,26,,,Secret
31037,a8678ed0,GitHub,638eb0c6,data/638eb0c6/example/a8678ed0.sql,26,26,T,116,124,,,Password
31504,931e2c76,GitHub,638eb0c6,data/638eb0c6/example/server/931e2c76.ts,37,37,X,43,63,,,Secret
32350,8e4a7d73,GitHub,638eb0c6,data/638eb0c6/_/8e4a7d73,3,3,T,55,63,,,Password
32364,b3356305,GitHub,638eb0c6,data/638eb0c6/_/b3356305.md,116,116,F,91,108,,,URL Credentials
32411,df79c119,GitHub,638eb0c6,data/638eb0c6/example/sample/df79c119.js,3,3,X,37,49,,,URL Credentials
33005,b803fcb7,GitHub,638eb0c6,data/638eb0c6/_/b803fcb7.yml,36,36,T,45,53,,,URL Credentials
33961,b803fcb7,GitHub,638eb0c6,data/638eb0c6/_/b803fcb7.yml,61,61,T,29,37,,,Password
34161,04b06f40,GitHub,638eb0c6,data/638eb0c6/_/04b06f40.md,59,59,T,36,44,,,URL Credentials
34632,30d68336,GitHub,638eb0c6,data/638eb0c6/src/30d68336.ts,390,390,X,46,50,,,URL Credentials
35322,07044481,GitHub,638eb0c6,data/638eb0c6/test/src/assets/07044481.pem,1,27,T,,,Private,,PEM Private Key
35672,8e4a7d73,GitHub,638eb0c6,data/638eb0c6/_/8e4a7d73,2,2,T,52,60,,,URL Credentials
36187,a8678ed0,GitHub,638eb0c6,data/638eb0c6/example/a8678ed0.sql,24,24,T,106,117,,,Password
36188,a8678ed0,GitHub,638eb0c6,data/638eb0c6/example/a8678ed0.sql,23,23,T,111,121,,,Password
36189,a8678ed0,GitHub,638eb0c6,data/638eb0c6/example/a8678ed0.sql,22,22,T,110,116,,,Password
36190,a8678ed0,GitHub,638eb0c6,data/638eb0c6/example/a8678ed0.sql,21,21,T,105,115,,,Password
36191,a8678ed0,GitHub,638eb0c6,data/638eb0c6/example/a8678ed0.sql,20,20,T,105,112,,,Password
36192,a8678ed0,GitHub,638eb0c6,data/638eb0c6/example/a8678ed0.sql,19,19,T,102,114,,,Password
36193,a8678ed0,GitHub,638eb0c6,data/638eb0c6/example/a8678ed0.sql,27,27,T,110,119,,,Password
36194,a8678ed0,GitHub,638eb0c6,data/638eb0c6/example/a8678ed0.sql,18,18,T,106,113,,,Password
36202,a8678ed0,GitHub,638eb0c6,data/638eb0c6/example/a8678ed0.sql,25,25,T,113,119,,,Password
