Id,FileID,Domain,RepoName,FilePath,LineStart,LineEnd,GroundTruth,ValueStart,ValueEnd,CryptographyKey,PredefinedPattern,Category
96981,602fb3c8,GitHub,64c97cb8,data/64c97cb8/src/assets/602fb3c8.xaml,115,115,F,18,28,,,Key
96983,22b0da6b,GitHub,64c97cb8,data/64c97cb8/test/22b0da6b.cs,37,37,T,61,113,,,Token
1112601,d58d6be8,GitHub,64c97cb8,data/64c97cb8/test/d58d6be8.json,173,173,F,314,361,,digits-letters-digits,Token
96985,d58d6be8,GitHub,64c97cb8,data/64c97cb8/test/d58d6be8.json,173,173,F,473,481,,hash,Token
1112609,d58d6be8,GitHub,64c97cb8,data/64c97cb8/test/d58d6be8.json,173,173,F,383,447,,,Token
96986,6bbf6684,GitHub,64c97cb8,data/64c97cb8/docs/6bbf6684.md,3,3,F,205,232,,,Credential
96987,b3356305,GitHub,64c97cb8,data/64c97cb8/_/b3356305.md,14,14,F,47,64,,,Credential
96988,b3356305,GitHub,64c97cb8,data/64c97cb8/_/b3356305.md,27,27,F,47,64,,,Credential
96989,10dc3da3,GitHub,64c97cb8,data/64c97cb8/_/10dc3da3.cs,40,40,F,46,52,,,Key
96990,10dc3da3,GitHub,64c97cb8,data/64c97cb8/_/10dc3da3.cs,41,41,F,49,58,,,Password:Key
96991,16e5ea6e,GitHub,64c97cb8,data/64c97cb8/_/16e5ea6e.cs,125,125,F,35,50,,,Password
96992,1b922a66,GitHub,64c97cb8,data/64c97cb8/src/1b922a66.cs,84,84,F,69,77,,,Token
96993,1b922a66,GitHub,64c97cb8,data/64c97cb8/src/1b922a66.cs,105,105,F,74,87,,,Token
96994,1b922a66,GitHub,64c97cb8,data/64c97cb8/src/1b922a66.cs,174,174,F,69,77,,,Token
96995,8a4c3987,GitHub,64c97cb8,data/64c97cb8/_/8a4c3987.cs,38,38,T,46,62,,,Password
