Repo,File,Scope,Extension,LineStart,LineEnd,Label,ValueStart,ValueEnd,Info,Category
654956e7,03f00beb,/test/api/,.js,42,42,F,20,30,,Other
654956e7,15db373e,/script/,,145,145,F,12,80,,Other
654956e7,281e52e2,/_/,,23,23,F,-1,-1,,Key
654956e7,281e52e2,/_/,,24,24,F,-1,-1,,Key
654956e7,281e52e2,/_/,,31,31,T,14,50,,Token:UUID
654956e7,281e52e2,/_/,,20,20,F,-1,-1,,Key
654956e7,281e52e2,/_/,,22,22,F,-1,-1,,Key
654956e7,281e52e2,/_/,,21,21,F,-1,-1,,Key
654956e7,2d0bafab,/readme/python/,.md,81,81,F,,,,API
654956e7,39ab7bf3,/_/,.sh,23,23,F,,,,Token
654956e7,39ab7bf3,/_/,.sh,18,18,F,,,,Token
654956e7,39ab7bf3,/_/,.sh,58,58,F,,,,Auth
654956e7,39ab7bf3,/_/,.sh,57,57,F,,,,Auth
654956e7,42f56881,/api/,.sh,77,77,F,,,,Token
654956e7,42f56881,/api/,.sh,22,22,F,,,,Token
654956e7,4a2dc115,/script/,,140,140,F,-1,-1,,Key
654956e7,4a2dc115,/script/,,125,125,F,-1,-1,,Key
654956e7,4df7519b,/api/server/build/,.rb,26,26,F,-1,-1,,Key
654956e7,4df7519b,/api/server/build/,.rb,141,141,F,,,,Token
654956e7,4df7519b,/api/server/build/,.rb,77,77,F,,,,Token
654956e7,4df7519b,/api/server/build/,.rb,30,30,F,,,,Secret
654956e7,4df7519b,/api/server/build/,.rb,99,99,F,-1,-1,,Other
654956e7,4df7519b,/api/server/build/,.rb,100,100,F,-1,-1,,Other
654956e7,4df7519b,/api/server/build/,.rb,108,108,F,-1,-1,,Other
654956e7,4e5ee5b0,/api/server/,.js,272,272,F,,,,Token
654956e7,4e5ee5b0,/api/server/,.js,275,275,F,,,,Token
654956e7,4f6e37c4,/api/,.rb,28,28,F,,,,Token
654956e7,5357e046,/app/,.rb,24,24,F,,,,Token
654956e7,595b6a9f,/server/app/,.rb,13,13,F,-1,-1,,Key
654956e7,5f089171,/readme/,.md,107,107,F,-1,-1,,Key
654956e7,5f089171,/readme/,.md,108,108,F,-1,-1,,Key
654956e7,5f089171,/readme/,.md,106,106,F,-1,-1,,Key
654956e7,5f089171,/readme/,.md,174,174,F,,,,Password
654956e7,5f089171,/readme/,.md,175,175,F,49,60,,Password
654956e7,5f089171,/readme/,.md,249,249,T,14,50,,Token:UUID
654956e7,5f089171,/readme/,.md,117,117,T,14,50,,Token:UUID
654956e7,5f089171,/readme/,.md,293,293,F,,,,Password
654956e7,5f089171,/readme/,.md,110,110,F,-1,-1,,Key
654956e7,5f089171,/readme/,.md,242,242,F,-1,-1,,Key
654956e7,5f089171,/readme/,.md,238,238,F,-1,-1,,Key
654956e7,5f089171,/readme/,.md,109,109,F,-1,-1,,Key
654956e7,5f089171,/readme/,.md,241,241,F,-1,-1,,Key
654956e7,5f089171,/readme/,.md,240,240,F,-1,-1,,Key
654956e7,5f089171,/readme/,.md,239,239,F,-1,-1,,Key
654956e7,5f089171,/readme/,.md,351,351,F,49,60,,Password
654956e7,5f089171,/readme/,.md,292,292,F,60,83,,Password
654956e7,5f089171,/readme/,.md,350,350,F,60,83,,Password
654956e7,5f089171,/readme/,.md,23,23,F,-1,-1,,Credential
654956e7,5f089171,/readme/,.md,92,92,T,0,36,,UUID
654956e7,5f089171,/readme/,.md,97,97,T,0,36,,UUID
654956e7,657c501c,/client/,.sh,20,20,F,,,,Token
654956e7,75ef6586,/api/,.rb,59,59,F,,,,Password
654956e7,7a7ec8ee,/api/,.groovy,17,17,Template,24,47,,Token
654956e7,83fae64a,/_/,.sh,57,57,F,,,,Auth
654956e7,9e3ae54c,/api/server/,.go,30,30,F,,,,Secret
654956e7,9ecafaf4,/_/,.sh,48,48,F,-1,-1,,Key
