Id,FileID,Domain,RepoName,FilePath,LineStart:LineEnd,GroundTruth,WithWords,ValueStart,ValueEnd,InURL,InRuntimeParameter,CharacterSet,CryptographyKey,PredefinedPattern,VariableNameType,Entropy,Length,Base64Encode,HexEncode,URLEncode,Category
6133,e8243119,GitHub,660708f3,data/660708f3/src/e.php,30:30,False,F,,,F,F,,,,,0,0,F,F,F,
6134,b07db9c3,GitHub,660708f3,data/660708f3/src/d.php,56:56,False,F,,,F,F,,,,,0,0,F,F,F,
11214,6e395352,GitHub,660708f3,data/660708f3/src/c.js,5523:5523,False,F,,,F,F,,,,,0,0,F,F,F,
11234,6e395352,GitHub,660708f3,data/660708f3/src/c.js,6578:6578,False,F,,,F,F,,,,,0,0,F,F,F,
13509,f3591641,GitHub,660708f3,data/660708f3/src/f.php,14:14,False,F,,,F,F,,,,,0,0,F,F,F,
14898,05f87a07,GitHub,660708f3,data/660708f3/src/g.php,39:39,False,F,,,F,F,,,,,0,0,F,F,F,
15986,f3591641,GitHub,660708f3,data/660708f3/src/f.php,28:28,False,F,,,F,F,,,,,0,0,F,F,F,
16398,14fbb5fd,GitHub,660708f3,data/660708f3/src/h.php,62:62,False,F,,,F,F,,,,,0,0,F,F,F,
16468,6e395352,GitHub,660708f3,data/660708f3/src/c.js,3830:3830,False,F,,,F,F,,,,,0,0,F,F,F,
16469,6e395352,GitHub,660708f3,data/660708f3/src/c.js,3829:3829,False,F,,,F,F,,,,,0,0,F,F,F,
16478,6e395352,GitHub,660708f3,data/660708f3/src/c.js,3782:3782,False,F,,,F,F,,,,,0,0,F,F,F,
16479,6e395352,GitHub,660708f3,data/660708f3/src/c.js,3570:3570,False,F,,,F,F,,,,,0,0,F,F,F,
16493,6e395352,GitHub,660708f3,data/660708f3/src/c.js,3783:3783,False,F,,,F,F,,,,,0,0,F,F,F,
16537,6e395352,GitHub,660708f3,data/660708f3/src/c.js,3702:3702,False,F,,,F,F,,,,,0,0,F,F,F,
16538,6e395352,GitHub,660708f3,data/660708f3/src/c.js,3701:3701,False,F,,,F,F,,,,,0,0,F,F,F,
16539,6e395352,GitHub,660708f3,data/660708f3/src/c.js,3700:3700,False,F,,,F,F,,,,,0,0,F,F,F,
16540,6e395352,GitHub,660708f3,data/660708f3/src/c.js,3699:3699,False,F,,,F,F,,,,,0,0,F,F,F,
