Id,FileID,Domain,RepoName,FilePath,LineStart:LineEnd,GroundTruth,WithWords,ValueStart,ValueEnd,InURL,InRuntimeParameter,CharacterSet,CryptographyKey,PredefinedPattern,VariableNameType,Entropy,Length,Base64Encode,HexEncode,URLEncode,Category
6,1775bc38,GitHub,6607e641,data/6607e641/src/r.go,317:317,False,F,,,F,F,,,,,0,0,F,F,F,
7,1775bc38,GitHub,6607e641,data/6607e641/src/r.go,316:316,False,F,,,F,F,,,,,0,0,F,F,F,
1382,075b418f,GitHub,6607e641,data/6607e641/src/k.go,103:103,False,F,,,F,F,,,,,0,0,F,F,F,
1383,cc92d2b6,GitHub,6607e641,data/6607e641/src/m.go,29:29,False,F,,,F,F,,,,,0,0,F,F,F,
1384,075b418f,GitHub,6607e641,data/6607e641/src/k.go,101:101,False,F,,,F,F,,,,,0,0,F,F,F,
1935,3295df72,GitHub,6607e641,data/6607e641/src/b.sum,481:481,False,F,,,F,F,,,,,0,0,F,F,F,
2202,3295df72,GitHub,6607e641,data/6607e641/src/b.sum,482:482,False,F,,,F,F,,,,,0,0,F,F,F,
2260,3295df72,GitHub,6607e641,data/6607e641/src/b.sum,480:480,False,F,,,F,F,,,,,0,0,F,F,F,
2279,3295df72,GitHub,6607e641,data/6607e641/src/b.sum,479:479,False,F,,,F,F,,,,,0,0,F,F,F,
2281,3295df72,GitHub,6607e641,data/6607e641/src/b.sum,478:478,False,F,,,F,F,,,,,0,0,F,F,F,
3443,3295df72,GitHub,6607e641,data/6607e641/src/b.sum,136:136,False,F,,,F,F,,,,,0,0,F,F,F,
3453,3295df72,GitHub,6607e641,data/6607e641/src/b.sum,126:126,False,F,,,F,F,,,,,0,0,F,F,F,
3503,3295df72,GitHub,6607e641,data/6607e641/src/b.sum,125:125,False,F,,,F,F,,,,,0,0,F,F,F,
4670,285cd3df,GitHub,6607e641,data/6607e641/src/y.sh,83:83,False,F,,,F,F,,,,,0,0,F,F,F,
4719,787f7ad7,GitHub,6607e641,data/6607e641/src/x.go,64:64,False,F,,,F,F,,,,,0,0,F,F,F,
5948,0190481c,GitHub,6607e641,data/6607e641/src/t.go,112:112,False,F,,,F,F,,,,,0,0,F,F,F,
7491,a2fb7cf4,GitHub,6607e641,data/6607e641/other/p.md,154:154,False,F,,,F,F,,,,,0,0,F,F,F,
19565,5bd2a0c5,GitHub,6607e641,data/6607e641/src/a.json,36959:36959,False,F,,,F,F,,,,,0,0,F,F,F,
19572,fcc93115,GitHub,6607e641,data/6607e641/src/e.go,19:19,False,F,,,F,F,,,,,0,0,F,F,F,
19601,c6c7cb63,GitHub,6607e641,data/6607e641/src/g.go,1313:1313,False,F,,,F,F,,,,,0,0,F,F,F,
19633,c6c7cb63,GitHub,6607e641,data/6607e641/src/g.go,134:134,False,F,,,F,F,,,,,0,0,F,F,F,
21583,c6c7cb63,GitHub,6607e641,data/6607e641/src/g.go,130:130,False,F,,,F,F,,,,,0,0,F,F,F,
21940,c6c7cb63,GitHub,6607e641,data/6607e641/src/g.go,781:781,False,F,,,F,F,,,,,0,0,F,F,F,
22091,c6c7cb63,GitHub,6607e641,data/6607e641/src/g.go,226:226,False,F,,,F,F,,,,,0,0,F,F,F,
22160,c6c7cb63,GitHub,6607e641,data/6607e641/src/g.go,846:846,False,F,,,F,F,,,,,0,0,F,F,F,
22324,5bd2a0c5,GitHub,6607e641,data/6607e641/src/a.json,38423:38423,False,F,,,F,F,,,,,0,0,F,F,F,
22359,c6c7cb63,GitHub,6607e641,data/6607e641/src/g.go,704:704,False,F,,,F,F,,,,,0,0,F,F,F,
22466,c6c7cb63,GitHub,6607e641,data/6607e641/src/g.go,850:850,False,F,,,F,F,,,,,0,0,F,F,F,
22717,c6c7cb63,GitHub,6607e641,data/6607e641/src/g.go,1030:1030,False,F,,,F,F,,,,,0,0,F,F,F,
22828,16b537e6,GitHub,6607e641,data/6607e641/src/j.json,49:49,False,F,,,F,F,,,,,0,0,F,F,F,
23737,dc3e48d8,GitHub,6607e641,data/6607e641/src/w.go,73:73,False,F,,,F,F,,,,,0,0,F,F,F,
23757,5e74371a,GitHub,6607e641,data/6607e641/src/v.go,72:72,False,F,,,F,F,,,,,0,0,F,F,F,
23758,5e74371a,GitHub,6607e641,data/6607e641/src/v.go,173:173,False,F,,,F,F,,,,,0,0,F,F,F,
23759,0190481c,GitHub,6607e641,data/6607e641/src/t.go,60:60,False,F,,,F,F,,,,,0,0,F,F,F,
23760,cd6bde58,GitHub,6607e641,data/6607e641/src/o.go,36:36,False,F,,,F,F,,,,,0,0,F,F,F,
23761,876597bb,GitHub,6607e641,data/6607e641/test/s.go,101:101,False,F,,,F,F,,,,,0,0,F,F,F,
23771,95e36f05,GitHub,6607e641,data/6607e641/src/i.go,66:66,False,F,,,F,F,,,,,0,0,F,F,F,
24837,b41d02f7,GitHub,6607e641,data/6607e641/src/q.go,206:206,False,F,,,F,F,,,,,0,0,F,F,F,
24839,e8a20a89,GitHub,6607e641,data/6607e641/src/c.go,133:133,False,F,,,F,F,,,,,0,0,F,F,F,
24881,9a8e410a,GitHub,6607e641,data/6607e641/src/d.go,179:179,False,F,,,F,F,,,,,0,0,F,F,F,
25554,285cd3df,GitHub,6607e641,data/6607e641/src/y.sh,64:64,False,F,,,F,F,,,,,0,0,F,F,F,
27747,a613df97,GitHub,6607e641,data/6607e641/test/f.go,37:37,Template,1,9,21,F,F,Any,,,Key,2.65,12,F,F,F,Other
27762,1105f98b,GitHub,6607e641,data/6607e641/test/u.go,11:11,Template,0,9,15,F,F,Any,,,Key,2.15,6,F,F,F,Other
29414,edce2966,GitHub,6607e641,data/6607e641/test/h.go,45:45,Template,1,21,32,F,F,Any,,,Key,2.47,11,F,F,F,Other
29651,edce2966,GitHub,6607e641,data/6607e641/test/h.go,19:19,Template,1,17,28,F,F,Any,,,Key,2.47,11,F,F,F,Other
30093,e64aecca,GitHub,6607e641,data/6607e641/test/n.go,30:30,Template,1,27,38,F,F,Any,,,Key,2.47,11,F,F,F,Other
30342,b4056430,GitHub,6607e641,data/6607e641/test/l.go,66:66,Template,1,86,98,F,F,Any,,,Secret,2.65,12,F,F,F,Password
41908,c6c7cb63,GitHub,6607e641,data/6607e641/src/g.go,991:991,Template,1,18,24,F,F,CharsOnly,,,Secret,2.58,6,F,F,F,Password
41909,c6c7cb63,GitHub,6607e641,data/6607e641/src/g.go,1036:1036,Template,1,18,24,F,F,CharsOnly,,,Secret,2.58,6,F,F,F,Password
41910,c6c7cb63,GitHub,6607e641,data/6607e641/src/g.go,150:150,Template,1,21,27,F,F,CharsOnly,,,Token,2.58,6,F,F,F,Generic Token
41911,c6c7cb63,GitHub,6607e641,data/6607e641/src/g.go,805:805,Template,1,23,29,F,F,CharsOnly,,,Token,2.58,6,F,F,F,Generic Token
46182,a613df97,GitHub,6607e641,data/6607e641/test/f.go,67:67,False,F,,,F,F,,,,,0,0,F,F,F,
53524,c6c7cb63,GitHub,6607e641,data/6607e641/src/g.go,358:358,False,F,,,F,F,,,,,0,0,F,F,F,
53525,c6c7cb63,GitHub,6607e641,data/6607e641/src/g.go,383:383,False,F,,,F,F,,,,,0,0,F,F,F,
53526,c6c7cb63,GitHub,6607e641,data/6607e641/src/g.go,770:770,False,F,,,F,F,,,,,0,0,F,F,F,
53527,c6c7cb63,GitHub,6607e641,data/6607e641/src/g.go,794:794,False,F,,,F,F,,,,,0,0,F,F,F,
53528,c6c7cb63,GitHub,6607e641,data/6607e641/src/g.go,153:153,False,F,,,F,F,,,,,0,0,F,F,F,
53529,c6c7cb63,GitHub,6607e641,data/6607e641/src/g.go,645:645,False,F,,,F,F,,,,,0,0,F,F,F,
53530,c6c7cb63,GitHub,6607e641,data/6607e641/src/g.go,372:372,False,F,,,F,F,,,,,0,0,F,F,F,
53531,c6c7cb63,GitHub,6607e641,data/6607e641/src/g.go,1377:1377,False,F,,,F,F,,,,,0,0,F,F,F,
53532,c6c7cb63,GitHub,6607e641,data/6607e641/src/g.go,1369:1369,False,F,,,F,F,,,,,0,0,F,F,F,
53533,c6c7cb63,GitHub,6607e641,data/6607e641/src/g.go,1387:1387,False,F,,,F,F,,,,,0,0,F,F,F,
53534,c6c7cb63,GitHub,6607e641,data/6607e641/src/g.go,632:632,False,F,,,F,F,,,,,0,0,F,F,F,
54739,c6c7cb63,GitHub,6607e641,data/6607e641/src/g.go,867:867,False,F,,,F,F,,,,,0,0,F,F,F,
54762,c6c7cb63,GitHub,6607e641,data/6607e641/src/g.go,240:240,False,F,,,F,F,,,,,0,0,F,F,F,
54763,c6c7cb63,GitHub,6607e641,data/6607e641/src/g.go,688:688,False,F,,,F,F,,,,,0,0,F,F,F,
