Id,FileID,Domain,RepoName,FilePath,LineStart,LineEnd,GroundTruth,WithWords,ValueStart,ValueEnd,InURL,InRuntimeParameter,CharacterSet,CryptographyKey,PredefinedPattern,VariableNameType,Entropy,Length,Base64Encode,HexEncode,URLEncode,Category
1902,68f6e826,GitHub,71455799,data/71455799/test/68f6e826.tf,45,45,F,F,-1,-1,F,F,,,,,0.0,0,F,F,F,Key
1929,0ac56114,GitHub,71455799,data/71455799/test/0ac56114.tf,14,14,F,F,,,F,F,,,,,0,0,F,F,F,Key
9855,4411b77a,GitHub,71455799,data/71455799/test/4411b77a.go,75,75,F,F,-1,-1,F,F,,,,,0.0,0,F,F,F,Key
9856,4411b77a,GitHub,71455799,data/71455799/test/4411b77a.go,76,76,F,F,-1,-1,F,F,,,,,0.0,0,F,F,F,Key
9857,4411b77a,GitHub,71455799,data/71455799/test/4411b77a.go,62,62,F,F,-1,-1,F,F,,,,,0.0,0,F,F,F,Key
12400,88fa54fc,GitHub,71455799,data/71455799/test/88fa54fc.go,326,326,F,F,-1,-1,F,F,,,,,0.0,0,F,F,F,Key
12408,88fa54fc,GitHub,71455799,data/71455799/test/88fa54fc.go,351,351,F,F,-1,-1,F,F,,,,,0.0,0,F,F,F,Key
12437,a936ec66,GitHub,71455799,data/71455799/test/a936ec66.tf,14,14,F,F,-1,-1,F,F,,,,,0.0,0,F,F,F,Key
12439,7932243d,GitHub,71455799,data/71455799/test/7932243d.tf,14,14,F,F,-1,-1,F,F,,,,,0.0,0,F,F,F,Key
13150,68f6e826,GitHub,71455799,data/71455799/test/68f6e826.tf,17,17,F,F,-1,-1,F,F,,,,,0.0,0,F,F,F,Key
13151,68f6e826,GitHub,71455799,data/71455799/test/68f6e826.tf,46,46,F,F,-1,-1,F,F,,,,,0.0,0,F,F,F,Key
20251,432dca62,GitHub,71455799,data/71455799/test/432dca62.json,66,66,F,F,-1,-1,F,F,,,,,0.0,0,F,F,F,Key
20252,08a2c15d,GitHub,71455799,data/71455799/test/08a2c15d.tfstate,46,46,F,F,,,F,F,,,,,0,0,F,F,F,Key
20280,432dca62,GitHub,71455799,data/71455799/test/432dca62.json,14,14,F,F,-1,-1,F,F,,,,,0.0,0,F,F,F,Key
20662,97a023e7,GitHub,71455799,data/71455799/src/97a023e7.go,38,38,F,F,-1,-1,F,F,,,,,0.0,0,F,F,F,Key
20735,a20d32dc,GitHub,71455799,data/71455799/test/a20d32dc.json,97223,97223,F,F,-1,-1,F,F,,,,,0.0,0,F,F,F,Key
22008,432dca62,GitHub,71455799,data/71455799/test/432dca62.json,85,85,F,F,-1,-1,F,F,,,,,0.0,0,F,F,F,Key
22096,08a2c15d,GitHub,71455799,data/71455799/test/08a2c15d.tfstate,41,41,F,F,-1,-1,F,F,,,,,0.0,0,F,F,F,Key
22309,d5cce558,GitHub,71455799,data/71455799/test/d5cce558.json,74085,74085,F,F,,,F,F,,,,,0,0,F,F,F,Password
24610,02ec928a,GitHub,71455799,data/71455799/test/02ec928a.go,228,228,F,F,-1,-1,F,F,,,,,0.0,0,F,F,F,Key
24616,4411b77a,GitHub,71455799,data/71455799/test/4411b77a.go,30,30,F,F,-1,-1,F,F,,,,,0.0,0,F,F,F,Key
25032,b2731ba4,GitHub,71455799,data/71455799/src/b2731ba4.go,52,52,F,F,-1,-1,F,F,,,,,0.0,0,F,F,F,Key
25038,4411b77a,GitHub,71455799,data/71455799/test/4411b77a.go,47,47,F,F,-1,-1,F,F,,,,,0.0,0,F,F,F,Key
25043,e66ba777,GitHub,71455799,data/71455799/test/e66ba777.go,30,30,F,F,-1,-1,F,F,,,,,0.0,0,F,F,F,Key
25057,02ec928a,GitHub,71455799,data/71455799/test/02ec928a.go,217,217,F,F,-1,-1,F,F,,,,,0.0,0,F,F,F,Key
25062,aadad70e,GitHub,71455799,data/71455799/src/aadad70e.go,293,293,F,F,-1,-1,F,F,,,,,0.0,0,F,F,F,Key
25076,85b7b655,GitHub,71455799,data/71455799/src/85b7b655.go,33,33,F,F,-1,-1,F,F,,,,,0.0,0,F,F,F,Key
29012,87378121,GitHub,71455799,data/71455799/test/87378121.tfstate,56,56,T,F,25,34,F,F,CharsOnly,,,Secret,2.5,9,F,F,F,Password
29274,f9312afb,GitHub,71455799,data/71455799/test/f9312afb.tf,19,19,T,F,28,37,F,F,CharsOnly,,,Secret,2.5,9,F,F,F,Password
29275,004bbc21,GitHub,71455799,data/71455799/test/004bbc21.tf,19,19,T,F,28,37,F,F,CharsOnly,,,Secret,2.5,9,F,F,F,Password
31371,15c8e8a5,GitHub,71455799,data/71455799/test/15c8e8a5.tf,27,27,F,T,14,30,F,F,CharsOnly,,,Unknown,3.33,16,F,F,F,Key
32234,8d6d06be,GitHub,71455799,data/71455799/test/8d6d06be.go,79,79,T,F,31,51,F,F,Any,,AWS Client ID,Token,3.72,20,F,F,F,AWS Client ID:Gitlab Feed Token:Key
32236,8d6d06be,GitHub,71455799,data/71455799/test/8d6d06be.go,71,71,T,F,31,51,F,F,Any,,AWS Client ID,Token,3.82,20,F,F,F,AWS Client ID:Gitlab Feed Token:Key
32237,8d6d06be,GitHub,71455799,data/71455799/test/8d6d06be.go,75,75,T,F,31,51,F,F,Any,,AWS Client ID,Token,3.72,20,F,F,F,AWS Client ID:Gitlab Feed Token:Key
32238,8d6d06be,GitHub,71455799,data/71455799/test/8d6d06be.go,67,67,T,F,31,51,F,F,Any,,AWS Client ID,Token,3.51,20,F,F,F,AWS Client ID:Gitlab Feed Token:Key
32553,7ff5251e,GitHub,71455799,data/71455799/test/7ff5251e.go,1088,1088,T,F,10,30,F,F,Any,,AWS Client ID,Token,3.38,20,F,F,F,AWS Client ID:Gitlab Feed Token
32554,7ff5251e,GitHub,71455799,data/71455799/test/7ff5251e.go,1063,1063,T,F,10,30,F,F,Any,,AWS Client ID,Token,3.72,20,F,F,F,AWS Client ID:Gitlab Feed Token
34172,4847bee0,GitHub,71455799,data/71455799/test/4847bee0.tfstate,77,77,T,F,26,47,F,F,Any,,AWS Client ID,Token,3.92,20,F,F,F,AWS Client ID
34173,9078d0c8,GitHub,71455799,data/71455799/test/9078d0c8.json,53,53,T,F,17,38,F,F,Any,,AWS Client ID,Token,3.92,20,F,F,F,AWS Client ID
