Id,FileID,Domain,RepoName,FilePath,LineStart:LineEnd,GroundTruth,WithWords,ValueStart,ValueEnd,InURL,InRuntimeParameter,CharacterSet,CryptographyKey,PredefinedPattern,VariableNameType,Entropy,Length,Base64Encode,HexEncode,URLEncode,Category
1014,4a6e201d,GitHub,72001588,data/72001588/src/4a6e201d.py,503:503,F,F,,,F,F,,,,,0,0,F,F,F,
4951,31ec48f3,GitHub,72001588,data/72001588/other/31ec48f3,9:9,F,F,,,F,F,,,,,0,0,F,F,F,
5465,69a57533,GitHub,72001588,data/72001588/src/69a57533.service,8:8,F,F,,,F,F,,,,,0,0,F,F,F,
5466,c7c305f7,GitHub,72001588,data/72001588/src/c7c305f7.service,7:7,F,F,,,F,F,,,,,0,0,F,F,F,
5965,a2b952af,GitHub,72001588,data/72001588/src/a2b952af.yml,4:4,F,F,,,F,F,,,,,0,0,F,F,F,
6052,85fc2629,GitHub,72001588,data/72001588/src/85fc2629.yaml,2:2,F,F,,,F,F,,,,,0,0,F,F,F,
6064,6887e6ef,GitHub,72001588,data/72001588/src/6887e6ef.yml,4:4,F,F,,,F,F,,,,,0,0,F,F,F,
6462,4cf2bb56,GitHub,72001588,data/72001588/src/4cf2bb56.yml,31:31,F,F,,,F,F,,,,,0,0,F,F,F,
7887,12925cc4,GitHub,72001588,data/72001588/src/12925cc4.yaml,6:6,F,F,,,F,F,,,,,0,0,F,F,F,
8169,92022976,GitHub,72001588,data/72001588/src/92022976.yml,24:24,F,F,,,F,F,,,,,0,0,F,F,F,
8170,fb6cb0e0,GitHub,72001588,data/72001588/src/fb6cb0e0.yml,5:5,F,F,,,F,F,,,,,0,0,F,F,F,
9314,a49cb8ee,GitHub,72001588,data/72001588/src/a49cb8ee.yml,8:8,F,F,,,F,F,,,,,0,0,F,F,F,
13232,70327da9,GitHub,72001588,data/72001588/src/70327da9.yml,4:4,F,F,,,F,F,,,,,0,0,F,F,F,
13233,57f28ccf,GitHub,72001588,data/72001588/src/57f28ccf.cfg,4:4,F,F,,,F,F,,,,,0,0,F,F,F,
13234,0301ac6d,GitHub,72001588,data/72001588/src/0301ac6d.cfg,4:4,F,F,,,F,F,,,,,0,0,F,F,F,
13235,e0ced2e0,GitHub,72001588,data/72001588/src/e0ced2e0.cfg,4:4,F,F,,,F,F,,,,,0,0,F,F,F,
13257,6dea4c1e,GitHub,72001588,data/72001588/src/6dea4c1e.yml,4:4,F,F,,,F,F,,,,,0,0,F,F,F,
13821,eb486ff5,GitHub,72001588,data/72001588/src/eb486ff5.py,586:586,F,F,,,F,F,,,,,0,0,F,F,F,
16590,4a6e201d,GitHub,72001588,data/72001588/src/4a6e201d.py,364:364,F,F,,,F,F,,,,,0,0,F,F,F,
21122,ad0c8ee5,GitHub,72001588,data/72001588/src/ad0c8ee5.ini,154:154,F,F,,,F,F,,,,,0,0,F,F,F,
21457,093229aa,GitHub,72001588,data/72001588/other/093229aa.md,47:47,F,F,,,F,F,,,,,0,0,F,F,F,
21604,62c135d6,GitHub,72001588,data/72001588/src/62c135d6.json,15:15,F,F,,,F,F,,,,,0,0,F,F,F,
22022,62c135d6,GitHub,72001588,data/72001588/src/62c135d6.json,16:16,F,F,,,F,F,,,,,0,0,F,F,F,
22282,fbeb53bc,GitHub,72001588,data/72001588/test/fbeb53bc.json,6:6,F,F,,,F,F,,,,,0,0,F,F,F,
22712,df8f0b4c,GitHub,72001588,data/72001588/src/df8f0b4c.json,15:15,F,F,,,F,F,,,,,0,0,F,F,F,
24811,163cd050,GitHub,72001588,data/72001588/src/163cd050.j2,15:15,F,F,,,F,F,,,,,0,0,F,F,F,
27216,519f7a46,GitHub,72001588,data/72001588/src/519f7a46.ini,208:208,Template,F,26,45,F,F,CharsOnly,,,Secret,0,19,F,F,F,Password
27292,919469cb,GitHub,72001588,data/72001588/src/919469cb.ini,209:209,Template,F,23,51,F,F,CharsOnly,,,Token,0,28,F,F,F,Generic Token
27427,be76e124,GitHub,72001588,data/72001588/src/be76e124.yml,2:2,F,F,11,15,F,F,,,,,0,0,F,F,F,
28109,189f3770,GitHub,72001588,data/72001588/src/189f3770.erb,7:7,F,F,35,50,F,F,,,,,0,0,F,F,F,
28110,ddfe0c7c,GitHub,72001588,data/72001588/src/ddfe0c7c.erb,6:6,F,F,35,50,F,F,,,,,0,0,F,F,F,
28871,be76e124,GitHub,72001588,data/72001588/src/be76e124.yml,3:3,Template,T,11,15,F,F,CharsOnly,,,Secret,2.00,4,F,F,F,Password
28882,ed73bc37,GitHub,72001588,data/72001588/src/ed73bc37.yml,3:3,Template,T,11,15,F,F,CharsOnly,,,Secret,2.00,4,F,F,F,Password
31519,4a6e201d,GitHub,72001588,data/72001588/src/4a6e201d.py,13:13,Template,F,30,36,F,F,Any,,,Secret,2.58,6,F,F,F,Password
31522,0ed4f2dd,GitHub,72001588,data/72001588/src/0ed4f2dd.py,13:13,Template,F,30,36,F,F,Any,,,Secret,2.58,6,F,F,F,Password
35267,27d3362d,GitHub,72001588,data/72001588/other/27d3362d,1:30,T,T,,,F,F,Any,Private,,Unknown,2.53,31,F,F,F,Private Key
35287,07e6ca2d,GitHub,72001588,data/72001588/other/07e6ca2d,1:30,T,T,,,F,F,Any,Private,,Unknown,2.53,31,F,F,F,Private Key
36062,f5cb4f6a,GitHub,72001588,data/72001588/test/f5cb4f6a.tf,4:4,Template,T,12,20,F,F,CharsOnly,,,Secret,2.75,8,F,F,F,Password
36433,6887e6ef,GitHub,72001588,data/72001588/src/6887e6ef.yml,7:7,T,F,14,37,F,F,Any,,,Token,3.53,23,F,F,F,Generic Token
41120,eb486ff5,GitHub,72001588,data/72001588/src/eb486ff5.py,13:13,Template,F,30,36,F,F,Any,,,Secret,2.58,6,F,F,F,Password
41782,eb486ff5,GitHub,72001588,data/72001588/src/eb486ff5.py,538:538,F,F,,,F,F,,,,,0,0,F,F,F,
42419,a2b952af,GitHub,72001588,data/72001588/src/a2b952af.yml,12:12,T,F,14,37,F,F,Any,,,Token,3.53,23,F,F,F,Generic Token
42705,0ed4f2dd,GitHub,72001588,data/72001588/src/0ed4f2dd.py,538:538,F,F,,,F,F,,,,,0,0,F,F,F,
55007,62c135d6,GitHub,72001588,data/72001588/src/62c135d6.json,18:18,F,F,,,F,F,,,,,0,0,F,F,F,
55616,919469cb,GitHub,72001588,data/72001588/src/919469cb.ini,169:169,F,F,,,F,F,,,,,0,0,F,F,F,
55617,519f7a46,GitHub,72001588,data/72001588/src/519f7a46.ini,169:169,F,F,,,F,F,,,,,0,0,F,F,F,
55618,919469cb,GitHub,72001588,data/72001588/src/919469cb.ini,208:208,Template,F,26,45,F,F,CharsOnly,,,Secret,0,19,F,F,F,Password
55619,ad0c8ee5,GitHub,72001588,data/72001588/src/ad0c8ee5.ini,188:188,Template,F,26,45,F,F,CharsOnly,,,Secret,0,19,F,F,F,Password
55620,519f7a46,GitHub,72001588,data/72001588/src/519f7a46.ini,209:209,Template,F,23,51,F,F,CharsOnly,,,Token,0,28,F,F,F,Generic Token
55621,ad0c8ee5,GitHub,72001588,data/72001588/src/ad0c8ee5.ini,189:189,Template,F,23,51,F,F,CharsOnly,,,Token,0,28,F,F,F,Generic Token
56047,0ed4f2dd,GitHub,72001588,data/72001588/src/0ed4f2dd.py,388:388,F,F,,,F,F,,,,,0,0,F,F,F,
56048,eb486ff5,GitHub,72001588,data/72001588/src/eb486ff5.py,388:388,F,F,,,F,F,,,,,0,0,F,F,F,
63231,4cf2bb56,GitHub,72001588,data/72001588/src/4cf2bb56.yml,39:39,F,F,,,F,F,,,,,0,0,F,F,F,
63232,4cf2bb56,GitHub,72001588,data/72001588/src/4cf2bb56.yml,48:48,F,F,,,F,F,,,,,0,0,F,F,F,
75006,70327da9,GitHub,72001588,data/72001588/src/70327da9.yml,47:47,F,F,,,F,F,,,,,0,0,F,F,F,
75007,70327da9,GitHub,72001588,data/72001588/src/70327da9.yml,62:62,F,F,,,F,F,,,,,0,0,F,F,F,
75008,92022976,GitHub,72001588,data/72001588/src/92022976.yml,4:4,F,F,,,F,F,,,,,0,0,F,F,F,
75074,4a6e201d,GitHub,72001588,data/72001588/src/4a6e201d.py,538:538,F,F,,,F,F,,,,,0,0,F,F,F,
75075,0ed4f2dd,GitHub,72001588,data/72001588/src/0ed4f2dd.py,586:586,F,F,,,F,F,,,,,0,0,F,F,F,
76084,92022976,GitHub,72001588,data/72001588/src/92022976.yml,41:41,F,F,,,F,F,,,,,0,0,F,F,F,
76450,ed73bc37,GitHub,72001588,data/72001588/src/ed73bc37.yml,2:2,F,F,,,F,F,,,,,0,0,F,F,F,
83252,85fc2629,GitHub,72001588,data/72001588/src/85fc2629.yaml,19:19,F,F,12,34,F,F,,,,,0,0,F,F,F,
83253,12925cc4,GitHub,72001588,data/72001588/src/12925cc4.yaml,2:2,F,F,12,34,F,F,,,,,0,0,F,F,F,
110909,eb486ff5,GitHub,72001588,data/72001588/src/eb486ff5.py,12:12,F,F,,,F,F,,,,,0.00,,F,F,F,
110910,0ed4f2dd,GitHub,72001588,data/72001588/src/0ed4f2dd.py,12:12,F,F,,,F,F,,,,,0.00,,F,F,F,
110911,4a6e201d,GitHub,72001588,data/72001588/src/4a6e201d.py,12:12,F,F,,,F,F,,,,,0.00,,F,F,F,
