Id,FileID,Domain,RepoName,FilePath,LineStart:LineEnd,GroundTruth,WithWords,ValueStart,ValueEnd,InURL,InRuntimeParameter,CharacterSet,CryptographyKey,PredefinedPattern,VariableNameType,Entropy,Length,Base64Encode,HexEncode,URLEncode,Category
3991,c3d634e9,GitHub,73ec334d,data/73ec334d/test/a,6957:6957,False,F,,,F,F,,,,,0,0,F,F,F,
3992,c3d634e9,GitHub,73ec334d,data/73ec334d/test/a,6846:6846,False,F,,,F,F,,,,,0,0,F,F,F,
3993,c3d634e9,GitHub,73ec334d,data/73ec334d/test/a,6698:6698,False,F,,,F,F,,,,,0,0,F,F,F,
3994,c3d634e9,GitHub,73ec334d,data/73ec334d/test/a,6247:6247,False,F,,,F,F,,,,,0,0,F,F,F,
3995,c3d634e9,GitHub,73ec334d,data/73ec334d/test/a,3191:3191,False,F,,,F,F,,,,,0,0,F,F,F,
3996,c3d634e9,GitHub,73ec334d,data/73ec334d/test/a,1244:1244,False,F,,,F,F,,,,,0,0,F,F,F,
3997,c3d634e9,GitHub,73ec334d,data/73ec334d/test/a,838:838,False,F,,,F,F,,,,,0,0,F,F,F,
4006,0dfffae2,GitHub,73ec334d,data/73ec334d/src/d.plugin,851:851,False,F,,,F,F,,,,,0,0,F,F,F,
17021,c3d634e9,GitHub,73ec334d,data/73ec334d/test/a,2888:2888,False,F,,,F,F,,,,,0,0,F,F,F,
17047,c3d634e9,GitHub,73ec334d,data/73ec334d/test/a,2163:2163,False,F,,,F,F,,,,,0,0,F,F,F,
17049,c3d634e9,GitHub,73ec334d,data/73ec334d/test/a,1420:1420,False,F,,,F,F,,,,,0,0,F,F,F,
17050,c3d634e9,GitHub,73ec334d,data/73ec334d/test/a,1109:1109,False,F,,,F,F,,,,,0,0,F,F,F,
17062,c3d634e9,GitHub,73ec334d,data/73ec334d/test/a,523:523,False,F,,,F,F,,,,,0,0,F,F,F,
17068,c3d634e9,GitHub,73ec334d,data/73ec334d/test/a,568:568,False,F,,,F,F,,,,,0,0,F,F,F,
17069,c3d634e9,GitHub,73ec334d,data/73ec334d/test/a,596:596,False,F,,,F,F,,,,,0,0,F,F,F,
17070,c3d634e9,GitHub,73ec334d,data/73ec334d/test/a,618:618,False,F,,,F,F,,,,,0,0,F,F,F,
17071,c3d634e9,GitHub,73ec334d,data/73ec334d/test/a,619:619,False,F,,,F,F,,,,,0,0,F,F,F,
17072,c3d634e9,GitHub,73ec334d,data/73ec334d/test/a,622:622,False,F,,,F,F,,,,,0,0,F,F,F,
17073,c3d634e9,GitHub,73ec334d,data/73ec334d/test/a,658:658,False,F,,,F,F,,,,,0,0,F,F,F,
17074,c3d634e9,GitHub,73ec334d,data/73ec334d/test/a,952:952,False,F,,,F,F,,,,,0,0,F,F,F,
17075,c3d634e9,GitHub,73ec334d,data/73ec334d/test/a,975:975,False,F,,,F,F,,,,,0,0,F,F,F,
17076,c3d634e9,GitHub,73ec334d,data/73ec334d/test/a,1054:1054,False,F,,,F,F,,,,,0,0,F,F,F,
17077,c3d634e9,GitHub,73ec334d,data/73ec334d/test/a,1083:1083,False,F,,,F,F,,,,,0,0,F,F,F,
17078,c3d634e9,GitHub,73ec334d,data/73ec334d/test/a,1113:1113,False,F,,,F,F,,,,,0,0,F,F,F,
17205,c3d634e9,GitHub,73ec334d,data/73ec334d/test/a,6842:6842,False,F,,,F,F,,,,,0,0,F,F,F,
17214,c3d634e9,GitHub,73ec334d,data/73ec334d/test/a,6843:6843,False,F,,,F,F,,,,,0,0,F,F,F,
17232,c3d634e9,GitHub,73ec334d,data/73ec334d/test/a,6755:6755,False,F,,,F,F,,,,,0,0,F,F,F,
17237,c3d634e9,GitHub,73ec334d,data/73ec334d/test/a,5708:5708,False,F,,,F,F,,,,,0,0,F,F,F,
17238,c3d634e9,GitHub,73ec334d,data/73ec334d/test/a,6449:6449,False,F,,,F,F,,,,,0,0,F,F,F,
17239,c3d634e9,GitHub,73ec334d,data/73ec334d/test/a,6717:6717,False,F,,,F,F,,,,,0,0,F,F,F,
17244,c3d634e9,GitHub,73ec334d,data/73ec334d/test/a,6753:6753,False,F,,,F,F,,,,,0,0,F,F,F,
17246,c3d634e9,GitHub,73ec334d,data/73ec334d/test/a,6754:6754,False,F,,,F,F,,,,,0,0,F,F,F,
17331,c3d634e9,GitHub,73ec334d,data/73ec334d/test/a,2936:2936,False,F,,,F,F,,,,,0,0,F,F,F,
17332,c3d634e9,GitHub,73ec334d,data/73ec334d/test/a,3722:3722,False,F,,,F,F,,,,,0,0,F,F,F,
17334,c3d634e9,GitHub,73ec334d,data/73ec334d/test/a,3856:3856,False,F,,,F,F,,,,,0,0,F,F,F,
17354,c3d634e9,GitHub,73ec334d,data/73ec334d/test/a,4022:4022,False,F,,,F,F,,,,,0,0,F,F,F,
17420,c3d634e9,GitHub,73ec334d,data/73ec334d/test/a,4466:4466,False,F,,,F,F,,,,,0,0,F,F,F,
17421,c3d634e9,GitHub,73ec334d,data/73ec334d/test/a,4501:4501,False,F,,,F,F,,,,,0,0,F,F,F,
17422,c3d634e9,GitHub,73ec334d,data/73ec334d/test/a,4547:4547,False,F,,,F,F,,,,,0,0,F,F,F,
17441,c3d634e9,GitHub,73ec334d,data/73ec334d/test/a,4947:4947,False,F,,,F,F,,,,,0,0,F,F,F,
17446,c3d634e9,GitHub,73ec334d,data/73ec334d/test/a,5577:5577,False,F,,,F,F,,,,,0,0,F,F,F,
23654,c78e8874,GitHub,73ec334d,data/73ec334d/other/b,25:25,False,F,,,F,F,,,,,0,0,F,F,F,
34282,40d8df2f,GitHub,73ec334d,data/73ec334d/src/c.pm,5528:5528,True,1,16,20,T,F,CharsOnly,,,Secret,1.50,4,F,F,F,Password
41570,40d8df2f,GitHub,73ec334d,data/73ec334d/src/c.pm,3441:3441,False,F,,,F,F,,,,,0,0,F,F,F,
41571,40d8df2f,GitHub,73ec334d,data/73ec334d/src/c.pm,3617:3617,False,F,,,F,F,,,,,0,0,F,F,F,
48210,c3d634e9,GitHub,73ec334d,data/73ec334d/test/a,40:40,False,F,,,F,F,,,,,0,0,F,F,F,
48211,c3d634e9,GitHub,73ec334d,data/73ec334d/test/a,3151:3151,False,F,,,F,F,,,,,0,0,F,F,F,
48212,c3d634e9,GitHub,73ec334d,data/73ec334d/test/a,3739:3739,False,F,,,F,F,,,,,0,0,F,F,F,
48213,c3d634e9,GitHub,73ec334d,data/73ec334d/test/a,3740:3740,False,F,,,F,F,,,,,0,0,F,F,F,
48214,c3d634e9,GitHub,73ec334d,data/73ec334d/test/a,3741:3741,False,F,,,F,F,,,,,0,0,F,F,F,
48215,c3d634e9,GitHub,73ec334d,data/73ec334d/test/a,3742:3742,False,F,,,F,F,,,,,0,0,F,F,F,
48216,c3d634e9,GitHub,73ec334d,data/73ec334d/test/a,3743:3743,False,F,,,F,F,,,,,0,0,F,F,F,
48217,c3d634e9,GitHub,73ec334d,data/73ec334d/test/a,3744:3744,False,F,,,F,F,,,,,0,0,F,F,F,
48218,c3d634e9,GitHub,73ec334d,data/73ec334d/test/a,3745:3745,False,F,,,F,F,,,,,0,0,F,F,F,
48219,c3d634e9,GitHub,73ec334d,data/73ec334d/test/a,6741:6741,False,F,,,F,F,,,,,0,0,F,F,F,
48220,c3d634e9,GitHub,73ec334d,data/73ec334d/test/a,6742:6742,False,F,,,F,F,,,,,0,0,F,F,F,
48221,c3d634e9,GitHub,73ec334d,data/73ec334d/test/a,6768:6768,False,F,,,F,F,,,,,0,0,F,F,F,
52098,c3d634e9,GitHub,73ec334d,data/73ec334d/test/a,682:682,False,F,,,F,F,,,,,0,0,F,F,F,
52099,c3d634e9,GitHub,73ec334d,data/73ec334d/test/a,702:702,False,F,,,F,F,,,,,0,0,F,F,F,
52100,c3d634e9,GitHub,73ec334d,data/73ec334d/test/a,703:703,False,F,,,F,F,,,,,0,0,F,F,F,
52101,c3d634e9,GitHub,73ec334d,data/73ec334d/test/a,765:765,False,F,,,F,F,,,,,0,0,F,F,F,
52102,c3d634e9,GitHub,73ec334d,data/73ec334d/test/a,790:790,False,F,,,F,F,,,,,0,0,F,F,F,
52103,c3d634e9,GitHub,73ec334d,data/73ec334d/test/a,799:799,False,F,,,F,F,,,,,0,0,F,F,F,
52104,c3d634e9,GitHub,73ec334d,data/73ec334d/test/a,829:829,False,F,,,F,F,,,,,0,0,F,F,F,
52105,c3d634e9,GitHub,73ec334d,data/73ec334d/test/a,870:870,False,F,,,F,F,,,,,0,0,F,F,F,
52106,c3d634e9,GitHub,73ec334d,data/73ec334d/test/a,878:878,False,F,,,F,F,,,,,0,0,F,F,F,
52107,c3d634e9,GitHub,73ec334d,data/73ec334d/test/a,879:879,False,F,,,F,F,,,,,0,0,F,F,F,
52108,c3d634e9,GitHub,73ec334d,data/73ec334d/test/a,889:889,False,F,,,F,F,,,,,0,0,F,F,F,
52109,c3d634e9,GitHub,73ec334d,data/73ec334d/test/a,1108:1108,False,F,,,F,F,,,,,0,0,F,F,F,
52110,c3d634e9,GitHub,73ec334d,data/73ec334d/test/a,1128:1128,False,F,,,F,F,,,,,0,0,F,F,F,
52111,c3d634e9,GitHub,73ec334d,data/73ec334d/test/a,1371:1371,False,F,,,F,F,,,,,0,0,F,F,F,
52112,c3d634e9,GitHub,73ec334d,data/73ec334d/test/a,1372:1372,False,F,,,F,F,,,,,0,0,F,F,F,
52113,c3d634e9,GitHub,73ec334d,data/73ec334d/test/a,2856:2856,False,F,,,F,F,,,,,0,0,F,F,F,
52114,c3d634e9,GitHub,73ec334d,data/73ec334d/test/a,2857:2857,False,F,,,F,F,,,,,0,0,F,F,F,
52115,c3d634e9,GitHub,73ec334d,data/73ec334d/test/a,2868:2868,False,F,,,F,F,,,,,0,0,F,F,F,
52116,c3d634e9,GitHub,73ec334d,data/73ec334d/test/a,2938:2938,False,F,,,F,F,,,,,0,0,F,F,F,
52117,c3d634e9,GitHub,73ec334d,data/73ec334d/test/a,3046:3046,False,F,,,F,F,,,,,0,0,F,F,F,
52118,c3d634e9,GitHub,73ec334d,data/73ec334d/test/a,3047:3047,False,F,,,F,F,,,,,0,0,F,F,F,
52119,c3d634e9,GitHub,73ec334d,data/73ec334d/test/a,6251:6251,False,F,,,F,F,,,,,0,0,F,F,F,
52120,c3d634e9,GitHub,73ec334d,data/73ec334d/test/a,6731:6731,False,F,,,F,F,,,,,0,0,F,F,F,
55708,40d8df2f,GitHub,73ec334d,data/73ec334d/src/c.pm,1841:1841,False,F,,,F,F,,,,,0,0,F,F,F,
55709,40d8df2f,GitHub,73ec334d,data/73ec334d/src/c.pm,1893:1893,False,F,,,F,F,,,,,0,0,F,F,F,
55710,40d8df2f,GitHub,73ec334d,data/73ec334d/src/c.pm,4687:4687,False,F,,,F,F,,,,,0,0,F,F,F,
55711,40d8df2f,GitHub,73ec334d,data/73ec334d/src/c.pm,4682:4682,False,F,,,F,F,,,,,0,0,F,F,F,
55712,40d8df2f,GitHub,73ec334d,data/73ec334d/src/c.pm,4671:4671,False,F,,,F,F,,,,,0,0,F,F,F,
55714,40d8df2f,GitHub,73ec334d,data/73ec334d/src/c.pm,1852:1852,False,F,,,F,F,,,,,0,0,F,F,F,
55715,40d8df2f,GitHub,73ec334d,data/73ec334d/src/c.pm,1884:1884,False,F,,,F,F,,,,,0,0,F,F,F,
55764,40d8df2f,GitHub,73ec334d,data/73ec334d/src/c.pm,4677:4677,False,F,,,F,F,,,,,0,0,F,F,F,
55790,40d8df2f,GitHub,73ec334d,data/73ec334d/src/c.pm,6031:6031,False,F,,,F,F,,,,,0,0,F,F,F,
56964,0dfffae2,GitHub,73ec334d,data/73ec334d/src/d.plugin,2934:2934,False,F,,,F,F,,,,,0,0,F,F,F,
74550,40d8df2f,GitHub,73ec334d,data/73ec334d/src/c.pm,2474:2474,False,F,,,F,F,,,,,0,0,F,F,F,
74551,40d8df2f,GitHub,73ec334d,data/73ec334d/src/c.pm,3342:3342,False,F,,,F,F,,,,,0,0,F,F,F,
74552,0dfffae2,GitHub,73ec334d,data/73ec334d/src/d.plugin,997:997,False,F,,,F,F,,,,,0,0,F,F,F,
82704,c3d634e9,GitHub,73ec334d,data/73ec334d/test/a,41:41,False,F,0,116,F,F,,,,,0,0,F,F,F,
82705,c3d634e9,GitHub,73ec334d,data/73ec334d/test/a,42:42,False,F,0,132,F,F,,,,,0,0,F,F,F,
82706,c3d634e9,GitHub,73ec334d,data/73ec334d/test/a,43:43,False,F,0,156,F,F,,,,,0,0,F,F,F,
82707,c3d634e9,GitHub,73ec334d,data/73ec334d/test/a,44:44,False,F,0,152,F,F,,,,,0,0,F,F,F,
82708,c3d634e9,GitHub,73ec334d,data/73ec334d/test/a,45:45,False,F,112,137,F,F,,,,,0,0,F,F,F,
82709,c3d634e9,GitHub,73ec334d,data/73ec334d/test/a,46:46,False,F,112,137,F,F,,,,,0,0,F,F,F,
82710,c3d634e9,GitHub,73ec334d,data/73ec334d/test/a,47:47,False,F,0,108,F,F,,,,,0,0,F,F,F,
82711,c3d634e9,GitHub,73ec334d,data/73ec334d/test/a,48:48,False,F,0,108,F,F,,,,,0,0,F,F,F,
82712,c3d634e9,GitHub,73ec334d,data/73ec334d/test/a,49:49,False,F,0,134,F,F,,,,,0,0,F,F,F,
82713,c3d634e9,GitHub,73ec334d,data/73ec334d/test/a,50:50,False,F,141,183,F,F,,,,,0,0,F,F,F,
82714,c3d634e9,GitHub,73ec334d,data/73ec334d/test/a,51:51,False,F,152,194,F,F,,,,,0,0,F,F,F,
82715,c3d634e9,GitHub,73ec334d,data/73ec334d/test/a,52:52,False,F,148,190,F,F,,,,,0,0,F,F,F,
82716,c3d634e9,GitHub,73ec334d,data/73ec334d/test/a,53:53,False,F,0,182,F,F,,,,,0,0,F,F,F,
82717,c3d634e9,GitHub,73ec334d,data/73ec334d/test/a,54:54,False,F,0,251,F,F,,,,,0,0,F,F,F,
82718,c3d634e9,GitHub,73ec334d,data/73ec334d/test/a,55:55,False,F,0,228,F,F,,,,,0,0,F,F,F,
82719,c3d634e9,GitHub,73ec334d,data/73ec334d/test/a,56:56,False,F,0,120,F,F,,,,,0,0,F,F,F,
82720,c3d634e9,GitHub,73ec334d,data/73ec334d/test/a,57:57,False,F,0,120,F,F,,,,,0,0,F,F,F,
82721,c3d634e9,GitHub,73ec334d,data/73ec334d/test/a,58:58,False,F,0,194,F,F,,,,,0,0,F,F,F,
82722,c3d634e9,GitHub,73ec334d,data/73ec334d/test/a,59:59,False,F,0,210,F,F,,,,,0,0,F,F,F,
82723,c3d634e9,GitHub,73ec334d,data/73ec334d/test/a,60:60,False,F,0,121,F,F,,,,,0,0,F,F,F,
