Id,FileID,Domain,RepoName,FilePath,LineStart,LineEnd,GroundTruth,ValueStart,ValueEnd,CryptographyKey,PredefinedPattern,Category
3902,b3356305,GitHub,7529016f,data/7529016f/_/b3356305.md,174,174,F,,,,,Secret
5059,0bc62cee,GitHub,7529016f,data/7529016f/pkg/client/0bc62cee.go,145,145,F,,,,,Token
22921,1e1be099,GitHub,7529016f,data/7529016f/secret/1e1be099.yml,3,3,F,,,,,Token
23775,e45e45ba,GitHub,7529016f,data/7529016f/docker/e45e45ba.yml,11,11,F,,,,,Secret
25026,71ca9e54,GitHub,7529016f,data/7529016f/test/71ca9e54.go,300,300,F,,,,,Key
25027,71ca9e54,GitHub,7529016f,data/7529016f/test/71ca9e54.go,200,200,F,,,,,Key
25060,71ca9e54,GitHub,7529016f,data/7529016f/test/71ca9e54.go,205,205,F,,,,,Key
25063,71ca9e54,GitHub,7529016f,data/7529016f/test/71ca9e54.go,17,17,F,,,,,Key
25064,71ca9e54,GitHub,7529016f,data/7529016f/test/71ca9e54.go,12,12,F,,,,,Key
25073,1e1be099,GitHub,7529016f,data/7529016f/secret/1e1be099.yml,2,2,F,,,,,Token
27371,b3356305,GitHub,7529016f,data/7529016f/_/b3356305.md,165,165,X,24,36,,,Password
27383,b3356305,GitHub,7529016f,data/7529016f/_/b3356305.md,178,178,X,18,30,,,Password
28111,db164cdb,GitHub,7529016f,data/7529016f/conf/db164cdb.toml,57,57,X,29,44,,,Key:Secret
32694,e45e45ba,GitHub,7529016f,data/7529016f/docker/e45e45ba.yml,15,15,T,19,29,,,Password
33769,373f5578,GitHub,7529016f,data/7529016f/test/conf/373f5578.go,21,21,T,14,29,,,Password
34503,368abef3,GitHub,7529016f,data/7529016f/example/368abef3.yml,9,9,T,12,22,,,Password
34504,093483f8,GitHub,7529016f,data/7529016f/test/conf/093483f8.yml,9,9,T,12,27,,,Password
41529,e45e45ba,GitHub,7529016f,data/7529016f/docker/e45e45ba.yml,29,29,T,25,35,,,Password
56952,db164cdb,GitHub,7529016f,data/7529016f/conf/db164cdb.toml,78,78,F,,,,,Secret
61552,71ca9e54,GitHub,7529016f,data/7529016f/test/71ca9e54.go,295,295,F,,,,,Key
64040,b3356305,GitHub,7529016f,data/7529016f/_/b3356305.md,136,136,X,29,44,,,Key:Secret
64041,b3356305,GitHub,7529016f,data/7529016f/_/b3356305.md,153,153,X,29,44,,,Key:Secret
83217,db164cdb,GitHub,7529016f,data/7529016f/conf/db164cdb.toml,69,69,X,24,36,,,Password
83218,db164cdb,GitHub,7529016f,data/7529016f/conf/db164cdb.toml,82,82,X,18,30,,,Password
131726,71ca9e54,GitHub,7529016f,data/7529016f/test/71ca9e54.go,49,49,F,17,49,,,Bitbucket Client ID:Bitbucket Client Secret
131727,71ca9e54,GitHub,7529016f,data/7529016f/test/71ca9e54.go,59,59,F,17,49,,,Bitbucket Client ID:Bitbucket Client Secret
131728,71ca9e54,GitHub,7529016f,data/7529016f/test/71ca9e54.go,223,223,F,18,50,,,Bitbucket Client ID:Bitbucket Client Secret
