Repo,File,Scope,Extension,LineStart,LineEnd,Label,ValueStart,ValueEnd,Info,Category
78e5819e,2cf36eb8,/app/,.py,40,40,F,,,,Password
78e5819e,2cf36eb8,/app/,.py,18,18,F,,,,Password
78e5819e,2cf36eb8,/app/,.py,35,35,F,,,,Password
78e5819e,2f2dd667,/src/api/,.ts,5,5,F,,,,Auth
78e5819e,2f2dd667,/src/api/,.ts,33,33,F,,,,Token
78e5819e,2f2dd667,/src/api/,.ts,30,30,F,,,,Token
78e5819e,2f2dd667,/src/api/,.ts,24,24,F,,,,Token
78e5819e,2f2dd667,/src/api/,.ts,39,39,F,,,,Password
78e5819e,2f2dd667,/src/api/,.ts,36,36,F,,,,Password
78e5819e,2f2dd667,/src/api/,.ts,14,14,F,,,,Password
78e5819e,2f2dd667,/src/api/,.ts,27,27,F,,,,Token
78e5819e,2f2dd667,/src/api/,.ts,21,21,F,,,,Token
78e5819e,35573b32,/src/,.vue,13,13,F,-1,-1,,Key
78e5819e,3a0501b0,/model/app/,.py,16,16,F,,,,Password
78e5819e,3a18d0a7,/src/,.vue,57,57,F,,,,Password
78e5819e,3a18d0a7,/src/,.vue,56,56,F,,,,Password
78e5819e,3a18d0a7,/src/,.vue,18,18,F,177,192,,Password
78e5819e,3a18d0a7,/src/,.vue,20,20,F,224,239,,Password
78e5819e,43569e92,/src/,.vue,44,44,F,,,,Password
78e5819e,43569e92,/src/,.vue,52,52,F,,,,Password
78e5819e,4434033b,/src/util/,.ts,3,3,F,,,,Token
78e5819e,44f10467,/src/,.ts,9,9,F,,,,Token
78e5819e,5a800657,/_/,.dockerfile,1,1,F,,,,API
78e5819e,60965372,/src/app/,.mjml,9,9,F,,,,Password
78e5819e,63c2be56,/test/app/,.py,88,88,F,,,,Password
78e5819e,63c2be56,/test/app/,.py,12,12,F,,,,Password
78e5819e,63c2be56,/test/app/,.py,21,21,F,,,,Password
78e5819e,63c2be56,/test/app/,.py,31,31,F,,,,Password
78e5819e,63c2be56,/test/app/,.py,38,38,F,,,,Password
78e5819e,63c2be56,/test/app/,.py,47,47,F,,,,Password
78e5819e,63c2be56,/test/app/,.py,56,56,F,,,,Password
78e5819e,63c2be56,/test/app/,.py,65,65,F,,,,Password
78e5819e,63c2be56,/test/app/,.py,73,73,F,,,,Password
78e5819e,63c2be56,/test/app/,.py,84,84,F,,,,Password
78e5819e,63c2be56,/test/app/,.py,48,48,F,,,,Password
78e5819e,63c2be56,/test/app/,.py,57,57,F,,,,Password
78e5819e,63c2be56,/test/app/,.py,89,89,F,,,,Password
78e5819e,75b771bc,/src/,.ts,15,15,F,,,,Token
78e5819e,7dccaddd,/api/app/,.py,54,54,F,,,,Password
78e5819e,7dccaddd,/api/app/,.py,75,75,F,,,,Password
78e5819e,a2048ae1,/test/util/app/,.py,27,27,F,,,,Password
78e5819e,a2048ae1,/test/util/app/,.py,14,14,F,,,,Password
78e5819e,a2048ae1,/test/util/app/,.py,41,41,F,,,,Password
78e5819e,a3114d70,/readme/,.md,214,214,T,76,124,,Token
78e5819e,a3114d70,/readme/,.md,221,221,T,55,103,,Token
78e5819e,a3114d70,/readme/,.md,227,227,T,28,76,,Token
78e5819e,a3f07a59,/app/,.toml,10,10,F,,,,API
78e5819e,a6f4a4a0,/env/app/,.py,35,35,F,,,,Password
78e5819e,b3356305,/readme/,.md,123,123,F,-1,-1,,Key:URL Credentials
78e5819e,b3356305,/readme/,.md,103,103,F,,,,Secret:Key
78e5819e,b3356305,/readme/,.md,115,115,F,35,42,,Password
78e5819e,b3356305,/readme/,.md,113,113,F,,,,Password
78e5819e,b5b2cfc4,/src/,.ts,10,10,F,,,,Token
78e5819e,be4fbf03,/src/,.vue,115,115,F,,,,Password
78e5819e,be4fbf03,/src/,.vue,116,116,F,,,,Password
78e5819e,be4fbf03,/src/,.vue,76,76,F,,,,Password
78e5819e,c2067af3,/_/,.json,10,10,Template,19,29,,Key:Secret
78e5819e,c2067af3,/_/,.json,12,12,T,33,43,,Password
78e5819e,c2067af3,/_/,.json,20,20,T,26,36,,Password
78e5819e,ca7186e8,/_/,,45,45,F,,,,Password
78e5819e,ca7186e8,/_/,,21,21,F,,,,Password
78e5819e,ca7186e8,/_/,,39,39,F,,,,Password
78e5819e,da9cb1d3,/src/,.ts,21,21,F,,,,Password
78e5819e,da9cb1d3,/src/,.ts,141,141,F,,,,Password
78e5819e,da9cb1d3,/src/,.ts,125,125,F,,,,Password
78e5819e,da9cb1d3,/src/,.ts,73,73,F,,,,Token
78e5819e,da9cb1d3,/src/,.ts,173,173,F,,,,Password
78e5819e,e841b4d6,/util/app/,.py,101,101,F,,,,Password
78e5819e,e841b4d6,/util/app/,.py,90,90,F,,,,Password
78e5819e,e841b4d6,/util/app/,.py,49,49,F,,,,Password
78e5819e,e841b4d6,/util/app/,.py,70,70,F,,,,Password
78e5819e,e841b4d6,/util/app/,.py,96,96,F,,,,Secret:Key
78e5819e,e841b4d6,/util/app/,.py,55,55,F,,,,Token
78e5819e,eae110c1,/docker/,.yml,125,125,Template,37,42,,URL Credentials
78e5819e,f15fa278,/security/app/,.py,33,33,F,,,,Password
78e5819e,f15fa278,/security/app/,.py,29,29,F,,,,Password
