Id,FileID,Domain,RepoName,FilePath,LineStart,LineEnd,GroundTruth,ValueStart,ValueEnd,CryptographyKey,PredefinedPattern,Category
8555,73eb0661,GitHub,8035fc42,data/8035fc42/src/73eb0661.clj,81,81,F,-1,-1,,,Key:Token
12648,78a8a197,GitHub,8035fc42,data/8035fc42/src/78a8a197.yml,25,25,F,,,,,Key
12777,78a8a197,GitHub,8035fc42,data/8035fc42/src/78a8a197.yml,16,16,F,-1,-1,,,Key
12859,78a8a197,GitHub,8035fc42,data/8035fc42/src/78a8a197.yml,35,35,F,-1,-1,,,Key
14212,5cb4e0aa,GitHub,8035fc42,data/8035fc42/test/5cb4e0aa.cljc,20,20,F,,,,,URL Credentials
14510,21def375,GitHub,8035fc42,data/8035fc42/test/21def375.js,99,99,F,,,,,Password
15232,7fdf97da,GitHub,8035fc42,data/8035fc42/src/7fdf97da.cljc,80,80,F,-1,-1,,,Key
15478,7fdf97da,GitHub,8035fc42,data/8035fc42/src/7fdf97da.cljc,84,84,F,-1,-1,,,Key
15808,0d6d81ec,GitHub,8035fc42,data/8035fc42/src/0d6d81ec.cljc,121,121,F,-1,-1,,,Key
17492,ab382898,GitHub,8035fc42,data/8035fc42/src/ab382898.cljc,762,762,F,,,,,Key
17493,ab382898,GitHub,8035fc42,data/8035fc42/src/ab382898.cljc,757,757,F,-1,-1,,,Key
17494,ab382898,GitHub,8035fc42,data/8035fc42/src/ab382898.cljc,777,777,F,-1,-1,,,Key
17634,a0956c55,GitHub,8035fc42,data/8035fc42/src/a0956c55.clj,14,14,F,,,,,Token
18463,128a3f9f,GitHub,8035fc42,data/8035fc42/other/128a3f9f.md,83,83,Template,49,55,,,URL Credentials
18913,128a3f9f,GitHub,8035fc42,data/8035fc42/other/128a3f9f.md,78,78,F,,,,,Password
18918,b6630af9,GitHub,8035fc42,data/8035fc42/src/b6630af9.cljc,20,20,F,,,,,Key
31211,7c0e533e,GitHub,8035fc42,data/8035fc42/test/7c0e533e,10,10,Template,135,138,,,Password
31486,7c0e533e,GitHub,8035fc42,data/8035fc42/test/7c0e533e,24,24,Template,131,134,,,Password
33969,920e5839,GitHub,8035fc42,data/8035fc42/test/920e5839.yml,8,8,T,25,32,,,Password
56600,b6630af9,GitHub,8035fc42,data/8035fc42/src/b6630af9.cljc,51,51,F,,,,,Key
57312,ab382898,GitHub,8035fc42,data/8035fc42/src/ab382898.cljc,767,767,F,-1,-1,,,Key
110096,ab382898,GitHub,8035fc42,data/8035fc42/src/ab382898.cljc,780,780,F,,,,,Key
