Id,FileID,Domain,RepoName,FilePath,LineStart:LineEnd,GroundTruth,WithWords,ValueStart,ValueEnd,InURL,InRuntimeParameter,CharacterSet,CryptographyKey,PredefinedPattern,VariableNameType,Entropy,Length,Base64Encode,HexEncode,URLEncode,Category
31,999981ff,GitHub,850c2319,data/850c2319/test/h.go,26:26,F,F,,,F,F,,,,,0,0,F,F,F,
37,a746be65,GitHub,850c2319,data/850c2319/src/f.go,436:436,F,F,,,F,F,,,,,0,0,F,F,F,
38,a746be65,GitHub,850c2319,data/850c2319/src/f.go,437:437,F,F,,,F,F,,,,,0,0,F,F,F,
39,a746be65,GitHub,850c2319,data/850c2319/src/f.go,270:270,F,F,,,F,F,,,,,0,0,F,F,F,
40,a746be65,GitHub,850c2319,data/850c2319/src/f.go,300:300,F,F,,,F,F,,,,,0,0,F,F,F,
41,a746be65,GitHub,850c2319,data/850c2319/src/f.go,330:330,F,F,,,F,F,,,,,0,0,F,F,F,
42,a746be65,GitHub,850c2319,data/850c2319/src/f.go,290:290,F,F,,,F,F,,,,,0,0,F,F,F,
43,a746be65,GitHub,850c2319,data/850c2319/src/f.go,329:329,F,F,,,F,F,,,,,0,0,F,F,F,
44,a746be65,GitHub,850c2319,data/850c2319/src/f.go,289:289,F,F,,,F,F,,,,,0,0,F,F,F,
1942,3295df72,GitHub,850c2319,data/850c2319/src/u.sum,1352:1352,F,F,,,F,F,,,,,0,0,F,F,F,
2222,3295df72,GitHub,850c2319,data/850c2319/src/u.sum,1353:1353,F,F,,,F,F,,,,,0,0,F,F,F,
2242,3295df72,GitHub,850c2319,data/850c2319/src/u.sum,1349:1349,F,F,,,F,F,,,,,0,0,F,F,F,
2254,3295df72,GitHub,850c2319,data/850c2319/src/u.sum,1350:1350,F,F,,,F,F,,,,,0,0,F,F,F,
2255,3295df72,GitHub,850c2319,data/850c2319/src/u.sum,1351:1351,F,F,,,F,F,,,,,0,0,F,F,F,
3285,3295df72,GitHub,850c2319,data/850c2319/src/u.sum,322:322,F,F,,,F,F,,,,,0,0,F,F,F,
3289,3295df72,GitHub,850c2319,data/850c2319/src/u.sum,321:321,F,F,,,F,F,,,,,0,0,F,F,F,
3295,3295df72,GitHub,850c2319,data/850c2319/src/u.sum,320:320,F,F,,,F,F,,,,,0,0,F,F,F,
3305,3295df72,GitHub,850c2319,data/850c2319/src/u.sum,319:319,F,F,,,F,F,,,,,0,0,F,F,F,
3323,3295df72,GitHub,850c2319,data/850c2319/src/u.sum,326:326,F,F,,,F,F,,,,,0,0,F,F,F,
3326,3295df72,GitHub,850c2319,data/850c2319/src/u.sum,325:325,F,F,,,F,F,,,,,0,0,F,F,F,
3328,3295df72,GitHub,850c2319,data/850c2319/src/u.sum,324:324,F,F,,,F,F,,,,,0,0,F,F,F,
3333,3295df72,GitHub,850c2319,data/850c2319/src/u.sum,323:323,F,F,,,F,F,,,,,0,0,F,F,F,
3338,3295df72,GitHub,850c2319,data/850c2319/src/u.sum,312:312,F,F,,,F,F,,,,,0,0,F,F,F,
3341,3295df72,GitHub,850c2319,data/850c2319/src/u.sum,311:311,F,F,,,F,F,,,,,0,0,F,F,F,
3345,3295df72,GitHub,850c2319,data/850c2319/src/u.sum,310:310,F,F,,,F,F,,,,,0,0,F,F,F,
