Id,FileID,Domain,RepoName,FilePath,LineStart,LineEnd,GroundTruth,ValueStart,ValueEnd,CryptographyKey,PredefinedPattern,Category
4968,9e8b926c,GitHub,8bc560cd,data/8bc560cd/src/9e8b926c.rb,4,4,F,,,,,Token
9125,bcacb2cb,GitHub,8bc560cd,data/8bc560cd/other/bcacb2cb.js,82,82,F,,,,,Password
31456,451af7c5,GitHub,8bc560cd,data/8bc560cd/src/451af7c5.rb,67,67,T,80,112,,,Secret
31464,451af7c5,GitHub,8bc560cd,data/8bc560cd/src/451af7c5.rb,43,43,T,69,85,,,Jira 2FA:Secret
32356,aa120f99,GitHub,8bc560cd,data/8bc560cd/other/aa120f99.html,77,77,T,237,253,,,Secret
32357,9beec570,GitHub,8bc560cd,data/8bc560cd/other/9beec570.html,77,77,T,237,253,,,Secret
35395,9e8b926c,GitHub,8bc560cd,data/8bc560cd/src/9e8b926c.rb,226,226,T,54,70,,,Jira 2FA:Secret
35829,451af7c5,GitHub,8bc560cd,data/8bc560cd/src/451af7c5.rb,79,79,T,75,91,,,Jira 2FA:Secret
35830,451af7c5,GitHub,8bc560cd,data/8bc560cd/src/451af7c5.rb,91,91,T,62,78,,,Jira 2FA:Secret
35831,451af7c5,GitHub,8bc560cd,data/8bc560cd/src/451af7c5.rb,97,97,T,76,92,,,Jira 2FA:Secret
35832,451af7c5,GitHub,8bc560cd,data/8bc560cd/src/451af7c5.rb,49,49,T,69,85,,,Secret:Jira 2FA
35833,451af7c5,GitHub,8bc560cd,data/8bc560cd/src/451af7c5.rb,7,7,T,69,85,,,Jira 2FA:Secret
37493,451af7c5,GitHub,8bc560cd,data/8bc560cd/src/451af7c5.rb,31,31,T,69,85,,,Jira 2FA:Secret
37494,451af7c5,GitHub,8bc560cd,data/8bc560cd/src/451af7c5.rb,37,37,T,69,85,,,Jira 2FA:Secret
42061,9e8b926c,GitHub,8bc560cd,data/8bc560cd/src/9e8b926c.rb,134,134,F,,,,,Token
42062,9e8b926c,GitHub,8bc560cd,data/8bc560cd/src/9e8b926c.rb,155,155,F,,,,,Token
107265,c2214302,GitHub,8bc560cd,data/8bc560cd/src/c2214302.rb,57,57,F,-1,-1,,,Other
107266,c2214302,GitHub,8bc560cd,data/8bc560cd/src/c2214302.rb,59,59,F,-1,-1,,,Other
107267,451af7c5,GitHub,8bc560cd,data/8bc560cd/src/451af7c5.rb,13,13,T,77,93,,,Jira 2FA:Secret
107268,451af7c5,GitHub,8bc560cd,data/8bc560cd/src/451af7c5.rb,19,19,T,74,90,,,Jira 2FA:Secret
107269,451af7c5,GitHub,8bc560cd,data/8bc560cd/src/451af7c5.rb,25,25,T,89,105,,,Jira 2FA:Secret
107270,451af7c5,GitHub,8bc560cd,data/8bc560cd/src/451af7c5.rb,55,55,T,69,85,,,Jira 2FA:Secret
107271,451af7c5,GitHub,8bc560cd,data/8bc560cd/src/451af7c5.rb,73,73,T,89,105,,,Jira 2FA:Secret
107272,451af7c5,GitHub,8bc560cd,data/8bc560cd/src/451af7c5.rb,85,85,T,84,100,,,Jira 2FA:Secret
1338572,451af7c5,GitHub,8bc560cd,data/8bc560cd/src/451af7c5.rb,67,67,F,35,112,,,Auth
1481010,451af7c5,GitHub,8bc560cd,data/8bc560cd/src/451af7c5.rb,5,5,T,26,42,,,Jira 2FA
1481011,451af7c5,GitHub,8bc560cd,data/8bc560cd/src/451af7c5.rb,11,11,F,26,42,,,Jira 2FA
1481012,451af7c5,GitHub,8bc560cd,data/8bc560cd/src/451af7c5.rb,17,17,T,26,42,,,Jira 2FA
1481013,451af7c5,GitHub,8bc560cd,data/8bc560cd/src/451af7c5.rb,23,23,T,26,42,,,Jira 2FA
1481014,451af7c5,GitHub,8bc560cd,data/8bc560cd/src/451af7c5.rb,29,29,T,26,42,,,Jira 2FA
1481015,451af7c5,GitHub,8bc560cd,data/8bc560cd/src/451af7c5.rb,35,35,T,26,42,,,Jira 2FA
1481016,451af7c5,GitHub,8bc560cd,data/8bc560cd/src/451af7c5.rb,41,41,T,26,42,,,Jira 2FA
1481017,451af7c5,GitHub,8bc560cd,data/8bc560cd/src/451af7c5.rb,47,47,T,26,42,,,Jira 2FA
1481018,451af7c5,GitHub,8bc560cd,data/8bc560cd/src/451af7c5.rb,53,53,T,26,42,,,Jira 2FA
1481019,451af7c5,GitHub,8bc560cd,data/8bc560cd/src/451af7c5.rb,71,71,T,26,42,,,Jira 2FA
1481020,451af7c5,GitHub,8bc560cd,data/8bc560cd/src/451af7c5.rb,77,77,T,26,42,,,Jira 2FA
1481021,451af7c5,GitHub,8bc560cd,data/8bc560cd/src/451af7c5.rb,83,83,T,26,42,,,Jira 2FA
1481022,451af7c5,GitHub,8bc560cd,data/8bc560cd/src/451af7c5.rb,89,89,T,26,42,,,Jira 2FA
1481023,451af7c5,GitHub,8bc560cd,data/8bc560cd/src/451af7c5.rb,95,95,T,26,42,,,Jira 2FA
1481024,9e8b926c,GitHub,8bc560cd,data/8bc560cd/src/9e8b926c.rb,9,9,T,32,48,,,Jira 2FA
