Repo,File,Scope,Extension,LineStart,LineEnd,Label,ValueStart,ValueEnd,Info,Category
8d217d6c,01eecb6b,/src/include/vendor/,.php,807,807,F,-1,-1,,Key
8d217d6c,09417338,/include/,.php,143,143,F,,,,Key
8d217d6c,09417338,/include/,.php,110,110,F,-1,-1,,Key
8d217d6c,09b4871c,/src/include/vendor/record/,.php,27,27,F,-1,-1,,Key
8d217d6c,0f5f69a7,/_/,.php,306,306,F,,,,Secret
8d217d6c,1c08b27b,/include/,.php,651,651,F,-1,-1,,Other
8d217d6c,1c08b27b,/include/,.php,1153,1153,F,,,,Password
8d217d6c,1c08b27b,/include/,.php,943,943,F,,,,API
8d217d6c,1eaac6e7,/src/include/vendor/,.php,24,24,F,-1,-1,,Key
8d217d6c,1eaac6e7,/src/include/vendor/,.php,43,43,F,-1,-1,,Key
8d217d6c,1eaac6e7,/src/include/vendor/,.php,75,75,F,-1,-1,,Key
8d217d6c,227d626e,/include/lib/vendor/,.php,143,143,F,,,,Auth
8d217d6c,343a5c5e,/include/,.php,47,47,F,,,,API
8d217d6c,343a5c5e,/include/,.php,59,59,F,,,,API
8d217d6c,343a5c5e,/include/,.php,433,433,F,,,,Auth
8d217d6c,343a5c5e,/include/,.php,441,441,F,,,,Auth
8d217d6c,343a5c5e,/include/,.php,467,467,F,,,,Auth
8d217d6c,343a5c5e,/include/,.php,471,471,F,,,,Auth
8d217d6c,343a5c5e,/include/,.php,191,191,F,,,,Password
8d217d6c,343a5c5e,/include/,.php,150,150,F,,,,Password
8d217d6c,343a5c5e,/include/,.php,153,153,F,,,,Password
8d217d6c,343a5c5e,/include/,.php,183,183,F,,,,Password
8d217d6c,343a5c5e,/include/,.php,267,267,F,,,,Password
8d217d6c,343a5c5e,/include/,.php,316,316,F,,,,Password
8d217d6c,343a5c5e,/include/,.php,358,358,F,,,,Password
8d217d6c,343a5c5e,/include/,.php,385,385,F,,,,Password
8d217d6c,343a5c5e,/include/,.php,120,120,F,,,,Auth
8d217d6c,343a5c5e,/include/,.php,575,575,F,,,,Nonce
8d217d6c,3fab299d,/include/vendor/,.php,27,27,F,-1,-1,,Other
8d217d6c,3fab299d,/include/vendor/,.php,29,29,F,39,93,,Other
8d217d6c,44406e5b,/readme/,.html,453,453,Template,15,28,,Password
8d217d6c,44406e5b,/readme/,.html,468,468,Template,13,26,,Password
8d217d6c,44406e5b,/readme/,.html,482,482,F,,,,Password
8d217d6c,483f34ef,/include/,.php,678,678,F,-1,-1,,Key
8d217d6c,483f34ef,/include/,.php,472,472,F,-1,-1,,Key
8d217d6c,483f34ef,/include/,.php,576,576,F,-1,-1,,Key
8d217d6c,5e3278b1,/test/,.php,69,69,T,100,110,,Nonce
8d217d6c,5e3278b1,/test/,.php,70,70,T,112,122,,Nonce
8d217d6c,5f1482b7,/include/,.php,420,420,F,,,,Auth
8d217d6c,6060b9ff,/test/opt/,.php,17,17,F,-1,-1,,Key
8d217d6c,6060b9ff,/test/opt/,.php,48,48,F,-1,-1,,Key
8d217d6c,6c3a6fa2,/include/lib/vendor/,.php,418,418,F,-1,-1,,Key
8d217d6c,6c3a6fa2,/include/lib/vendor/,.php,410,410,F,-1,-1,,Key
8d217d6c,7173d869,/include/,.php,21,21,F,,,,Password
8d217d6c,78e32a65,/src/include/vendor/,.php,82,82,F,-1,-1,,Key
8d217d6c,78e32a65,/src/include/vendor/,.php,80,80,F,-1,-1,,Key
8d217d6c,7954279b,/include/vendor/readme/,.md,42,42,F,,,,Password
8d217d6c,7954279b,/include/vendor/readme/,.md,1,1,F,,,,Password
8d217d6c,7954279b,/include/vendor/readme/,.md,4,4,F,,,,Password
8d217d6c,7954279b,/include/vendor/readme/,.md,22,22,F,,,,Password
8d217d6c,7b8f0478,/test/,.php,18,18,F,,,,Password
8d217d6c,7b8f0478,/test/,.php,22,22,F,,,,Password
8d217d6c,7b8f0478,/test/,.php,23,23,F,25,32,,Password
8d217d6c,7b8f0478,/test/,.php,74,74,F,,,,Password
8d217d6c,7b8f0478,/test/,.php,111,111,F,,,,Password
8d217d6c,7b8f0478,/test/,.php,145,145,F,,,,Password
8d217d6c,7b8f0478,/test/,.php,52,52,F,,,,Password
8d217d6c,8870a253,/_/,.js,7,7,F,-1,-1,,Key:Dropbox App secret
8d217d6c,99082c4e,/include/,.php,44,44,F,-1,-1,,Key
8d217d6c,99082c4e,/include/,.php,56,56,F,-1,-1,,Key
8d217d6c,a9dcc94f,/include/lib/vendor/,.php,359,359,F,-1,-1,,Other
8d217d6c,a9dcc94f,/include/lib/vendor/,.php,236,236,F,-1,-1,,Key
8d217d6c,b803fcb7,/_/,.yml,37,37,Template,31,37,,Password
8d217d6c,b803fcb7,/_/,.yml,36,36,F,,,,Password
8d217d6c,c220733a,/src/include/vendor/,.php,179,179,F,-1,-1,,Key
8d217d6c,c220733a,/src/include/vendor/,.php,39,39,F,-1,-1,,Other
8d217d6c,c220733a,/src/include/vendor/,.php,232,232,F,-1,-1,,Key
8d217d6c,c722fc20,/include/lib/vendor/,.php,27,27,F,-1,-1,,Key
8d217d6c,c722fc20,/include/lib/vendor/,.php,48,48,F,-1,-1,,Key
8d217d6c,c722fc20,/include/lib/vendor/,.php,64,64,F,-1,-1,,Key
8d217d6c,c72b46d8,/test/sample/conf/,.php,42,42,Template,99,131,,Password
8d217d6c,c72b46d8,/test/sample/conf/,.php,43,43,Template,99,131,,Password
8d217d6c,c72b46d8,/test/sample/conf/,.php,39,39,F,,,,Password
8d217d6c,c72b46d8,/test/sample/conf/,.php,44,44,F,98,102,,Password
8d217d6c,c72b46d8,/test/sample/conf/,.php,44,44,Template,15,82,,Password
8d217d6c,c72b46d8,/test/sample/conf/,.php,43,43,Template,22,82,,Password
8d217d6c,c72b46d8,/test/sample/conf/,.php,44,44,Template,22,82,,Password
8d217d6c,d67cba73,/_/,.php,5,5,F,-1,-1,,Other
8d217d6c,d8eb2ecb,/src/include/client/vendor/,.php,49,49,F,,,,URL Credentials
8d217d6c,d8eb2ecb,/src/include/client/vendor/,.php,450,450,F,-1,-1,,Other
8d217d6c,da28ac29,/test/conf/,.php,41,41,Template,99,131,,Password
8d217d6c,da28ac29,/test/conf/,.php,40,40,Template,99,131,,Password
8d217d6c,da28ac29,/test/conf/,.php,37,37,F,,,,Password
8d217d6c,da28ac29,/test/conf/,.php,42,42,F,98,102,,Password
8d217d6c,da28ac29,/test/conf/,.php,42,42,Template,15,82,,Password
8d217d6c,da28ac29,/test/conf/,.php,41,41,Template,22,82,,Password
8d217d6c,da28ac29,/test/conf/,.php,42,42,Template,22,82,,Password
8d217d6c,db79c851,/test/,.php,69,69,Template,36,44,,URL Credentials
8d217d6c,db79c851,/test/,.php,175,175,Template,53,56,,Password
8d217d6c,db79c851,/test/,.php,66,66,Template,31,39,,URL Credentials
8d217d6c,db79c851,/test/,.php,67,67,T,31,39,,URL Credentials
8d217d6c,db79c851,/test/,.php,174,174,F,,,,Password:URL Credentials
8d217d6c,db79c851,/test/,.php,68,68,Template,31,39,,URL Credentials
8d217d6c,db79c851,/test/,.php,64,64,Template,31,39,,URL Credentials
8d217d6c,db79c851,/test/,.php,65,65,Template,31,39,,URL Credentials
8d217d6c,db79c851,/test/,.php,67,67,F,52,60,,Password
8d217d6c,f37acfaa,/_/,.lock,1003,1003,F,,,,API
8d217d6c,fb8c5aed,/sample/,.txt,15,15,F,,,,Password
8d217d6c,fb8c5aed,/sample/,.txt,39,39,F,,,,Password
8d217d6c,fd348efc,/src/include/client/vendor/,.php,65,65,Template,50,58,,Password:URL Credentials
