Id,FileID,Domain,RepoName,FilePath,LineStart,LineEnd,GroundTruth,ValueStart,ValueEnd,CryptographyKey,PredefinedPattern,Category
51,c38ac0ea,GitHub,9031b2b4,data/9031b2b4/test/c38ac0ea.sh,28,28,F,,,,,Password
1760,c38ac0ea,GitHub,9031b2b4,data/9031b2b4/test/c38ac0ea.sh,30,30,F,,,,,Password
3795,4395db0a,GitHub,9031b2b4,data/9031b2b4/src/4395db0a.php,42,42,Template,111,117,,,Password
3910,952b795c,GitHub,9031b2b4,data/9031b2b4/src/952b795c.php,32,32,F,,,,,Password
3911,45bbe2ab,GitHub,9031b2b4,data/9031b2b4/src/45bbe2ab.php,30,30,F,,,,,Password
4274,5cd3bd49,GitHub,9031b2b4,data/9031b2b4/src/5cd3bd49.php,893,893,F,-1,-1,,,Key
4299,d378921e,GitHub,9031b2b4,data/9031b2b4/src/d378921e.php,1129,1129,F,-1,-1,,,Key
4300,bf6fa023,GitHub,9031b2b4,data/9031b2b4/src/bf6fa023.php,237,237,F,-1,-1,,,Key
4301,c4a9030a,GitHub,9031b2b4,data/9031b2b4/src/c4a9030a.php,1227,1227,F,-1,-1,,,Key:Gitlab Feed Token
4302,c4a9030a,GitHub,9031b2b4,data/9031b2b4/src/c4a9030a.php,1159,1159,F,-1,-1,,,Key:Gitlab Feed Token
10928,cb4a422a,GitHub,9031b2b4,data/9031b2b4/src/cb4a422a.php,1466,1466,F,-1,-1,,,Key
14164,6e671e2d,GitHub,9031b2b4,data/9031b2b4/src/6e671e2d.php,8,8,F,,,,,Password
14199,c38ac0ea,GitHub,9031b2b4,data/9031b2b4/test/c38ac0ea.sh,41,41,F,,,,,Password
14200,fa2c1fe4,GitHub,9031b2b4,data/9031b2b4/test/fa2c1fe4.sh,50,50,F,,,,,Password
14706,c9b6785c,GitHub,9031b2b4,data/9031b2b4/src/c9b6785c.php,4,4,F,,,,,Password
16041,df49c958,GitHub,9031b2b4,data/9031b2b4/src/df49c958.php,116,116,F,-1,-1,,,Key
16049,473cde3d,GitHub,9031b2b4,data/9031b2b4/src/473cde3d.php,71,71,F,-1,-1,,,Key
16050,473cde3d,GitHub,9031b2b4,data/9031b2b4/src/473cde3d.php,31,31,F,-1,-1,,,Key
16099,cc763763,GitHub,9031b2b4,data/9031b2b4/test/cc763763.php,76,76,F,-1,-1,,,Key
16128,e3581427,GitHub,9031b2b4,data/9031b2b4/src/e3581427.php,76,76,F,-1,-1,,,Key
16241,cb4a422a,GitHub,9031b2b4,data/9031b2b4/src/cb4a422a.php,1954,1954,F,-1,-1,,,Key
16248,f6ba61ec,GitHub,9031b2b4,data/9031b2b4/src/f6ba61ec.php,152,152,F,-1,-1,,,Key
16249,f7fb5991,GitHub,9031b2b4,data/9031b2b4/src/f7fb5991.php,86,86,F,-1,-1,,,Key
16268,df49c958,GitHub,9031b2b4,data/9031b2b4/src/df49c958.php,112,112,F,-1,-1,,,Key
16274,b7813a95,GitHub,9031b2b4,data/9031b2b4/test/b7813a95.php,170,170,F,-1,-1,,,Key
16304,65b0c78e,GitHub,9031b2b4,data/9031b2b4/src/65b0c78e.php,77,77,F,-1,-1,,,Key
16309,48a28261,GitHub,9031b2b4,data/9031b2b4/src/48a28261.php,74,74,F,-1,-1,,,Key
16395,7c571394,GitHub,9031b2b4,data/9031b2b4/src/7c571394.php,184,184,F,-1,-1,,,Key
16421,0de22d6b,GitHub,9031b2b4,data/9031b2b4/src/0de22d6b.php,130,130,F,-1,-1,,,Key
16465,e3581427,GitHub,9031b2b4,data/9031b2b4/src/e3581427.php,172,172,F,-1,-1,,,Key
17745,ae85b4bf,GitHub,9031b2b4,data/9031b2b4/test/ae85b4bf.php,428,428,F,-1,-1,,,Key
21563,cc763763,GitHub,9031b2b4,data/9031b2b4/test/cc763763.php,60,60,F,-1,-1,,,Key
23751,c38ac0ea,GitHub,9031b2b4,data/9031b2b4/test/c38ac0ea.sh,23,23,F,,,,,Password
24614,3b9e46b7,GitHub,9031b2b4,data/9031b2b4/src/3b9e46b7.xsl,21,21,F,-1,-1,,,Key
26007,9f44a55d,GitHub,9031b2b4,data/9031b2b4/test/9f44a55d.php,36,36,F,-1,-1,,,Key:Gitlab Feed Token
26024,9f44a55d,GitHub,9031b2b4,data/9031b2b4/test/9f44a55d.php,61,61,F,-1,-1,,,Key
27466,8b82f16a,GitHub,9031b2b4,data/9031b2b4/test/8b82f16a.php,38,38,T,21,37,,,Password
28807,e19854ad,GitHub,9031b2b4,data/9031b2b4/test/e19854ad.dist,13,13,Template,18,39,,,Password
32746,b803fcb7,GitHub,9031b2b4,data/9031b2b4/src/b803fcb7.yml,83,83,T,26,34,,,Password
34164,b803fcb7,GitHub,9031b2b4,data/9031b2b4/src/b803fcb7.yml,28,28,T,40,48,,,Password
36757,b803fcb7,GitHub,9031b2b4,data/9031b2b4/src/b803fcb7.yml,101,101,T,26,34,,,Password
37095,b803fcb7,GitHub,9031b2b4,data/9031b2b4/src/b803fcb7.yml,37,37,T,40,48,,,Password
40011,b803fcb7,GitHub,9031b2b4,data/9031b2b4/src/b803fcb7.yml,80,80,T,31,39,,,Password
42631,65b0c78e,GitHub,9031b2b4,data/9031b2b4/src/65b0c78e.php,71,71,F,,,,,Password
55723,0de22d6b,GitHub,9031b2b4,data/9031b2b4/src/0de22d6b.php,203,203,F,-1,-1,,,Key
55724,0de22d6b,GitHub,9031b2b4,data/9031b2b4/src/0de22d6b.php,246,246,F,-1,-1,,,Key
55733,f6ba61ec,GitHub,9031b2b4,data/9031b2b4/src/f6ba61ec.php,94,94,F,-1,-1,,,Key
55734,f6ba61ec,GitHub,9031b2b4,data/9031b2b4/src/f6ba61ec.php,153,153,F,-1,-1,,,Key
55735,0de22d6b,GitHub,9031b2b4,data/9031b2b4/src/0de22d6b.php,204,204,F,-1,-1,,,Key
55736,0de22d6b,GitHub,9031b2b4,data/9031b2b4/src/0de22d6b.php,247,247,F,-1,-1,,,Key
55737,f7fb5991,GitHub,9031b2b4,data/9031b2b4/src/f7fb5991.php,87,87,F,-1,-1,,,Key
62692,5cd3bd49,GitHub,9031b2b4,data/9031b2b4/src/5cd3bd49.php,1007,1007,F,-1,-1,,,Key
62693,d378921e,GitHub,9031b2b4,data/9031b2b4/src/d378921e.php,1188,1188,F,-1,-1,,,Key
62694,d378921e,GitHub,9031b2b4,data/9031b2b4/src/d378921e.php,1269,1269,F,-1,-1,,,Key
62695,bf6fa023,GitHub,9031b2b4,data/9031b2b4/src/bf6fa023.php,277,277,F,-1,-1,,,Key
83186,e19854ad,GitHub,9031b2b4,data/9031b2b4/test/e19854ad.dist,26,26,Template,18,39,,,Password
83187,e19854ad,GitHub,9031b2b4,data/9031b2b4/test/e19854ad.dist,39,39,Template,18,39,,,Password
83188,13522904,GitHub,9031b2b4,data/9031b2b4/test/13522904.dist,13,13,Template,18,39,,,Password
100347,c4a9030a,GitHub,9031b2b4,data/9031b2b4/src/c4a9030a.php,587,587,F,-1,-1,,,Other
100348,7c571394,GitHub,9031b2b4,data/9031b2b4/src/7c571394.php,156,156,F,-1,-1,,,Key
100349,7c571394,GitHub,9031b2b4,data/9031b2b4/src/7c571394.php,162,162,F,-1,-1,,,Key
130062,8b82f16a,GitHub,9031b2b4,data/9031b2b4/test/8b82f16a.php,40,40,F,,,,,Password
133970,c4a9030a,GitHub,9031b2b4,data/9031b2b4/src/c4a9030a.php,1041,1041,F,-1,-1,,,Key
133971,cb4a422a,GitHub,9031b2b4,data/9031b2b4/src/cb4a422a.php,1752,1752,F,-1,-1,,,Key
133972,cb4a422a,GitHub,9031b2b4,data/9031b2b4/src/cb4a422a.php,1838,1838,F,-1,-1,,,Key
133973,cb4a422a,GitHub,9031b2b4,data/9031b2b4/src/cb4a422a.php,3006,3006,F,-1,-1,,,Key
133974,cb4a422a,GitHub,9031b2b4,data/9031b2b4/src/cb4a422a.php,3010,3010,F,-1,-1,,,Key
1344004,3e03dc96,GitHub,9031b2b4,data/9031b2b4/test/3e03dc96.php,242,242,T,181,189,,,Password
