Repo,File,Scope,Extension,LineStart,LineEnd,Label,ValueStart,ValueEnd,Info,Category
9abeea1b,053150b6,/_/,.json,418,418,F,22,28,,Token
9abeea1b,053150b6,/_/,.json,1469,1469,F,24,31,,Key
9abeea1b,053150b6,/_/,.json,2862,2862,F,27,33,,Key
9abeea1b,053150b6,/_/,.json,3281,3281,F,25,31,,Password
9abeea1b,053150b6,/_/,.json,4006,4006,F,24,30,,Key
9abeea1b,053150b6,/_/,.json,4637,4637,F,24,31,,Key
9abeea1b,053150b6,/_/,.json,4751,4751,F,25,31,,Key
9abeea1b,053150b6,/_/,.json,4838,4838,F,32,38,,Auth:Token
9abeea1b,053150b6,/_/,.json,1246,1246,F,24,31,,Key
9abeea1b,053150b6,/_/,.json,2047,2047,F,21,27,,Password
9abeea1b,053150b6,/_/,.json,2199,2199,F,25,31,,Password
9abeea1b,053150b6,/_/,.json,2345,2345,F,25,31,,Password
9abeea1b,053150b6,/_/,.json,2638,2638,F,28,34,,Password
9abeea1b,053150b6,/_/,.json,2639,2639,F,25,31,,Password
9abeea1b,053150b6,/_/,.json,4295,4295,F,21,27,,Password
9abeea1b,053150b6,/_/,.json,4563,4563,F,21,27,,Key
9abeea1b,053150b6,/_/,.json,5293,5293,F,23,29,,Auth
9abeea1b,053150b6,/_/,.json,5755,5755,F,20,26,,Password
9abeea1b,053150b6,/_/,.json,5921,5921,F,24,30,,Password
9abeea1b,053150b6,/_/,.json,5922,5922,F,21,27,,Password
9abeea1b,053150b6,/_/,.json,5222,5222,F,,,,Bitbucket Client ID:Bitbucket Client Secret
9abeea1b,053150b6,/_/,.json,1560,1560,F,,,,Bitbucket Client ID:Bitbucket Client Secret
9abeea1b,21676345,/test/lib/,.js,38,38,F,-1,-1,,Key
9abeea1b,2dbf87b2,/lib/,.ts,16,16,F,-1,-1,,Key
9abeea1b,2dbf87b2,/lib/,.ts,58,58,F,,,,Password
9abeea1b,2e0b878f,/example/,.json,608,608,F,21,27,,Password
9abeea1b,2e0b878f,/example/,.json,641,641,F,21,27,,Key
9abeea1b,2e0b878f,/example/,.json,830,830,F,23,29,,Auth
9abeea1b,2e0b878f,/example/,.json,1009,1009,F,24,30,,Password
9abeea1b,2e0b878f,/example/,.json,1010,1010,F,21,27,,Password
9abeea1b,2e0b878f,/example/,.json,193,193,F,21,27,,Key
9abeea1b,2e0b878f,/example/,.json,322,322,F,21,27,,Password
9abeea1b,2e0b878f,/example/,.json,947,947,F,20,26,,Password
9abeea1b,3db5bd24,/spec/,.js,2,2,Template,29,34,,Password
9abeea1b,416ed26b,/docs/,.md,161,161,F,,,,API
9abeea1b,50e2bd19,/test/spec/,.js,5,5,F,13,19,,Key
9abeea1b,56dc7a9b,/test/spec/browser/,.js,5,5,F,20,26,,Key
9abeea1b,65038dea,/test/lib/,.js,45,45,F,-1,-1,,Key
9abeea1b,65038dea,/test/lib/,.js,153,153,F,,,,Password:Key
9abeea1b,6ac3f79f,/_/,.yml,12,12,T,31,51,,Gitlab Feed Token:Key
9abeea1b,6ac3f79f,/_/,.yml,10,10,T,23,59,,Key
9abeea1b,70d06098,/conf/spec/,.js,75,75,Template,17,21,,Password
9abeea1b,78a8a197,/conf/,.yml,22,22,F,-1,-1,,Key
9abeea1b,8834028d,/lib/,.ts,361,361,F,,,,Password
9abeea1b,8834028d,/lib/,.ts,275,275,F,-1,-1,,Key
9abeea1b,8834028d,/lib/,.ts,13,13,F,-1,-1,,Key
9abeea1b,8834028d,/lib/,.ts,362,362,F,,,,Password
9abeea1b,900b7862,/lib/,.ts,13,13,F,-1,-1,,Key
9abeea1b,90bb05ca,/test/script/,.sh,2,2,F,-1,-1,,Key
9abeea1b,90bb05ca,/test/script/,.sh,1,1,F,,,,Key
9abeea1b,99905145,/_/,.json,812,812,F,31,36,,Auth
9abeea1b,99905145,/_/,.json,2479,2479,F,25,30,,Password
9abeea1b,99905145,/_/,.json,3661,3661,F,27,32,,Auth
9abeea1b,99905145,/_/,.json,3807,3807,F,24,29,,Key
9abeea1b,99905145,/_/,.json,3817,3817,F,33,38,,Key
