Repo,File,Scope,Extension,LineStart,LineEnd,Label,ValueStart,ValueEnd,Info,Category
a60edb87,09fcbf19,/_/,.md,2152,2152,F,,,,Token
a60edb87,09fcbf19,/_/,.md,1588,1588,F,-1,-1,,Other
a60edb87,0ed59d7c,/example/api/,.yaml,1,1,F,,,,API
a60edb87,1bc3e6ac,/example/,.yaml,1,1,F,,,,API
a60edb87,1bc3e6ac,/example/,.yaml,33,33,T,29,65,,UUID
a60edb87,1cffa40e,/example/,.json,64,64,F,,,,API:Key
a60edb87,1cffa40e,/example/,.json,58,58,F,,,,API:Key
a60edb87,1cffa40e,/example/,.json,2,2,F,,,,API
a60edb87,3077b1fa,/example/api/,.json,2,2,F,,,,API
a60edb87,43adf53e,/example/,.json,2,2,F,,,,API
a60edb87,46ec0636,/_/,.md,2171,2171,F,,,,Token
a60edb87,46ec0636,/_/,.md,1607,1607,F,-1,-1,,Other
a60edb87,46ec0636,/_/,.md,3433,3433,F,,,,API
a60edb87,77c46d80,/example/,.yaml,1,1,F,,,,API
a60edb87,aa2d80db,/_/,.json,31,31,F,,,,API
a60edb87,aac000a6,/_/,.yml,8,8,F,,,,API
a60edb87,ae8f4a8c,/_/,.md,179,179,F,,,,API
a60edb87,ae8f4a8c,/_/,.md,219,219,F,,,,Secret
a60edb87,ae8f4a8c,/_/,.md,548,548,F,,,,API
a60edb87,ae8f4a8c,/_/,.md,328,328,F,31,44,,Secret
a60edb87,ae8f4a8c,/_/,.md,380,380,F,31,44,,Secret
a60edb87,ae8f4a8c,/_/,.md,430,430,F,27,40,,Secret
a60edb87,ae8f4a8c,/_/,.md,472,472,F,25,38,,Secret
a60edb87,ae8f4a8c,/_/,.md,509,509,F,23,36,,Secret
a60edb87,fc49a852,/example/,.yaml,52,52,F,,,,API:Key
a60edb87,fc49a852,/example/,.yaml,58,58,F,,,,API:Key
a60edb87,fc49a852,/example/,.yaml,1,1,F,,,,API
