Id,FileID,Domain,RepoName,FilePath,LineStart,LineEnd,GroundTruth,ValueStart,ValueEnd,CryptographyKey,PredefinedPattern,Category
3177,6e1cd0ee,GitHub,aec12e7f,data/aec12e7f/src/6e1cd0ee.java,242,242,F,-1,-1,,,Key
3180,b3e9915c,GitHub,aec12e7f,data/aec12e7f/src/b3e9915c.java,226,226,F,-1,-1,,,Key
3188,23659a3a,GitHub,aec12e7f,data/aec12e7f/src/23659a3a.java,113,113,F,-1,-1,,,Key
3264,fe4721ea,GitHub,aec12e7f,data/aec12e7f/src/fe4721ea.java,208,208,F,-1,-1,,,Credential
3833,8823aa3c,GitHub,aec12e7f,data/aec12e7f/src/8823aa3c.properties,6,6,F,,,,,Password
4924,fe4721ea,GitHub,aec12e7f,data/aec12e7f/src/fe4721ea.java,30,30,F,-1,-1,,,Credential
5015,6caa2141,GitHub,aec12e7f,data/aec12e7f/src/6caa2141.java,577,577,F,-1,-1,,,Key
5016,14a41d9d,GitHub,aec12e7f,data/aec12e7f/src/14a41d9d.java,92,92,F,-1,-1,,,Key
5031,f13b3ae7,GitHub,aec12e7f,data/aec12e7f/src/f13b3ae7.java,185,185,F,-1,-1,,,Key
6213,02acf71e,GitHub,aec12e7f,data/aec12e7f/src/02acf71e.java,28,28,F,-1,-1,,,Other
9021,c983987f,GitHub,aec12e7f,data/aec12e7f/src/c983987f.java,17,17,F,-1,-1,,,Key
9042,3afc4da7,GitHub,aec12e7f,data/aec12e7f/src/3afc4da7.java,30,30,F,-1,-1,,,Credential
9046,95af1444,GitHub,aec12e7f,data/aec12e7f/src/95af1444.java,31,31,F,,,,,Token
9118,32c41855,GitHub,aec12e7f,data/aec12e7f/src/32c41855.java,30,30,F,-1,-1,,,Other
13476,1178c663,GitHub,aec12e7f,data/aec12e7f/src/1178c663.java,14,14,F,-1,-1,,,Key
13488,14a41d9d,GitHub,aec12e7f,data/aec12e7f/src/14a41d9d.java,19,19,F,-1,-1,,,Key
13490,3afc4da7,GitHub,aec12e7f,data/aec12e7f/src/3afc4da7.java,15,15,F,,,,,Key
13492,23659a3a,GitHub,aec12e7f,data/aec12e7f/src/23659a3a.java,45,45,F,,,,,Password
13522,2ab18f9b,GitHub,aec12e7f,data/aec12e7f/src/2ab18f9b.java,17,17,F,,,,,Auth:Key:Token
13523,2ab18f9b,GitHub,aec12e7f,data/aec12e7f/src/2ab18f9b.java,18,18,F,,,,,Auth:Key:Token
13549,b52740dd,GitHub,aec12e7f,data/aec12e7f/src/b52740dd.java,22,22,F,-1,-1,,,Key
13550,b52740dd,GitHub,aec12e7f,data/aec12e7f/src/b52740dd.java,23,23,F,-1,-1,,,Key
13553,2ab18f9b,GitHub,aec12e7f,data/aec12e7f/src/2ab18f9b.java,16,16,F,,,,,Auth:Key
13562,bf03b780,GitHub,aec12e7f,data/aec12e7f/src/bf03b780.java,25,25,F,-1,-1,,,Key
13570,799933e6,GitHub,aec12e7f,data/aec12e7f/src/799933e6.java,10,10,F,-1,-1,,,Key:Credential
13571,799933e6,GitHub,aec12e7f,data/aec12e7f/src/799933e6.java,11,11,F,-1,-1,,,Key:Credential
15856,b2ecdd45,GitHub,aec12e7f,data/aec12e7f/src/b2ecdd45.java,25,25,F,,,,,Secret
17060,e089e8f1,GitHub,aec12e7f,data/aec12e7f/test/e089e8f1.java,124,124,F,-1,-1,,,Other
17778,7214b893,GitHub,aec12e7f,data/aec12e7f/test/7214b893.java,16,16,F,-1,-1,,,Key
32316,b3356305,GitHub,aec12e7f,data/aec12e7f/other/b3356305.md,142,142,T,20,27,,,Password
32317,a9c03db6,GitHub,aec12e7f,data/aec12e7f/src/a9c03db6.properties,3,3,T,20,27,,,Password
32318,b3356305,GitHub,aec12e7f,data/aec12e7f/other/b3356305.md,163,163,T,17,24,,,Password
34765,e683d651,GitHub,aec12e7f,data/aec12e7f/src/e683d651.properties,10,10,T,14,27,,,Password
42417,f050187f,GitHub,aec12e7f,data/aec12e7f/src/f050187f.java,71,71,F,,,,,Password
61992,6caa2141,GitHub,aec12e7f,data/aec12e7f/src/6caa2141.java,592,592,F,-1,-1,,,Key
61993,6caa2141,GitHub,aec12e7f,data/aec12e7f/src/6caa2141.java,987,987,F,-1,-1,,,Key
61994,6caa2141,GitHub,aec12e7f,data/aec12e7f/src/6caa2141.java,1016,1016,F,-1,-1,,,Key
64119,b3e9915c,GitHub,aec12e7f,data/aec12e7f/src/b3e9915c.java,247,247,F,-1,-1,,,Key
64120,b3e9915c,GitHub,aec12e7f,data/aec12e7f/src/b3e9915c.java,269,269,F,-1,-1,,,Key
64121,b3e9915c,GitHub,aec12e7f,data/aec12e7f/src/b3e9915c.java,290,290,F,-1,-1,,,Key
75435,95af1444,GitHub,aec12e7f,data/aec12e7f/src/95af1444.java,45,45,F,,,,,Token
108537,b52740dd,GitHub,aec12e7f,data/aec12e7f/src/b52740dd.java,31,31,F,-1,-1,,,Other
108538,fe4721ea,GitHub,aec12e7f,data/aec12e7f/src/fe4721ea.java,57,57,F,-1,-1,,,Other
114652,b3356305,GitHub,aec12e7f,data/aec12e7f/other/b3356305.md,32,32,T,67,131,,,Key
