Repo,File,Scope,Extension,LineStart,LineEnd,Label,ValueStart,ValueEnd,Info,Category
afdd01d8,03609cb6,/test/,.yml,37,37,T,18,28,,Password
afdd01d8,03609cb6,/test/,.yml,16,16,Template,21,25,,Password
afdd01d8,03609cb6,/test/,.yml,23,23,Template,18,23,,Password
afdd01d8,03609cb6,/test/,.yml,30,30,Template,20,25,,Password
afdd01d8,2e36af1b,/src/,.ts,9,9,F,,,,Password
afdd01d8,344c39fb,/_/,.yml,17,17,T,24,34,,Password
afdd01d8,344c39fb,/_/,.yml,20,20,T,21,29,,Password
afdd01d8,344c39fb,/_/,.yml,60,60,F,-1,-1,,Other
afdd01d8,344c39fb,/_/,.yml,35,35,F,,,,Password
afdd01d8,344c39fb,/_/,.yml,58,58,T,110,120,,SQL Password
afdd01d8,458712c0,/test/util/,.ts,5,5,F,-1,-1,,Key
afdd01d8,458712c0,/test/util/,.ts,18,18,F,-1,-1,,Key
afdd01d8,458712c0,/test/util/,.ts,16,16,F,-1,-1,,Key
afdd01d8,5ff8fcf4,/src/,.ts,285,285,F,-1,-1,,Key
afdd01d8,5ff8fcf4,/src/,.ts,412,412,F,-1,-1,,Other
afdd01d8,5ff8fcf4,/src/,.ts,492,492,F,,,,Password
afdd01d8,84f0ebf3,/_/,.dist,5,5,T,15,25,,Password
afdd01d8,84f0ebf3,/_/,.dist,13,13,Template,18,22,,Password
afdd01d8,84f0ebf3,/_/,.dist,21,21,Template,15,20,,Password
afdd01d8,84f0ebf3,/_/,.dist,29,29,Template,17,22,,Password
afdd01d8,84f0ebf3,/_/,.dist,38,38,T,19,29,,Password
afdd01d8,84f0ebf3,/_/,.dist,41,41,T,16,24,,Password
afdd01d8,c913dbe4,/src/,.ts,463,463,F,-1,-1,,Key
afdd01d8,c913dbe4,/src/,.ts,648,648,F,,,,Password
afdd01d8,c9cfede6,/src/,.ts,93,93,F,-1,-1,,Key
afdd01d8,c9cfede6,/src/,.ts,330,330,F,-1,-1,,Key
afdd01d8,c9cfede6,/src/,.ts,333,333,F,-1,-1,,Key
afdd01d8,c9cfede6,/src/,.ts,477,477,F,,,,Password
afdd01d8,e45e45ba,/docker/,.yml,46,46,T,20,30,,Password
afdd01d8,e45e45ba,/docker/,.yml,13,13,Template,23,27,,Password
afdd01d8,e45e45ba,/docker/,.yml,57,57,T,23,30,,Password
afdd01d8,e45e45ba,/docker/,.yml,11,11,Template,28,33,,Password
afdd01d8,e45e45ba,/docker/,.yml,23,23,Template,28,33,,Password
afdd01d8,e45e45ba,/docker/,.yml,25,25,Template,23,27,,Password
afdd01d8,e45e45ba,/docker/,.yml,36,36,Template,26,30,,Password
