Id,FileID,Domain,RepoName,FilePath,LineStart,LineEnd,GroundTruth,ValueStart,ValueEnd,CryptographyKey,PredefinedPattern,Category
7719,42e64e76,GitHub,b74193f1,data/b74193f1/test/internal/42e64e76.go,19,19,F,,,,,URL Credentials
8853,d982c134,GitHub,b74193f1,data/b74193f1/_/d982c134.go,282,282,F,,,,,Secret
8979,5d04a935,GitHub,b74193f1,data/b74193f1/test/internal/client/5d04a935.go,69,69,F,,,,,Secret
9131,36fa8133,GitHub,b74193f1,data/b74193f1/test/internal/secret/36fa8133.go,19,19,F,,,,,Secret
11776,d54544b0,GitHub,b74193f1,data/b74193f1/test/secret/d54544b0.go,39,39,F,,,,,Secret
14359,b4970254,GitHub,b74193f1,data/b74193f1/test/b4970254.go,87,87,F,,,,,Secret
18046,5e8dd78c,GitHub,b74193f1,data/b74193f1/test/internal/5e8dd78c.go,31,31,F,,,,,Bitbucket Client ID:Bitbucket Client Secret
21285,78eb5784,GitHub,b74193f1,data/b74193f1/example/conf/78eb5784.toml,88,88,F,,,,,Password:URL Credentials
22032,3bf8c4e5,GitHub,b74193f1,data/b74193f1/test/internal/client/3bf8c4e5.json,2,2,T,13,35,,,Secret
26066,6a9f7470,GitHub,b74193f1,data/b74193f1/internal/6a9f7470.go,49,49,F,,,,,Secret
35215,d54544b0,GitHub,b74193f1,data/b74193f1/test/secret/d54544b0.go,18,18,T,36,68,,,Secret
35238,a87a7ddf,GitHub,b74193f1,data/b74193f1/test/internal/a87a7ddf.toml,1,1,T,10,46,,,Secret
35239,08b8e35f,GitHub,b74193f1,data/b74193f1/test/internal/conf/08b8e35f.toml,1,1,T,10,46,,,Secret
35240,78eb5784,GitHub,b74193f1,data/b74193f1/example/conf/78eb5784.toml,21,21,T,10,88,,,Secret
35241,b3356305,GitHub,b74193f1,data/b74193f1/_/b3356305.md,247,247,T,10,64,,,Secret
37407,d54544b0,GitHub,b74193f1,data/b74193f1/test/secret/d54544b0.go,54,54,T,36,68,,,Secret
37408,d54544b0,GitHub,b74193f1,data/b74193f1/test/secret/d54544b0.go,66,66,T,36,68,,,Secret
47921,78eb5784,GitHub,b74193f1,data/b74193f1/example/conf/78eb5784.toml,106,106,F,,,,,Password:URL Credentials
48123,a883a761,GitHub,b74193f1,data/b74193f1/test/internal/client/a883a761.json,2,2,T,13,35,,,Secret
110647,b3356305,GitHub,b74193f1,data/b74193f1/_/b3356305.md,7,7,F,,,,,Token
1494643,3aed9e67,GitHub,b74193f1,data/b74193f1/test/internal/conf/secret/3aed9e67.toml,1,1,T,10,46,,,Secret
