Id,FileID,Domain,RepoName,FilePath,LineStart,LineEnd,GroundTruth,ValueStart,ValueEnd,CryptographyKey,PredefinedPattern,Category
4778,98e64bc1,GitHub,b76321b2,data/b76321b2/_/98e64bc1.md,104,104,F,,,,,Auth
11521,6e71e03f,GitHub,b76321b2,data/b76321b2/test/6e71e03f.js,318,318,F,,,,,Token
13687,93f62c75,GitHub,b76321b2,data/b76321b2/test/93f62c75.js,1099,1099,F,,,,,Token
14111,98e64bc1,GitHub,b76321b2,data/b76321b2/_/98e64bc1.md,179,179,T,15,29,,,Password
15742,1baf5c3b,GitHub,b76321b2,data/b76321b2/docs/lib/1baf5c3b.html,1435,1435,F,,,,,Key
15753,1baf5c3b,GitHub,b76321b2,data/b76321b2/docs/lib/1baf5c3b.html,1079,1079,F,,,,,Key
17155,1baf5c3b,GitHub,b76321b2,data/b76321b2/docs/lib/1baf5c3b.html,1119,1119,F,,,,,Key
17352,4b213cb9,GitHub,b76321b2,data/b76321b2/docs/api/4b213cb9.html,8280,8280,F,,,,,Key
23102,e45e45ba,GitHub,b76321b2,data/b76321b2/docker/e45e45ba.yml,9,9,T,34,43,,,Password
25186,4b213cb9,GitHub,b76321b2,data/b76321b2/docs/api/4b213cb9.html,8882,8882,F,,,,,Key
28083,dbbc0361,GitHub,b76321b2,data/b76321b2/test/model/dbbc0361.js,45,45,F,71,82,,,Password
29251,b3356305,GitHub,b76321b2,data/b76321b2/_/b3356305.md,45,45,X,16,38,,,Password
29754,93f62c75,GitHub,b76321b2,data/b76321b2/test/93f62c75.js,398,398,X,67,71,,,Password
29755,93f62c75,GitHub,b76321b2,data/b76321b2/test/93f62c75.js,686,686,X,69,73,,,Password
29756,93f62c75,GitHub,b76321b2,data/b76321b2/test/93f62c75.js,478,478,X,67,71,,,Password
29757,93f62c75,GitHub,b76321b2,data/b76321b2/test/93f62c75.js,687,687,X,70,74,,,Password
29758,4b213cb9,GitHub,b76321b2,data/b76321b2/docs/api/4b213cb9.html,15718,15718,X,54,58,,,Password
29893,4b213cb9,GitHub,b76321b2,data/b76321b2/docs/api/4b213cb9.html,2699,2699,X,13,19,,,Password
29928,6e71e03f,GitHub,b76321b2,data/b76321b2/test/6e71e03f.js,42,42,X,19,27,,,Password
29929,6e71e03f,GitHub,b76321b2,data/b76321b2/test/6e71e03f.js,48,48,X,19,27,,,Password
30075,dbbc0361,GitHub,b76321b2,data/b76321b2/test/model/dbbc0361.js,48,48,X,40,51,,,Password
30076,dbbc0361,GitHub,b76321b2,data/b76321b2/test/model/dbbc0361.js,77,77,X,42,53,,,Password
30901,dbbc0361,GitHub,b76321b2,data/b76321b2/test/model/dbbc0361.js,71,71,X,38,49,,,Password
30996,4b213cb9,GitHub,b76321b2,data/b76321b2/docs/api/4b213cb9.html,15717,15717,X,65,69,,,Password
31028,3329919d,GitHub,b76321b2,data/b76321b2/lib/model/3329919d.js,289,289,X,16,22,,,Password
31029,95dc83ba,GitHub,b76321b2,data/b76321b2/docs/lib/95dc83ba.html,363,363,X,16,22,,,Password
31030,54bb4e42,GitHub,b76321b2,data/b76321b2/lib/54bb4e42.js,667,667,X,63,67,,,Password
