Id,FileID,Domain,RepoName,FilePath,LineStart,LineEnd,GroundTruth,ValueStart,ValueEnd,CryptographyKey,PredefinedPattern,Category
2061,c9faae9b,GitHub,bbb6c1c3,data/bbb6c1c3/lib/sys/app/c9faae9b.js,13,13,F,,,,,Key
2062,c9faae9b,GitHub,bbb6c1c3,data/bbb6c1c3/lib/sys/app/c9faae9b.js,17,17,F,,,,,Key
2630,2e7345f4,GitHub,bbb6c1c3,data/bbb6c1c3/src/modul/app/2e7345f4.php,56,56,F,,,,,Key
2659,793f7821,GitHub,bbb6c1c3,data/bbb6c1c3/src/sys/modul/app/793f7821.php,24,24,F,,,,,Credential
2660,23ee1c3f,GitHub,bbb6c1c3,data/bbb6c1c3/src/sys/modul/app/23ee1c3f.php,63,63,F,,,,,Key
2684,1fa2bdc5,GitHub,bbb6c1c3,data/bbb6c1c3/src/sys/modul/app/1fa2bdc5.php,28,28,F,,,,,Auth
2689,4cba9b48,GitHub,bbb6c1c3,data/bbb6c1c3/src/modul/app/4cba9b48.php,65,65,F,,,,,Token
9720,3767c15b,GitHub,bbb6c1c3,data/bbb6c1c3/lang/sys/app/3767c15b.json,1,1,F,,,,,Password
9721,f20795d4,GitHub,bbb6c1c3,data/bbb6c1c3/lang/sys/app/f20795d4.json,1,1,F,,,,,Password
9722,e17caa78,GitHub,bbb6c1c3,data/bbb6c1c3/lang/sys/app/e17caa78.json,1,1,F,,,,,Password
9723,26bcf14c,GitHub,bbb6c1c3,data/bbb6c1c3/lang/sys/app/26bcf14c.json,1,1,F,,,,,Password
9724,5d5ce67e,GitHub,bbb6c1c3,data/bbb6c1c3/lang/sys/app/5d5ce67e.json,1,1,F,,,,,Password
9725,a677de68,GitHub,bbb6c1c3,data/bbb6c1c3/lang/sys/app/a677de68.json,1,1,F,,,,,Password
9726,c072aea1,GitHub,bbb6c1c3,data/bbb6c1c3/lang/sys/app/c072aea1.json,1,1,F,,,,,Password
9727,e8212cd1,GitHub,bbb6c1c3,data/bbb6c1c3/lang/sys/app/e8212cd1.json,1,1,F,,,,,Password
