Id,FileID,Domain,RepoName,FilePath,LineStart,LineEnd,GroundTruth,ValueStart,ValueEnd,CryptographyKey,PredefinedPattern,Category
1905,a84dd0c1,GitHub,c25fb835,data/c25fb835/other/a84dd0c1.md,15,15,F,,,,,Password
5885,8f72f523,GitHub,c25fb835,data/c25fb835/src/8f72f523.yml,122,122,F,,,,,API
5891,69eee04a,GitHub,c25fb835,data/c25fb835/test/69eee04a.yml,39,39,F,,,,,API
5908,119b8aac,GitHub,c25fb835,data/c25fb835/src/119b8aac.yaml,1,1,F,,,,,API
6044,2b572cdd,GitHub,c25fb835,data/c25fb835/src/2b572cdd.yaml,1,1,F,,,,,API
6526,4be2293f,GitHub,c25fb835,data/c25fb835/other/4be2293f.md,6,6,F,-1,-1,,,Key:Gitlab Feed Token
12654,4bae2c06,GitHub,c25fb835,data/c25fb835/src/4bae2c06.yml,34,34,F,-1,-1,,,Key
12672,765e18d9,GitHub,c25fb835,data/c25fb835/src/765e18d9.yml,53,53,F,-1,-1,,,Key
12701,765e18d9,GitHub,c25fb835,data/c25fb835/src/765e18d9.yml,33,33,F,-1,-1,,,Key
12783,765e18d9,GitHub,c25fb835,data/c25fb835/src/765e18d9.yml,58,58,F,-1,-1,,,Key
12784,765e18d9,GitHub,c25fb835,data/c25fb835/src/765e18d9.yml,43,43,F,-1,-1,,,Key
12832,765e18d9,GitHub,c25fb835,data/c25fb835/src/765e18d9.yml,63,63,F,-1,-1,,,Key
12833,765e18d9,GitHub,c25fb835,data/c25fb835/src/765e18d9.yml,38,38,F,,,,,Key
12848,765e18d9,GitHub,c25fb835,data/c25fb835/src/765e18d9.yml,48,48,F,-1,-1,,,Key
12849,765e18d9,GitHub,c25fb835,data/c25fb835/src/765e18d9.yml,68,68,F,-1,-1,,,Key
18812,119b8aac,GitHub,c25fb835,data/c25fb835/src/119b8aac.yaml,28,28,F,-1,-1,,,Key
18828,5dcea0ac,GitHub,c25fb835,data/c25fb835/src/5dcea0ac.yaml,37,37,F,-1,-1,,,Key
23715,f6fa1a87,GitHub,c25fb835,data/c25fb835/src/f6fa1a87.go,48,48,F,,,,,API
27419,4bcea99a,GitHub,c25fb835,data/c25fb835/src/4bcea99a.yml,28,28,F,22,32,,,Secret
32314,0ea8ab87,GitHub,c25fb835,data/c25fb835/src/0ea8ab87.yml,7,7,T,15,27,,,Password
32315,e194e1c4,GitHub,c25fb835,data/c25fb835/src/e194e1c4.yml,7,7,T,15,27,,,Password
32679,0ea8ab87,GitHub,c25fb835,data/c25fb835/src/0ea8ab87.yml,9,9,T,11,67,,,Auth:Key
32681,0ea8ab87,GitHub,c25fb835,data/c25fb835/src/0ea8ab87.yml,13,13,T,12,68,,,Auth:Salt
34617,0298c785,GitHub,c25fb835,data/c25fb835/src/0298c785.yml,8,8,T,12,24,,,Password
34950,0298c785,GitHub,c25fb835,data/c25fb835/src/0298c785.yml,9,9,T,16,32,,,Password
35140,0ea8ab87,GitHub,c25fb835,data/c25fb835/src/0ea8ab87.yml,11,11,T,17,73,,,Auth:Key
35141,0ea8ab87,GitHub,c25fb835,data/c25fb835/src/0ea8ab87.yml,14,14,T,18,74,,,Auth:Salt
35948,0ea8ab87,GitHub,c25fb835,data/c25fb835/src/0ea8ab87.yml,12,12,T,12,68,,,Key:Nonce
35949,0ea8ab87,GitHub,c25fb835,data/c25fb835/src/0ea8ab87.yml,16,16,T,13,69,,,Nonce:Salt
36079,c0c412f9,GitHub,c25fb835,data/c25fb835/src/c0c412f9.yml,8,8,T,12,24,,,Password
36400,0ea8ab87,GitHub,c25fb835,data/c25fb835/src/0ea8ab87.yml,10,10,T,15,71,,,Key
36401,0ea8ab87,GitHub,c25fb835,data/c25fb835/src/0ea8ab87.yml,15,15,T,16,72,,,Salt
83097,4bcea99a,GitHub,c25fb835,data/c25fb835/src/4bcea99a.yml,1,1,F,12,19,,,API
83098,765e18d9,GitHub,c25fb835,data/c25fb835/src/765e18d9.yml,1,1,F,12,19,,,API
83099,5dcea0ac,GitHub,c25fb835,data/c25fb835/src/5dcea0ac.yaml,1,1,F,12,19,,,API
83100,5dcea0ac,GitHub,c25fb835,data/c25fb835/src/5dcea0ac.yaml,22,22,F,12,19,,,API
83101,69eee04a,GitHub,c25fb835,data/c25fb835/test/69eee04a.yml,1,1,F,12,19,,,API
83102,69eee04a,GitHub,c25fb835,data/c25fb835/test/69eee04a.yml,45,45,F,16,23,,,API
102768,54614e94,GitHub,c25fb835,data/c25fb835/src/54614e94.yaml,25,25,F,,,,,Secret
