Repo,File,Scope,Extension,LineStart,LineEnd,Label,ValueStart,ValueEnd,Info,Category
cd82f1a2,1062d67e,/app/,.html,5,5,F,-1,-1,,Other
cd82f1a2,1a82d36b,/test/server/,.key,1,54,F,,,,PEM Private Key
cd82f1a2,22cc89ae,/docs/,.md,52,52,Template,27,32,,Password
cd82f1a2,22cc89ae,/docs/,.md,66,66,Template,27,32,,Password
cd82f1a2,3295df72,/_/,.sum,32,32,F,-1,-1,,Other
cd82f1a2,3295df72,/_/,.sum,31,31,F,-1,-1,,Other
cd82f1a2,3295df72,/_/,.sum,73,73,F,-1,-1,,Other
cd82f1a2,3295df72,/_/,.sum,74,74,F,-1,-1,,Other
cd82f1a2,3295df72,/_/,.sum,329,329,F,,,,Auth
cd82f1a2,3295df72,/_/,.sum,330,330,F,,,,Auth
cd82f1a2,3295df72,/_/,.sum,332,332,F,,,,Auth
cd82f1a2,3e878d9b,/code/,.yml,2,2,T,9,45,,Token:UUID
cd82f1a2,4770a7ca,/test/lib/client/,.go,78,78,T,17,38,,Password
cd82f1a2,81801117,/_/,.yaml,42,42,Template,26,31,,Password
cd82f1a2,81801117,/_/,.yaml,59,59,Template,26,31,,Password
cd82f1a2,ae11f761,/test/client/,.key,1,54,F,,,,PEM Private Key
cd82f1a2,b3f11bd9,/test/lib/client/,.go,45,45,Template,28,34,,Auth:Key:Secret
cd82f1a2,b3f11bd9,/test/lib/client/,.go,81,81,F,,,,Auth
cd82f1a2,b3f11bd9,/test/lib/client/,.go,55,55,F,,,,Auth
cd82f1a2,b3f11bd9,/test/lib/client/,.go,80,80,Template,28,34,,Auth:Key:Secret
cd82f1a2,b95af763,/_/,.yaml,1,1,F,,,,API
cd82f1a2,bbaebbdc,/example/,.json,2,2,F,,,,API
cd82f1a2,fdd46201,/_/,.go,139,139,F,,,,Password
