Id,FileID,Domain,RepoName,FilePath,LineStart,LineEnd,GroundTruth,ValueStart,ValueEnd,CryptographyKey,PredefinedPattern,Category
54,3f452cbc,GitHub,d111114d,data/d111114d/_/3f452cbc.ts,163,163,F,,,,,Key
133,e6f779fb,GitHub,d111114d,data/d111114d/_/e6f779fb.ts,52,52,F,,,,,Key
593,4e39f97c,GitHub,d111114d,data/d111114d/util/4e39f97c.ts,22,22,F,,,,,Key
652,124c1456,GitHub,d111114d,data/d111114d/test/util/124c1456.ts,10,10,F,,,,,Key
670,b4940813,GitHub,d111114d,data/d111114d/_/b4940813.ts,8,8,F,,,,,Key
980,7b2afd37,GitHub,d111114d,data/d111114d/_/7b2afd37.ts,15,15,F,,,,,Key
1056,54fad2b4,GitHub,d111114d,data/d111114d/_/54fad2b4.ts,321,321,F,,,,,Password
1092,7b2afd37,GitHub,d111114d,data/d111114d/_/7b2afd37.ts,35,35,F,,,,,Key
1122,1863dff9,GitHub,d111114d,data/d111114d/_/1863dff9.ts,331,331,F,,,,,Key
1166,64ba0041,GitHub,d111114d,data/d111114d/_/64ba0041.ts,23,23,F,,,,,Key
1217,70b967ea,GitHub,d111114d,data/d111114d/_/70b967ea.ts,162,162,F,,,,,Key
1717,e617827b,GitHub,d111114d,data/d111114d/_/e617827b.ts,272,272,F,,,,,Key
1718,e617827b,GitHub,d111114d,data/d111114d/_/e617827b.ts,262,262,F,,,,,Key
1911,c21135e6,GitHub,d111114d,data/d111114d/_/c21135e6.ts,1238,1238,F,,,,,Token
2542,c21135e6,GitHub,d111114d,data/d111114d/_/c21135e6.ts,1020,1020,F,,,,,Key
3070,758ad91c,GitHub,d111114d,data/d111114d/src/758ad91c.ts,27,27,F,,,,,Key
3072,13024982,GitHub,d111114d,data/d111114d/_/13024982.md,22,22,F,,,,,Key
3098,99fec522,GitHub,d111114d,data/d111114d/_/99fec522.ts,25,25,F,,,,,Key
3099,99fec522,GitHub,d111114d,data/d111114d/_/99fec522.ts,89,89,F,,,,,Key
3614,f631788b,GitHub,d111114d,data/d111114d/_/f631788b.ts,40,40,F,,,,,Key
3615,48a57a74,GitHub,d111114d,data/d111114d/_/48a57a74.ts,50,50,F,,,,,Key
3616,2c568df7,GitHub,d111114d,data/d111114d/_/2c568df7.ts,128,128,F,,,,,Key
3621,e54e6196,GitHub,d111114d,data/d111114d/_/e54e6196.ts,445,445,F,,,,,Key
3622,720799ff,GitHub,d111114d,data/d111114d/_/720799ff.ts,7,7,F,,,,,Token
3623,e39fc09c,GitHub,d111114d,data/d111114d/lib/e39fc09c.ts,77,77,F,,,,,Key
3624,32da1599,GitHub,d111114d,data/d111114d/lib/32da1599.ts,78,78,F,,,,,Key
3625,d4881805,GitHub,d111114d,data/d111114d/lib/d4881805.ts,149,149,F,,,,,Key
5153,b17970d7,GitHub,d111114d,data/d111114d/test/b17970d7.ts,13,13,F,,,,,Key
5156,49ffda3e,GitHub,d111114d,data/d111114d/_/49ffda3e.ts,41,41,F,,,,,Key
5179,8d553201,GitHub,d111114d,data/d111114d/_/8d553201.ts,14,14,F,,,,,Key
5180,758ad91c,GitHub,d111114d,data/d111114d/src/758ad91c.ts,11,11,F,,,,,Key
5184,db769a28,GitHub,d111114d,data/d111114d/_/db769a28.ts,346,346,F,,,,,Key
5200,20976ebf,GitHub,d111114d,data/d111114d/tool/20976ebf.ts,35,35,F,,,,,Key
5206,160ee691,GitHub,d111114d,data/d111114d/_/160ee691.ts,35,35,F,,,,,Key
5346,258a0647,GitHub,d111114d,data/d111114d/conf/script/258a0647.ts,11,11,F,,,,,Key
5350,357ad5be,GitHub,d111114d,data/d111114d/_/357ad5be.ts,18,18,F,,,,,Key
5368,a3490ca3,GitHub,d111114d,data/d111114d/_/a3490ca3.ts,4,4,F,,,,,Key
6249,67716d3c,GitHub,d111114d,data/d111114d/_/67716d3c.ts,28,28,F,,,,,Key
6250,a5292190,GitHub,d111114d,data/d111114d/_/a5292190.ts,37,37,F,,,,,Key
6251,b1f70938,GitHub,d111114d,data/d111114d/_/b1f70938.ts,743,743,F,,,,,Key
6252,b1f70938,GitHub,d111114d,data/d111114d/_/b1f70938.ts,630,630,F,,,,,Key
