Repo,File,Scope,Extension,LineStart,LineEnd,Label,ValueStart,ValueEnd,Info,Category
d518da13,05fdef55,/test/,.py,85,85,F,,,,Auth
d518da13,05fdef55,/test/,.py,35,35,F,,,,Gitlab Feed Token
d518da13,05fdef55,/test/,.py,93,93,F,,,,Auth
d518da13,21ec96a1,/_/,,5,5,F,18,,,Password:Key:Secret
d518da13,21ec96a1,/_/,,70,70,F,23,-1,,Password
d518da13,330e786c,/conf/setting/,.py,168,168,F,,,,API
d518da13,330e786c,/conf/setting/,.py,180,180,F,,,,API
d518da13,330e786c,/conf/setting/,.py,181,181,F,,,,Secret
d518da13,330e786c,/conf/setting/,.py,204,204,F,,,,API
d518da13,330e786c,/conf/setting/,.py,213,213,F,,,,API
d518da13,330e786c,/conf/setting/,.py,222,222,F,,,,API
d518da13,330e786c,/conf/setting/,.py,188,188,F,,,,API
d518da13,330e786c,/conf/setting/,.py,197,197,F,,,,Token
d518da13,330e786c,/conf/setting/,.py,79,79,F,,,,Secret
d518da13,330e786c,/conf/setting/,.py,19,19,F,,,,Secret
d518da13,330e786c,/conf/setting/,.py,47,47,F,-1,-1,,Other
d518da13,3a2aa9de,/script/,.py,94,94,F,-1,-1,,Key
d518da13,454c124c,/api/,.py,13,13,F,,,,API
d518da13,53accc4d,/_/,.yml,54,54,T,29,37,,Password
d518da13,53accc4d,/_/,.yml,60,60,Template,24,32,,URL Credentials
d518da13,53accc4d,/_/,.yml,61,61,T,41,49,,URL Credentials
d518da13,69010f9c,/_/,,7,7,F,18,,,Password
d518da13,714e1ebc,/_/,,17,17,F,,,,Secret
d518da13,71887a19,/test/,.py,18,18,F,-1,-1,,Other
d518da13,788a964a,/test/conf/setting/,.py,11,11,F,,,,Secret
d518da13,803c3fdf,/test/,.py,29,29,T,30,48,,Password
d518da13,803c3fdf,/test/,.py,30,30,T,30,48,,Password
d518da13,86017104,/_/,.py,185,185,F,,,,Secret
d518da13,86017104,/_/,.py,240,240,F,,,,Password
d518da13,86017104,/_/,.py,221,221,F,,,,Password
d518da13,86017104,/_/,.py,286,286,F,-1,-1,,Other
d518da13,86017104,/_/,.py,287,287,F,-1,-1,,Other
d518da13,98f4b04d,/_/,,16,16,F,23,-1,,Password
d518da13,9c79d5a2,/_/,.json,118,118,F,,,,Gitlab Feed Token
d518da13,9c79d5a2,/_/,.json,643,643,F,-1,-1,,Other
d518da13,9c79d5a2,/_/,.json,258,258,F,,,,Dropbox App secret
d518da13,9c79d5a2,/_/,.json,164,164,F,,,,Dropbox App secret
d518da13,b20d0977,/_/,,7,7,F,18,,,Password
d518da13,b803fcb7,/_/,.yml,77,77,T,41,49,,URL Credentials
d518da13,b803fcb7,/_/,.yml,72,72,T,29,37,,Password
d518da13,b803fcb7,/_/,.yml,76,76,Template,24,32,,URL Credentials
d518da13,b882a690,/docs/python/,.rst,68,68,Template,30,52,,Key:Secret
d518da13,b882a690,/docs/python/,.rst,71,71,Template,28,41,,API:Key
d518da13,d23e8f99,/docs/,.rst,56,56,Template,46,56,,URL Credentials
d518da13,d23e8f99,/docs/,.rst,44,44,F,97,107,,CMD Password
d518da13,d5054df5,/test/,.py,23,23,F,,,,API
d518da13,d5054df5,/test/,.py,18,18,F,,,,API
d518da13,d5054df5,/test/,.py,14,14,F,,,,API
d518da13,d5054df5,/test/,.py,19,19,F,,,,API
d518da13,d5054df5,/test/,.py,24,24,F,,,,API
d518da13,d5054df5,/test/,.py,11,11,F,,,,API
d518da13,d672e1ee,/_/,.html,21,21,F,118,189,,Other
d518da13,d672e1ee,/_/,.html,47,47,F,108,179,,Other
d518da13,d672e1ee,/_/,.html,45,45,F,86,157,,Other
d518da13,d672e1ee,/_/,.html,46,46,F,111,182,,Other
d518da13,e6d7a93f,/docker/docs/,.rst,115,115,Template,22,86,,Bitbucket Client Secret:Password
d518da13,e6d7a93f,/docker/docs/,.rst,208,208,F,-1,-1,,Other
d518da13,f1c17168,/docs/,.rst,31,31,F,,,,Secret:Key
