Id,FileID,Domain,RepoName,FilePath,LineStart:LineEnd,GroundTruth,WithWords,ValueStart,ValueEnd,InURL,InRuntimeParameter,CharacterSet,CryptographyKey,PredefinedPattern,VariableNameType,Entropy,Length,Base64Encode,HexEncode,URLEncode,Category
2287,3295df72,GitHub,d7017e58,data/d7017e58/src/i.sum,143:143,False,F,,,F,F,,,,,0,0,F,F,F,
3505,3295df72,GitHub,d7017e58,data/d7017e58/src/i.sum,46:46,False,F,,,F,F,,,,,0,0,F,F,F,
5397,7e0c97f6,GitHub,d7017e58,data/d7017e58/test/e.go,37:37,False,F,,,F,F,,,,,0,0,F,F,F,
5398,6be135b2,GitHub,d7017e58,data/d7017e58/test/o.go,285:285,False,F,,,F,F,,,,,0,0,F,F,F,
5403,ac557f4a,GitHub,d7017e58,data/d7017e58/test/m.go,1168:1168,False,F,,,F,F,,,,,0,0,F,F,F,
5408,2f6d72f9,GitHub,d7017e58,data/d7017e58/test/k.go,229:229,False,F,,,F,F,,,,,0,0,F,F,F,
5474,e4359825,GitHub,d7017e58,data/d7017e58/test/j.go,118:118,False,F,,,F,F,,,,,0,0,F,F,F,
5475,e4359825,GitHub,d7017e58,data/d7017e58/test/j.go,114:114,False,F,,,F,F,,,,,0,0,F,F,F,
5476,e4359825,GitHub,d7017e58,data/d7017e58/test/j.go,110:110,False,F,,,F,F,,,,,0,0,F,F,F,
6314,6be135b2,GitHub,d7017e58,data/d7017e58/test/o.go,1065:1065,False,F,,,F,F,,,,,0,0,F,F,F,
8151,8060fab9,GitHub,d7017e58,data/d7017e58/test/n.go,72:72,False,F,,,F,F,,,,,0,0,F,F,F,
8152,e6db595f,GitHub,d7017e58,data/d7017e58/other/d.md,318:318,False,F,,,F,F,,,,,0,0,F,F,F,
8370,ac557f4a,GitHub,d7017e58,data/d7017e58/test/m.go,840:840,False,F,,,F,F,,,,,0,0,F,F,F,
8403,ac557f4a,GitHub,d7017e58,data/d7017e58/test/m.go,908:908,False,F,,,F,F,,,,,0,0,F,F,F,
9842,f9de0f7f,GitHub,d7017e58,data/d7017e58/test/l.go,548:548,False,F,,,F,F,,,,,0,0,F,F,F,
9843,f9de0f7f,GitHub,d7017e58,data/d7017e58/test/l.go,546:546,False,F,,,F,F,,,,,0,0,F,F,F,
9844,f9de0f7f,GitHub,d7017e58,data/d7017e58/test/l.go,547:547,False,F,,,F,F,,,,,0,0,F,F,F,
10653,f9de0f7f,GitHub,d7017e58,data/d7017e58/test/l.go,588:588,False,F,,,F,F,,,,,0,0,F,F,F,
10785,d3389f8b,GitHub,d7017e58,data/d7017e58/test/q.go,157:157,False,F,,,F,F,,,,,0,0,F,F,F,
10786,d3389f8b,GitHub,d7017e58,data/d7017e58/test/q.go,214:214,False,F,,,F,F,,,,,0,0,F,F,F,
10787,d3389f8b,GitHub,d7017e58,data/d7017e58/test/q.go,266:266,False,F,,,F,F,,,,,0,0,F,F,F,
10788,d3389f8b,GitHub,d7017e58,data/d7017e58/test/q.go,443:443,False,F,,,F,F,,,,,0,0,F,F,F,
10789,d3389f8b,GitHub,d7017e58,data/d7017e58/test/q.go,390:390,False,F,,,F,F,,,,,0,0,F,F,F,
10790,d3389f8b,GitHub,d7017e58,data/d7017e58/test/q.go,319:319,False,F,,,F,F,,,,,0,0,F,F,F,
10791,d3389f8b,GitHub,d7017e58,data/d7017e58/test/q.go,92:92,False,F,,,F,F,,,,,0,0,F,F,F,
10792,d3389f8b,GitHub,d7017e58,data/d7017e58/test/q.go,127:127,False,F,,,F,F,,,,,0,0,F,F,F,
10793,d3389f8b,GitHub,d7017e58,data/d7017e58/test/q.go,26:26,False,F,,,F,F,,,,,0,0,F,F,F,
10794,d3389f8b,GitHub,d7017e58,data/d7017e58/test/q.go,62:62,False,F,,,F,F,,,,,0,0,F,F,F,
16528,a3fee8cb,GitHub,d7017e58,data/d7017e58/src/g.go,484:484,False,F,,,F,F,,,,,0,0,F,F,F,
16531,f8dd9757,GitHub,d7017e58,data/d7017e58/src/f.go,319:319,False,F,,,F,F,,,,,0,0,F,F,F,
