Id,FileID,Domain,RepoName,FilePath,LineStart,LineEnd,GroundTruth,ValueStart,ValueEnd,CryptographyKey,PredefinedPattern,Category
198,73970b70,GitHub,de1c0bce,data/de1c0bce/src/73970b70.go,215,215,F,,,,,Password
2020,82e45841,GitHub,de1c0bce,data/de1c0bce/src/82e45841.go,20,20,F,-1,-1,,,Credential
2045,82e45841,GitHub,de1c0bce,data/de1c0bce/src/82e45841.go,19,19,F,,,,,Password
2796,e91d29c6,GitHub,de1c0bce,data/de1c0bce/test/e91d29c6.go,69,69,F,,,,,Password
8271,27026bcc,GitHub,de1c0bce,data/de1c0bce/src/27026bcc.go,51,51,F,,,,,Password
9858,a01d8ec5,GitHub,de1c0bce,data/de1c0bce/test/a01d8ec5.go,185,185,F,-1,-1,,,Key
9859,a01d8ec5,GitHub,de1c0bce,data/de1c0bce/test/a01d8ec5.go,263,263,F,-1,-1,,,Key
9860,a01d8ec5,GitHub,de1c0bce,data/de1c0bce/test/a01d8ec5.go,254,254,F,-1,-1,,,Key
9862,a01d8ec5,GitHub,de1c0bce,data/de1c0bce/test/a01d8ec5.go,198,198,F,-1,-1,,,Key
9891,a01d8ec5,GitHub,de1c0bce,data/de1c0bce/test/a01d8ec5.go,187,187,F,-1,-1,,,Key
9892,a01d8ec5,GitHub,de1c0bce,data/de1c0bce/test/a01d8ec5.go,186,186,F,-1,-1,,,Key
9894,a01d8ec5,GitHub,de1c0bce,data/de1c0bce/test/a01d8ec5.go,88,88,F,-1,-1,,,Key
9895,a01d8ec5,GitHub,de1c0bce,data/de1c0bce/test/a01d8ec5.go,61,61,F,-1,-1,,,Key
9919,a01d8ec5,GitHub,de1c0bce,data/de1c0bce/test/a01d8ec5.go,133,133,F,-1,-1,,,Key
9920,a01d8ec5,GitHub,de1c0bce,data/de1c0bce/test/a01d8ec5.go,77,77,F,-1,-1,,,Key
9923,a01d8ec5,GitHub,de1c0bce,data/de1c0bce/test/a01d8ec5.go,175,175,F,-1,-1,,,Key
9924,a01d8ec5,GitHub,de1c0bce,data/de1c0bce/test/a01d8ec5.go,165,165,F,-1,-1,,,Key
9926,a01d8ec5,GitHub,de1c0bce,data/de1c0bce/test/a01d8ec5.go,164,164,F,-1,-1,,,Key
9927,a01d8ec5,GitHub,de1c0bce,data/de1c0bce/test/a01d8ec5.go,196,196,F,-1,-1,,,Key
9928,a01d8ec5,GitHub,de1c0bce,data/de1c0bce/test/a01d8ec5.go,431,431,F,-1,-1,,,Key
