Repo,File,Scope,Extension,LineStart,LineEnd,Label,ValueStart,ValueEnd,Info,Category
eab0f8ed,05f3a09b,/test/security/,.json,10,10,Template,25,44,,Token
eab0f8ed,05f3a09b,/test/security/,.json,13,13,F,,,,Token
eab0f8ed,05f3a09b,/test/security/,.json,38,38,F,-1,-1,,Other
eab0f8ed,0b5ca119,/docs/readme/,.md,23,23,Template,36,52,,Secret
eab0f8ed,0b5ca119,/docs/readme/,.md,14,14,F,-1,-1,,Other
eab0f8ed,0cf137ab,/sample/setting/client/app/,.json,11,11,F,17,89,,Other
eab0f8ed,0cf137ab,/sample/setting/client/app/,.json,8,8,T,21,61,,Secret
eab0f8ed,0cf137ab,/sample/setting/client/app/,.json,12,12,T,21,45,,Secret
eab0f8ed,0cf137ab,/sample/setting/client/app/,.json,4,4,T,21,36,,Dropbox App secret:Secret
eab0f8ed,0cf137ab,/sample/setting/client/app/,.json,16,16,T,23,63,,Secret
eab0f8ed,0cf137ab,/sample/setting/client/app/,.json,15,15,T,20,41,,Key
eab0f8ed,0cf137ab,/sample/setting/client/app/,.json,3,3,T,17,-1,,Dropbox App secret
eab0f8ed,0cf137ab,/sample/setting/client/app/,.json,11,12,T,17,45,,Google Multi
eab0f8ed,0f179256,/test/security/,.cs,32,32,T,40,-1,,BASE64 Private Key:Secret
eab0f8ed,11b8baa3,/test/security/,.json,14,14,Template,60,79,,Token
eab0f8ed,11b8baa3,/test/security/,.json,22,22,Template,99,118,,Token
eab0f8ed,11b8baa3,/test/security/,.json,10,10,Template,26,46,,Gitlab Feed Token:Token
eab0f8ed,11b8baa3,/test/security/,.json,5,5,Template,87,103,,Secret
eab0f8ed,11b8baa3,/test/security/,.json,8,8,Template,25,44,,Token
eab0f8ed,11b8baa3,/test/security/,.json,5,5,T,157,193,,UUID
eab0f8ed,15cd5bcf,/_/,.ks,9,9,T,51,56,,CMD Password
eab0f8ed,2201bc99,/test/security/,.json,12,12,Template,64,83,,Token
eab0f8ed,2201bc99,/test/security/,.json,8,8,Template,37,56,,Token
eab0f8ed,23c7b5e3,/src/security/,.cs,40,40,F,,,,Auth
eab0f8ed,23c7b5e3,/src/security/,.cs,15,15,F,,,,Auth
eab0f8ed,23c7b5e3,/src/security/,.cs,13,13,F,,,,Auth
eab0f8ed,23c7b5e3,/src/security/,.cs,54,54,F,-1,-1,,Other
eab0f8ed,24da4174,/test/security/,.json,10,10,Template,25,44,,Token
eab0f8ed,24da4174,/test/security/,.json,26,26,T,17,53,,UUID
eab0f8ed,25da81a1,/test/security/,.json,10,10,Template,25,44,,Token
eab0f8ed,25da81a1,/test/security/,.json,83,83,Template,25,44,,Token
eab0f8ed,2632c570,/test/security/app/,.json,30,30,T,21,690,JSON Web Token,JSON Web Token:Token
eab0f8ed,2632c570,/test/security/app/,.json,43,43,T,21,879,JSON Web Token,JSON Web Token:Token
eab0f8ed,2632c570,/test/security/app/,.json,16,16,F,18,360,,Other
eab0f8ed,2632c570,/test/security/app/,.json,67,67,F,18,360,,Other
eab0f8ed,2632c570,/test/security/app/,.json,28,28,Template,25,44,,Token
eab0f8ed,2632c570,/test/security/app/,.json,41,41,Template,25,44,,Token
eab0f8ed,2632c570,/test/security/app/,.json,78,78,Template,25,44,,Token
eab0f8ed,2632c570,/test/security/app/,.json,90,90,Template,25,44,,Token
eab0f8ed,2632c570,/test/security/app/,.json,102,102,Template,25,44,,Token
eab0f8ed,2632c570,/test/security/app/,.json,31,31,F,,,,Token
eab0f8ed,2632c570,/test/security/app/,.json,44,44,F,,,,Token
eab0f8ed,2632c570,/test/security/app/,.json,81,81,F,,,,Token
eab0f8ed,2632c570,/test/security/app/,.json,93,93,F,,,,Token
eab0f8ed,2632c570,/test/security/app/,.json,105,105,F,,,,Token
eab0f8ed,294aacce,/src/security/app/,.cs,84,84,F,,,,Token
eab0f8ed,294aacce,/src/security/app/,.cs,88,88,F,,,,Token
eab0f8ed,294aacce,/src/security/app/,.cs,83,83,F,,,,Token
eab0f8ed,294aacce,/src/security/app/,.cs,123,123,F,,,,Secret
eab0f8ed,294aacce,/src/security/app/,.cs,124,124,F,-1,-1,,Other
eab0f8ed,2bec3240,/test/security/,.json,12,12,Template,26,45,,Token
eab0f8ed,2bec3240,/test/security/,.json,10,10,Template,25,44,,Token
eab0f8ed,31601d9b,/src/security/,.cs,39,39,F,,,,Auth
eab0f8ed,31601d9b,/src/security/,.cs,25,25,F,,,,Auth
eab0f8ed,31601d9b,/src/security/,.cs,75,75,F,,,,Auth
eab0f8ed,31601d9b,/src/security/,.cs,57,57,F,,,,Auth
eab0f8ed,31601d9b,/src/security/,.cs,27,27,F,,,,Auth
eab0f8ed,31601d9b,/src/security/,.cs,41,41,F,,,,Auth
eab0f8ed,31601d9b,/src/security/,.cs,15,15,F,,,,Auth
eab0f8ed,31601d9b,/src/security/,.cs,20,20,F,,,,Auth
eab0f8ed,31601d9b,/src/security/,.cs,21,21,F,,,,Auth
eab0f8ed,31601d9b,/src/security/,.cs,31,31,F,,,,Auth
eab0f8ed,31601d9b,/src/security/,.cs,32,32,F,,,,Auth
eab0f8ed,31601d9b,/src/security/,.cs,45,45,F,,,,Auth
eab0f8ed,31601d9b,/src/security/,.cs,46,46,F,,,,Auth
eab0f8ed,31601d9b,/src/security/,.cs,55,55,F,,,,Auth
eab0f8ed,31601d9b,/src/security/,.cs,61,61,F,,,,Auth
eab0f8ed,31601d9b,/src/security/,.cs,62,62,F,,,,Auth
eab0f8ed,31601d9b,/src/security/,.cs,73,73,F,,,,Auth
eab0f8ed,3169b760,/test/security/,.json,10,10,Template,25,44,,Token
eab0f8ed,3169b760,/test/security/,.json,12,12,F,,,,Token
eab0f8ed,3169b760,/test/security/,.json,18,18,Template,58,77,,Token
eab0f8ed,3169b760,/test/security/,.json,27,27,Template,58,77,,Token
eab0f8ed,31fa3cd2,/test/security/,.json,10,10,Template,25,32,,Token
eab0f8ed,32238bab,/test/security/,.json,10,10,T,25,65,,Token
eab0f8ed,32238bab,/test/security/,.json,14,14,T,26,66,,Token
eab0f8ed,32238bab,/test/security/,.json,41,41,T,25,65,,Token
eab0f8ed,32238bab,/test/security/,.json,45,45,T,26,66,,Token
eab0f8ed,32238bab,/test/security/,.json,30,30,F,,,,Auth
eab0f8ed,32238bab,/test/security/,.json,61,61,F,,,,Auth
eab0f8ed,358425ef,/test/security/,.json,16,16,Template,56,75,,Auth:Token
eab0f8ed,358425ef,/test/security/,.json,9,9,Template,25,44,,Token
eab0f8ed,358425ef,/test/security/,.json,11,11,F,,,,Token
eab0f8ed,3692450e,/test/security/,.json,16,16,T,57,87,,Slack Token:Token
eab0f8ed,3692450e,/test/security/,.json,10,10,T,25,55,,Slack Token:Token
eab0f8ed,36a59f9f,/test/security/,.json,16,16,Template,93,112,,Token
eab0f8ed,36a59f9f,/test/security/,.json,9,9,Template,25,44,,Token
eab0f8ed,36a59f9f,/test/security/,.json,11,11,F,,,,Token
eab0f8ed,37d95b88,/test/security/,.json,9,9,Template,25,44,,Token
eab0f8ed,37d95b88,/test/security/,.json,11,11,F,,,,Token
eab0f8ed,3bd5ba49,/test/security/,.json,9,9,Template,25,44,,Token
eab0f8ed,3bd5ba49,/test/security/,.json,11,11,F,,,,Token
eab0f8ed,3cd298ae,/build/,.yml,377,377,F,-1,-1,,Other
eab0f8ed,3e651133,/test/security/,.json,16,16,Template,58,77,,Token
eab0f8ed,3e651133,/test/security/,.json,10,10,Template,25,44,,Token
eab0f8ed,401e6e8b,/test/security/,.cs,53,53,F,,,,Auth
eab0f8ed,401e6e8b,/test/security/,.cs,57,57,F,,,,Auth
eab0f8ed,401e6e8b,/test/security/,.cs,28,28,F,,,,Auth
eab0f8ed,401e6e8b,/test/security/,.cs,19,19,F,,,,Auth
eab0f8ed,401e6e8b,/test/security/,.cs,21,21,F,,,,Auth
eab0f8ed,46694528,/test/secret/security/client/app/,.cs,51,51,F,,,,Token
eab0f8ed,46694528,/test/secret/security/client/app/,.cs,28,28,F,-1,-1,,Other
eab0f8ed,46694528,/test/secret/security/client/app/,.cs,40,40,F,,,,Secret
eab0f8ed,46694528,/test/secret/security/client/app/,.cs,90,90,F,,,,Secret
eab0f8ed,46694528,/test/secret/security/client/app/,.cs,98,98,F,,,,Secret
eab0f8ed,46694528,/test/secret/security/client/app/,.cs,120,120,F,,,,Secret
eab0f8ed,46694528,/test/secret/security/client/app/,.cs,125,125,F,,,,Secret
eab0f8ed,46694528,/test/secret/security/client/app/,.cs,134,134,F,,,,Secret
eab0f8ed,46694528,/test/secret/security/client/app/,.cs,143,143,F,,,,Secret
eab0f8ed,49c4f1bc,/test/security/,.json,10,10,Template,25,44,,Token
eab0f8ed,4c307603,/src/security/app/,.cs,45,45,F,-1,-1,,Other
eab0f8ed,4c69db35,/src/security/,.cs,28,28,F,,,,Auth
eab0f8ed,4c69db35,/src/security/,.cs,77,77,F,,,,Token
eab0f8ed,4c69db35,/src/security/,.cs,27,27,F,,,,Auth
eab0f8ed,4c69db35,/src/security/,.cs,25,25,F,,,,Auth
eab0f8ed,4c69db35,/src/security/,.cs,152,152,F,,,,Auth
eab0f8ed,4c69db35,/src/security/,.cs,43,43,F,,,,Auth
eab0f8ed,4c69db35,/src/security/,.cs,75,75,F,,,,Auth
eab0f8ed,4cbf38ee,/test/security/,.json,9,9,Template,25,44,,Token
eab0f8ed,4cbf38ee,/test/security/,.json,11,11,F,,,,Token
eab0f8ed,4df830ec,/test/security/,.json,11,11,Template,26,46,,Gitlab Feed Token:Token
eab0f8ed,4df830ec,/test/security/,.json,9,9,Template,25,44,,Token
eab0f8ed,4ecb77b8,/src/security/,.csproj,8,8,F,,,,Auth
eab0f8ed,4fa39a9b,/_/,.ps1,61,61,F,,,,Password
eab0f8ed,4fa39a9b,/_/,.ps1,72,72,F,,,,Secret
eab0f8ed,4fa39a9b,/_/,.ps1,66,66,Template,154,165,,Password
eab0f8ed,4fa39a9b,/_/,.ps1,78,78,F,,,,Secret
eab0f8ed,50cd4bc7,/build/,.yml,29,29,F,,,,Secret
eab0f8ed,52aac773,/test/security/,.json,10,10,T,25,137,,Token:Salesforce Credentials
eab0f8ed,52aac773,/test/security/,.json,26,26,T,28,43,,Salesforce Credentials
eab0f8ed,52aac773,/test/security/,.json,10,10,F,73,-1,,Bitbucket Client Secret
eab0f8ed,52aac773,/test/security/,.json,39,39,T,87,102,,Salesforce Credentials
eab0f8ed,52aac773,/test/security/,.json,40,40,T,85,100,,Salesforce Credentials
eab0f8ed,52aac773,/test/security/,.json,41,41,T,84,99,,Salesforce Credentials
eab0f8ed,53b899f8,/_/,.yml,41,41,F,,,,Token
eab0f8ed,53b899f8,/_/,.yml,160,160,F,,,,Token
eab0f8ed,53b899f8,/_/,.yml,15,15,F,,,,Secret
eab0f8ed,53b899f8,/_/,.yml,113,113,F,,,,Token
eab0f8ed,53b899f8,/_/,.yml,211,211,F,,,,Token
eab0f8ed,53b899f8,/_/,.yml,83,83,F,,,,Secret
eab0f8ed,53b899f8,/_/,.yml,191,191,F,,,,Secret
eab0f8ed,53b899f8,/_/,.yml,14,14,F,20,31,,Key
eab0f8ed,5525a5d0,/test/security/,.json,16,16,Template,66,85,,Token
eab0f8ed,5525a5d0,/test/security/,.json,5,5,Template,90,106,,Secret
eab0f8ed,5525a5d0,/test/security/,.json,8,8,Template,25,44,,Token
eab0f8ed,5525a5d0,/test/security/,.json,10,10,F,,,,Token
eab0f8ed,5525a5d0,/test/security/,.json,5,5,T,112,148,,UUID
eab0f8ed,5881fdfc,/test/security/,.json,10,10,Template,25,44,,Token
eab0f8ed,5881fdfc,/test/security/,.json,12,12,F,,,,Token
eab0f8ed,5b190484,/test/security/,.json,9,9,T,25,65,,Token
eab0f8ed,5b190484,/test/security/,.json,13,13,T,26,66,,Token
eab0f8ed,5b190484,/test/security/,.json,20,20,T,16,52,,UUID
eab0f8ed,5b7e1dc6,/test/security/,.json,16,16,Template,58,77,,Token
eab0f8ed,5b7e1dc6,/test/security/,.json,5,5,Template,91,107,,Secret
eab0f8ed,5b7e1dc6,/test/security/,.json,9,9,Template,25,44,,Token
eab0f8ed,5b7e1dc6,/test/security/,.json,11,11,F,,,,Token
eab0f8ed,5b7e1dc6,/test/security/,.json,5,5,T,113,149,,UUID
eab0f8ed,60c0eadc,/test/security/,.json,10,10,Template,25,44,,Token
eab0f8ed,60c0eadc,/test/security/,.json,59,59,F,-1,-1,,Other
eab0f8ed,6784ef5b,/test/security/,.json,91,91,F,18,189,,Other
eab0f8ed,6784ef5b,/test/security/,.json,12,12,T,21,537,JSON Web Token,JSON Web Token:Token
eab0f8ed,6784ef5b,/test/security/,.json,94,94,F,15,231,,Other
eab0f8ed,6784ef5b,/test/security/,.json,13,13,F,,,,Token
eab0f8ed,6b229a6d,/docs/,.md,23,23,F,-1,-1,,Other
eab0f8ed,6b229a6d,/docs/,.md,22,22,F,,,,Gitlab Feed Token
eab0f8ed,6b229a6d,/docs/,.md,10,10,Template,36,52,,Secret
eab0f8ed,6d2f8d1c,/src/security/,.cs,100,100,F,,,,Token
eab0f8ed,6d2f8d1c,/src/security/,.cs,75,75,F,,,,Secret
eab0f8ed,6d3b5a40,/test/security/app/,.cs,145,145,Template,32,48,,Secret
eab0f8ed,6d3b5a40,/test/security/app/,.cs,131,131,F,,,,Secret
eab0f8ed,6d787dd6,/init/,.sh,5,5,F,,,,API
eab0f8ed,723b1ee5,/docs/,.md,10,10,Template,36,53,,Secret
eab0f8ed,74481cf2,/_/,.sh,441,441,F,-1,-1,,Key
eab0f8ed,744cf374,/_/,.ps1,163,163,F,-1,-1,,Key
eab0f8ed,744cf374,/_/,.ps1,93,93,F,,,,Secret
eab0f8ed,78714029,/_/,.yml,31,31,F,,,,Token
eab0f8ed,78714029,/_/,.yml,74,74,F,,,,Token
eab0f8ed,791ba8fa,/_/,.ps1,79,79,F,,,,Password
eab0f8ed,791ba8fa,/_/,.ps1,37,37,F,-1,-1,,Key
eab0f8ed,791ba8fa,/_/,.ps1,19,19,F,-1,-1,,Password:CMD Password
eab0f8ed,791ba8fa,/_/,.ps1,21,21,F,,,,Token
eab0f8ed,791ba8fa,/_/,.ps1,129,129,F,-1,-1,,Key
eab0f8ed,791ba8fa,/_/,.ps1,83,83,F,,,,Password
eab0f8ed,791ba8fa,/_/,.ps1,135,135,F,-1,-1,,Key
eab0f8ed,791ba8fa,/_/,.ps1,50,50,F,82,91,,CMD Password
eab0f8ed,791ba8fa,/_/,.ps1,93,93,F,93,102,,CMD Password
eab0f8ed,791ba8fa,/_/,.ps1,127,127,F,78,87,,CMD Password
eab0f8ed,791ba8fa,/_/,.ps1,131,131,F,202,211,,CMD Password
eab0f8ed,791ba8fa,/_/,.ps1,132,132,F,222,231,,CMD Password
eab0f8ed,791ba8fa,/_/,.ps1,137,137,F,206,215,,CMD Password
eab0f8ed,791ba8fa,/_/,.ps1,138,138,F,226,235,,CMD Password
eab0f8ed,7a0182e4,/test/security/app/,.p8,1,3,T,,,,PEM Private Key
eab0f8ed,7a078e0b,/test/security/,.json,34,34,F,,,,Password
eab0f8ed,7a078e0b,/test/security/,.json,9,9,Template,25,44,,Token
eab0f8ed,7a078e0b,/test/security/,.json,11,11,F,,,,Token
eab0f8ed,82b5157c,/_/,.yml,49,49,F,,,,Token
eab0f8ed,82b5157c,/_/,.yml,52,52,F,,,,Token
eab0f8ed,843b2171,/src/security/,.cs,12,12,F,,,,Auth
eab0f8ed,843b2171,/src/security/,.cs,10,10,F,,,,Auth
eab0f8ed,843b2171,/src/security/,.cs,24,24,F,,,,Auth
eab0f8ed,8b4423bf,/src/security/,.cs,55,55,F,,,,API
eab0f8ed,913aa667,/test/security/,.cs,31,31,F,48,91,,Other
eab0f8ed,93413ade,/test/security/,.json,15,15,F,,,,Token
eab0f8ed,93413ade,/test/security/,.json,10,10,Template,25,44,,Token
eab0f8ed,93413ade,/test/security/,.json,14,14,F,,,,Token
eab0f8ed,93413ade,/test/security/,.json,23,23,F,16,36,,Gitlab Feed Token
eab0f8ed,9892e3b1,/test/security/,.json,16,16,Template,91,110,,Auth:Token
eab0f8ed,9892e3b1,/test/security/,.json,9,9,Template,25,44,,Token
eab0f8ed,9892e3b1,/test/security/,.json,11,11,F,,,,Token
eab0f8ed,9c595295,/_/,.config,4,4,F,,,,Key
eab0f8ed,9c595295,/_/,.config,8,8,F,,,,Key
eab0f8ed,9c595295,/_/,.config,7,7,F,-1,-1,,Key
eab0f8ed,9c595295,/_/,.config,5,5,F,-1,-1,,Key
eab0f8ed,9c595295,/_/,.config,6,6,F,-1,-1,,Key
eab0f8ed,9e64cf9c,/test/security/,.json,9,9,Template,25,44,,Token
eab0f8ed,9e64cf9c,/test/security/,.json,11,11,F,,,,Token
eab0f8ed,a3fe4195,/_/,.config,4,4,F,-1,-1,,Key
eab0f8ed,a3fe4195,/_/,.config,8,8,F,-1,-1,,Key
eab0f8ed,a97c562c,/docs/,.md,11,11,Template,36,49,,Secret
eab0f8ed,ab1fbc6f,/test/security/,.json,11,11,F,,,,Token
eab0f8ed,ab1fbc6f,/test/security/,.json,10,10,Template,25,44,,Token
eab0f8ed,ab1fbc6f,/test/security/,.json,13,13,F,,,,Token
eab0f8ed,afc0e8f6,/test/security/,.json,16,16,Template,78,97,,Token
eab0f8ed,afc0e8f6,/test/security/,.json,9,9,Template,25,44,,Token
eab0f8ed,afc0e8f6,/test/security/,.json,11,11,F,,,,Token
eab0f8ed,b01a68c7,/test/security/,.json,22,22,T,20,38,,Token
eab0f8ed,b04977e7,/test/security/app/,.cs,20,20,F,-1,-1,,Other
eab0f8ed,b1a20d30,/test/security/,.json,16,16,Template,64,83,,Token
eab0f8ed,b1a20d30,/test/security/,.json,9,9,Template,25,44,,Token
eab0f8ed,b1a20d30,/test/security/,.json,11,11,F,,,,Token
eab0f8ed,b2fab72a,/test/security/,.json,9,9,Template,25,44,,Token
eab0f8ed,b2fab72a,/test/security/,.json,11,11,F,,,,Token
eab0f8ed,b3356305,/readme/,.md,20,20,T,40,80,,Secret
eab0f8ed,b4941f9f,/sample/client/,.cshtml,12,12,F,-1,-1,,Other
eab0f8ed,b4941f9f,/sample/client/,.cshtml,13,13,F,-1,-1,,Other
eab0f8ed,b4941f9f,/sample/client/,.cshtml,14,14,F,-1,-1,,Other
eab0f8ed,b4941f9f,/sample/client/,.cshtml,15,15,F,118,189,,Other
eab0f8ed,b49de61d,/build/,.yml,81,81,F,,,,API
eab0f8ed,b6063e4e,/test/security/,.json,9,9,Template,25,44,,Token
eab0f8ed,b6063e4e,/test/security/,.json,11,11,F,,,,Token
eab0f8ed,b91e8f92,/test/security/,.json,14,14,Template,57,76,,Token
eab0f8ed,b91e8f92,/test/security/,.json,5,5,T,87,103,,Secret
eab0f8ed,b91e8f92,/test/security/,.json,9,9,Template,25,44,,Token
