Repo,File,Scope,Extension,LineStart,LineEnd,Label,ValueStart,ValueEnd,Info,Category
ec869dbc,02229152,/_/,.py,23,23,T,66,71,,Password
ec869dbc,02229152,/_/,.py,29,29,T,27,32,,Password
ec869dbc,02229152,/_/,.py,38,38,F,,,,Password
ec869dbc,0a749636,/_/,.conf,7,7,F,,,,API
ec869dbc,0a749636,/_/,.conf,15,15,Template,9,15,,Password
ec869dbc,0a749636,/_/,.conf,10,10,T,9,21,,Password
ec869dbc,0a749636,/_/,.conf,8,8,F,,,,API
ec869dbc,0be51a9a,/_/,.py,170,170,F,,,,Gitlab Feed Token
ec869dbc,0be51a9a,/_/,.py,76,76,F,,,,Password
ec869dbc,0c64d4fb,/_/,.py,38,38,F,,,,Token
ec869dbc,0c64d4fb,/_/,.py,79,79,F,,,,Password
ec869dbc,0c64d4fb,/_/,.py,91,91,F,,,,Password
ec869dbc,433a76e1,/_/,.py,473,473,F,,,,Password
ec869dbc,433a76e1,/_/,.py,386,386,F,,,,Password
ec869dbc,433a76e1,/_/,.py,389,389,F,47,54,,Password
ec869dbc,433a76e1,/_/,.py,533,533,F,42,49,,Password
ec869dbc,433a76e1,/_/,.py,566,566,F,88,103,,Password
ec869dbc,433a76e1,/_/,.py,605,605,F,42,49,,Password
ec869dbc,433a76e1,/_/,.py,671,671,F,42,49,,Password
ec869dbc,433a76e1,/_/,.py,721,721,F,42,49,,Password
ec869dbc,433a76e1,/_/,.py,188,188,F,,,,Password
ec869dbc,433a76e1,/_/,.py,441,441,F,,,,Password
ec869dbc,433a76e1,/_/,.py,46,46,F,,,,Password
ec869dbc,433a76e1,/_/,.py,84,84,T,63,99,,UUID
ec869dbc,4c4bc3b5,/_/,.py,74,74,F,,,,Password
ec869dbc,4c4bc3b5,/_/,.py,24,24,F,,,,Password
ec869dbc,4c4bc3b5,/_/,.py,72,72,F,,,,Password
ec869dbc,74b8c7f1,/_/,.py,286,286,F,,,,Password
ec869dbc,74b8c7f1,/_/,.py,311,311,F,-1,-1,,Credential
ec869dbc,74b8c7f1,/_/,.py,16,16,F,,,,Password
ec869dbc,8c5f1168,/_/,.py,184,184,Template,49,58,,Password
ec869dbc,8c5f1168,/_/,.py,135,135,F,,,,Auth
ec869dbc,8c5f1168,/_/,.py,182,182,F,,,,Auth
ec869dbc,8c5f1168,/_/,.py,33,33,F,,,,Password
ec869dbc,a8ed9fe1,/_/,.py,39,39,F,35,52,,Password
ec869dbc,b0b6f63d,/_/,.py,109,109,F,,,,Token
ec869dbc,b0b6f63d,/_/,.py,99,99,F,35,51,,Password
ec869dbc,b0b6f63d,/_/,.py,62,62,F,-1,-1,,Credential
ec869dbc,b0b6f63d,/_/,.py,151,151,F,,,,Password
ec869dbc,b4738a3b,/_/,.py,57,57,F,,,,Password
ec869dbc,b4738a3b,/_/,.py,66,66,T,64,100,,UUID
ec869dbc,b8294fc0,/_/,.py,15,15,F,-1,-1,,Key
ec869dbc,b8f355e6,/_/,.py,737,737,F,,,,Dropbox App secret
ec869dbc,b8f355e6,/_/,.py,945,945,F,,,,Secret
ec869dbc,b8f355e6,/_/,.py,986,986,F,-1,-1,,Other
ec869dbc,b8f355e6,/_/,.py,520,520,F,,,,Password
ec869dbc,b8f355e6,/_/,.py,729,729,F,,,,Password
ec869dbc,b8f355e6,/_/,.py,127,127,F,,,,Password
ec869dbc,b8f355e6,/_/,.py,206,206,T,63,99,,UUID
ec869dbc,cb50da89,/_/,.pem,1,28,T,,,,PEM Private Key
ec869dbc,cb50da89,/_/,.pem,29,46,F,,,,PEM Private Key
ec869dbc,d2b0676d,/_/,.py,83,83,T,25,89,,Key
ec869dbc,d2b0676d,/_/,.py,70,70,F,,,,Password
ec869dbc,d2b0676d,/_/,.py,67,67,F,,,,Password
ec869dbc,d2b0676d,/_/,.py,85,85,F,,,,Password
ec869dbc,d2b0676d,/_/,.py,82,82,T,61,97,,UUID
ec869dbc,d2da123c,/_/,.py,103,103,F,,,,Password
ec869dbc,d2da123c,/_/,.py,107,107,F,,,,Password
ec869dbc,ebaee658,/_/,.ps1,4775,4775,F,13,34,,Password
ec869dbc,ebaee658,/_/,.ps1,1263,1263,F,,,,Secret
ec869dbc,ebaee658,/_/,.ps1,1714,1714,F,,,,Secret
ec869dbc,ebaee658,/_/,.ps1,1917,1917,F,,,,Secret
ec869dbc,ebaee658,/_/,.ps1,2432,2432,F,,,,Secret
ec869dbc,ebaee658,/_/,.ps1,4709,4709,F,,,,Secret
ec869dbc,ebaee658,/_/,.ps1,4713,4713,F,,,,Secret
ec869dbc,ebaee658,/_/,.ps1,4977,4977,F,,,,Password
ec869dbc,ebaee658,/_/,.ps1,1418,1418,T,70,106,,UUID
ec869dbc,ebaee658,/_/,.ps1,2806,2806,T,97,133,,UUID
ec869dbc,ebaee658,/_/,.ps1,3029,3029,T,25,61,,UUID
ec869dbc,ebaee658,/_/,.ps1,5358,5358,T,97,133,,UUID
ec869dbc,ebaee658,/_/,.ps1,5359,5359,T,101,137,,UUID
ec869dbc,ebaee658,/_/,.ps1,5364,5364,T,64,100,,UUID
ec869dbc,ebaee658,/_/,.ps1,5365,5365,T,64,100,,UUID
ec869dbc,ebaee658,/_/,.ps1,5366,5366,T,64,100,,UUID
ec869dbc,ebaee658,/_/,.ps1,5385,5385,T,45,81,,UUID
ec869dbc,ebaee658,/_/,.ps1,5386,5386,T,45,81,,UUID
ec869dbc,ebaee658,/_/,.ps1,5387,5387,T,45,81,,UUID
ec869dbc,ebaee658,/_/,.ps1,5357,5357,T,92,128,,UUID
