Repo,File,Scope,Extension,LineStart,LineEnd,Label,ValueStart,ValueEnd,Info,Category
efb4b495,0504ff69,/conf/docker/,,4,4,Template,73,81,,Password
efb4b495,08819735,/server/,.go,66,66,F,,,,SQL Password
efb4b495,10a61d8f,/init/server/,.sql,27,27,F,,,,Password
efb4b495,10a61d8f,/init/server/,.sql,7,7,F,18,22,,CMD Password
efb4b495,122ce39f,/conf/,,1,1,T,19,27,,URL Credentials
efb4b495,16a3d9bf,/conf/,,1,1,T,20,28,,URL Credentials
efb4b495,18e746a5,/_/,.go,34,34,F,,,,SQL Password
efb4b495,1b918642,/conf/,,1,1,T,20,26,,URL Credentials
efb4b495,1fe8e22a,/conf/server/,,1,1,T,19,25,,URL Credentials
efb4b495,21968930,/test/,.sql,19,19,F,-1,-1,,Key
efb4b495,21968930,/test/,.sql,165,165,F,-1,-1,,Key
efb4b495,21968930,/test/,.sql,191,191,F,-1,-1,,Key
efb4b495,21968930,/test/,.sql,550,550,T,38,52,,Password:SQL Password
efb4b495,21968930,/test/,.sql,549,549,T,39,50,,Password:SQL Password
efb4b495,21968930,/test/,.sql,548,548,T,56,66,,Password:SQL Password
efb4b495,21968930,/test/,.sql,8,8,T,67,103,,UUID
efb4b495,21968930,/test/,.sql,9,9,T,67,103,,UUID
efb4b495,21968930,/test/,.sql,10,10,T,67,103,,UUID
efb4b495,21968930,/test/,.sql,11,11,T,67,103,,UUID
efb4b495,21968930,/test/,.sql,12,12,T,67,103,,UUID
efb4b495,21968930,/test/,.sql,13,13,T,67,103,,UUID
efb4b495,21968930,/test/,.sql,15,15,T,64,100,,UUID
efb4b495,21968930,/test/,.sql,21,21,T,88,124,,UUID
efb4b495,21968930,/test/,.sql,22,22,T,98,134,,UUID
efb4b495,21968930,/test/,.sql,23,23,T,95,131,,UUID
efb4b495,21968930,/test/,.sql,24,24,T,89,125,,UUID
efb4b495,21968930,/test/,.sql,25,25,T,88,124,,UUID
efb4b495,21968930,/test/,.sql,26,26,T,98,134,,UUID
efb4b495,21968930,/test/,.sql,27,27,T,90,126,,UUID
efb4b495,21968930,/test/,.sql,28,28,T,93,129,,UUID
efb4b495,21968930,/test/,.sql,56,56,T,95,131,,UUID
efb4b495,21968930,/test/,.sql,57,57,T,90,126,,UUID
efb4b495,21968930,/test/,.sql,58,58,T,91,127,,UUID
efb4b495,21968930,/test/,.sql,79,79,T,69,105,,UUID
efb4b495,21968930,/test/,.sql,80,80,T,69,105,,UUID
efb4b495,21968930,/test/,.sql,81,81,T,69,105,,UUID
efb4b495,21968930,/test/,.sql,82,82,T,69,105,,UUID
efb4b495,21968930,/test/,.sql,84,84,T,66,102,,UUID
efb4b495,21968930,/test/,.sql,126,126,T,75,111,,UUID
efb4b495,21968930,/test/,.sql,128,128,T,75,111,,UUID
efb4b495,21968930,/test/,.sql,131,131,T,61,97,,UUID
efb4b495,21968930,/test/,.sql,138,138,T,75,111,,UUID
efb4b495,21968930,/test/,.sql,139,139,T,75,111,,UUID
efb4b495,21968930,/test/,.sql,140,140,T,75,111,,UUID
efb4b495,21968930,/test/,.sql,142,142,T,70,106,,UUID
efb4b495,21968930,/test/,.sql,150,150,T,65,101,,UUID
efb4b495,21968930,/test/,.sql,151,151,T,65,101,,UUID
efb4b495,21968930,/test/,.sql,152,152,T,65,101,,UUID
efb4b495,21968930,/test/,.sql,154,154,T,47,83,,UUID
efb4b495,21968930,/test/,.sql,161,161,T,75,111,,UUID
efb4b495,21968930,/test/,.sql,168,168,T,94,130,,UUID
efb4b495,21968930,/test/,.sql,169,169,T,94,130,,UUID
efb4b495,21968930,/test/,.sql,170,170,T,94,130,,UUID
efb4b495,21968930,/test/,.sql,171,171,T,94,130,,UUID
efb4b495,21968930,/test/,.sql,172,172,T,61,97,,UUID
efb4b495,21968930,/test/,.sql,181,181,T,94,130,,UUID
efb4b495,21968930,/test/,.sql,182,182,T,94,130,,UUID
efb4b495,21968930,/test/,.sql,183,183,T,94,130,,UUID
efb4b495,21968930,/test/,.sql,184,184,T,94,130,,UUID
efb4b495,21968930,/test/,.sql,258,258,T,88,124,,UUID
efb4b495,21968930,/test/,.sql,260,260,T,92,128,,UUID
efb4b495,21968930,/test/,.sql,266,266,T,94,130,,UUID
efb4b495,21968930,/test/,.sql,277,277,T,99,135,,UUID
efb4b495,21968930,/test/,.sql,278,278,T,51,87,,UUID
efb4b495,21968930,/test/,.sql,279,279,T,85,121,,UUID
efb4b495,21968930,/test/,.sql,325,325,T,63,99,,UUID
efb4b495,21968930,/test/,.sql,343,343,T,69,105,,UUID
efb4b495,21968930,/test/,.sql,344,344,T,94,130,,UUID
efb4b495,21968930,/test/,.sql,353,353,T,68,104,,UUID
efb4b495,21968930,/test/,.sql,354,354,T,68,104,,UUID
efb4b495,21968930,/test/,.sql,355,355,T,68,104,,UUID
efb4b495,21968930,/test/,.sql,356,356,T,68,104,,UUID
efb4b495,21968930,/test/,.sql,389,389,T,67,103,,UUID
efb4b495,21968930,/test/,.sql,392,392,T,64,100,,UUID
efb4b495,21968930,/test/,.sql,399,399,T,100,136,,UUID
efb4b495,21968930,/test/,.sql,400,400,T,100,136,,UUID
efb4b495,21968930,/test/,.sql,401,401,T,100,136,,UUID
efb4b495,21968930,/test/,.sql,402,402,T,100,136,,UUID
efb4b495,21968930,/test/,.sql,403,403,T,100,136,,UUID
efb4b495,21968930,/test/,.sql,404,404,T,100,136,,UUID
efb4b495,21968930,/test/,.sql,405,405,T,100,136,,UUID
efb4b495,21968930,/test/,.sql,406,406,T,100,136,,UUID
efb4b495,21968930,/test/,.sql,407,407,T,100,136,,UUID
efb4b495,21968930,/test/,.sql,408,408,T,100,136,,UUID
efb4b495,21968930,/test/,.sql,451,451,T,53,89,,UUID
efb4b495,21968930,/test/,.sql,452,452,T,64,100,,UUID
efb4b495,21968930,/test/,.sql,458,458,T,55,91,,UUID
efb4b495,21968930,/test/,.sql,459,459,T,87,123,,UUID
efb4b495,21968930,/test/,.sql,524,524,T,72,108,,UUID
efb4b495,21968930,/test/,.sql,526,526,T,74,110,,UUID
efb4b495,21968930,/test/,.sql,528,528,T,73,109,,UUID
efb4b495,21968930,/test/,.sql,533,533,T,66,102,,UUID
efb4b495,21968930,/test/,.sql,569,569,T,71,107,,UUID
efb4b495,21968930,/test/,.sql,570,570,T,71,107,,UUID
efb4b495,21968930,/test/,.sql,571,571,T,71,107,,UUID
efb4b495,21968930,/test/,.sql,572,572,T,71,107,,UUID
efb4b495,21968930,/test/,.sql,573,573,T,71,107,,UUID
efb4b495,21968930,/test/,.sql,574,574,T,71,107,,UUID
efb4b495,21968930,/test/,.sql,575,575,T,71,107,,UUID
efb4b495,21968930,/test/,.sql,576,576,T,71,107,,UUID
efb4b495,21968930,/test/,.sql,577,577,T,71,107,,UUID
efb4b495,21968930,/test/,.sql,543,543,T,47,56,,SQL Password
efb4b495,21968930,/test/,.sql,544,544,T,33,43,,SQL Password
efb4b495,2334ad55,/conf/,,1,1,T,22,30,,URL Credentials
efb4b495,26fce941,/test/,.sql,1,1,T,29,37,,URL Credentials
efb4b495,276d5d37,/_/,.go,53,53,F,,,,Password
efb4b495,2aeeeb36,/conf/,,1,1,T,20,28,,URL Credentials
efb4b495,3295df72,/_/,.sum,1748,1748,F,,,,Token
efb4b495,3295df72,/_/,.sum,1747,1747,F,,,,Token
efb4b495,3295df72,/_/,.sum,304,304,F,-1,-1,,Other
efb4b495,3295df72,/_/,.sum,566,566,F,,,,Auth
efb4b495,3295df72,/_/,.sum,567,567,F,,,,Auth
efb4b495,3295df72,/_/,.sum,631,631,F,,,,Password
efb4b495,3295df72,/_/,.sum,839,839,F,-1,-1,,Other
efb4b495,3295df72,/_/,.sum,840,840,F,-1,-1,,Other
efb4b495,3295df72,/_/,.sum,1078,1078,F,,,,Auth
efb4b495,3295df72,/_/,.sum,1269,1269,F,,,,Auth
efb4b495,3295df72,/_/,.sum,1270,1270,F,,,,Auth
efb4b495,3295df72,/_/,.sum,1271,1271,F,,,,Auth
efb4b495,3295df72,/_/,.sum,1272,1272,F,,,,Auth
efb4b495,3295df72,/_/,.sum,1273,1273,F,,,,Auth
efb4b495,3295df72,/_/,.sum,1274,1274,F,,,,Auth
efb4b495,3295df72,/_/,.sum,1275,1275,F,,,,Auth
efb4b495,3295df72,/_/,.sum,1276,1276,F,,,,Auth
efb4b495,3295df72,/_/,.sum,1277,1277,F,,,,Auth
efb4b495,3295df72,/_/,.sum,1278,1278,F,,,,Auth
efb4b495,3295df72,/_/,.sum,1279,1279,F,,,,Auth
efb4b495,3295df72,/_/,.sum,1280,1280,F,,,,Auth
efb4b495,3295df72,/_/,.sum,1281,1281,F,,,,Auth
efb4b495,3295df72,/_/,.sum,1282,1282,F,,,,Auth
efb4b495,3295df72,/_/,.sum,1283,1283,F,,,,Auth
