Id,FileID,Domain,RepoName,FilePath,LineStart,LineEnd,GroundTruth,ValueStart,ValueEnd,CryptographyKey,PredefinedPattern,Category
111,e1eebabe,GitHub,f008dd40,data/f008dd40/internal/e1eebabe.go,192,192,F,,,,,Password
668,1c1c5fd0,GitHub,f008dd40,data/f008dd40/src/1c1c5fd0.ts,4,4,F,,,,,Password
686,1c1c5fd0,GitHub,f008dd40,data/f008dd40/src/1c1c5fd0.ts,8,8,F,,,,,Password
825,0bbc7302,GitHub,f008dd40,data/f008dd40/api/0bbc7302.yml,756,756,T,19,204,,,JSON Web Token
925,57c75806,GitHub,f008dd40,data/f008dd40/internal/conf/57c75806.go,10,10,F,,,,,Secret
941,99d92ad9,GitHub,f008dd40,data/f008dd40/internal/server/99d92ad9.go,5,5,F,,,,,API
958,a2036e31,GitHub,f008dd40,data/f008dd40/internal/a2036e31.go,10,10,F,,,,,Password
989,690181bf,GitHub,f008dd40,data/f008dd40/src/690181bf.ts,11,11,F,,,,,Token
1091,faf46f12,GitHub,f008dd40,data/f008dd40/src/faf46f12.tsx,46,46,F,,,,,Secret
1100,dbede591,GitHub,f008dd40,data/f008dd40/src/dbede591.ts,29,29,F,,,,,Key
1111,a2036e31,GitHub,f008dd40,data/f008dd40/internal/a2036e31.go,45,45,F,,,,,Password
1275,a09d0f8e,GitHub,f008dd40,data/f008dd40/internal/example/client/a09d0f8e.js,10,10,F,,,,,Auth
1380,cfd22398,GitHub,f008dd40,data/f008dd40/test/internal/conf/cfd22398.go,15,15,F,,,,,Secret
1387,c592e77b,GitHub,f008dd40,data/f008dd40/test/internal/c592e77b.go,175,175,F,,,,,Password
1392,94468625,GitHub,f008dd40,data/f008dd40/test/internal/conf/94468625.go,19,19,F,,,,,Secret
1748,a2036e31,GitHub,f008dd40,data/f008dd40/internal/a2036e31.go,42,42,F,,,,,Password
1749,a2036e31,GitHub,f008dd40,data/f008dd40/internal/a2036e31.go,40,40,F,,,,,Password
1750,1abcfe50,GitHub,f008dd40,data/f008dd40/internal/1abcfe50.go,14,14,F,,,,,Secret
2491,a8d39581,GitHub,f008dd40,data/f008dd40/internal/a8d39581.go,47,47,F,,,,,Key
2537,7c7c8c0b,GitHub,f008dd40,data/f008dd40/internal/conf/7c7c8c0b.yml,43,43,F,,,,,Key
2538,153e311c,GitHub,f008dd40,data/f008dd40/test/internal/conf/resource/153e311c.yml,14,14,F,,,,,Key
2704,7589b10d,GitHub,f008dd40,data/f008dd40/internal/7589b10d.go,17,17,F,,,,,Password
2802,f7765fb0,GitHub,f008dd40,data/f008dd40/internal/conf/f7765fb0.go,45,45,F,,,,,Password
3207,7a050b2b,GitHub,f008dd40,data/f008dd40/internal/conf/7a050b2b.go,59,59,F,,,,,Secret
3208,0945e78c,GitHub,f008dd40,data/f008dd40/internal/conf/secret/0945e78c.go,19,19,F,,,,,Secret
4360,d347d839,GitHub,f008dd40,data/f008dd40/docker/d347d839.go,62,62,F,,,,,Password
4409,03384a51,GitHub,f008dd40,data/f008dd40/test/internal/03384a51.go,374,374,F,,,,,Token
5764,26b86f57,GitHub,f008dd40,data/f008dd40/test/internal/26b86f57.go,49,49,F,,,,,Password
5883,0903b235,GitHub,f008dd40,data/f008dd40/conf/secret/docs/0903b235.md,213,213,F,,,,,API
7508,1abcfe50,GitHub,f008dd40,data/f008dd40/internal/1abcfe50.go,25,25,F,,,,,Secret
7561,690181bf,GitHub,f008dd40,data/f008dd40/src/690181bf.ts,6,6,F,,,,,Token
8560,68f31c9a,GitHub,f008dd40,data/f008dd40/conf/docs/68f31c9a.md,33,33,F,,,,,Password
8888,0903b235,GitHub,f008dd40,data/f008dd40/conf/secret/docs/0903b235.md,294,294,F,,,,,Secret
8981,006b950d,GitHub,f008dd40,data/f008dd40/test/internal/conf/006b950d.go,218,218,F,,,,,Password
9013,006b950d,GitHub,f008dd40,data/f008dd40/test/internal/conf/006b950d.go,113,113,F,,,,,Password
9100,57c75806,GitHub,f008dd40,data/f008dd40/internal/conf/57c75806.go,37,37,F,,,,,Secret
9102,57c75806,GitHub,f008dd40,data/f008dd40/internal/conf/57c75806.go,39,39,X,22,30,,,Password
9130,006b950d,GitHub,f008dd40,data/f008dd40/test/internal/conf/006b950d.go,150,150,F,48,53,,,Password
9869,faf46f12,GitHub,f008dd40,data/f008dd40/src/faf46f12.tsx,97,97,F,,,,,Secret
10482,dbc7c85c,GitHub,f008dd40,data/f008dd40/test/internal/conf/resource/dbc7c85c.yml,45,45,F,,,,,Auth
10690,7589b10d,GitHub,f008dd40,data/f008dd40/internal/7589b10d.go,48,48,F,,,,,Password
11191,de8cdc7f,GitHub,f008dd40,data/f008dd40/internal/de8cdc7f.go,37,37,F,,,,,Password
11192,de8cdc7f,GitHub,f008dd40,data/f008dd40/internal/de8cdc7f.go,59,59,F,,,,,Password
11201,c1278aed,GitHub,f008dd40,data/f008dd40/internal/conf/c1278aed.go,47,47,F,,,,,Password
11854,0bbc7302,GitHub,f008dd40,data/f008dd40/api/0bbc7302.yml,2,2,F,,,,,API
11923,c0e7e3b6,GitHub,f008dd40,data/f008dd40/internal/example/kube/c0e7e3b6.rules,6,6,F,,,,,Password
11924,c0e7e3b6,GitHub,f008dd40,data/f008dd40/internal/example/kube/c0e7e3b6.rules,7,7,F,,,,,Password
11974,b7caaa3d,GitHub,f008dd40,data/f008dd40/test/internal/b7caaa3d.go,55,55,F,,,,,Secret
12300,c8cd7002,GitHub,f008dd40,data/f008dd40/build/c8cd7002.sh,50,50,F,,,,,Key
12320,08b99f12,GitHub,f008dd40,data/f008dd40/build/08b99f12.sh,28,28,F,,,,,Key
12955,c61d7610,GitHub,f008dd40,data/f008dd40/build/c61d7610.sh,42,42,F,,,,,Key
13644,4645f756,GitHub,f008dd40,data/f008dd40/src/4645f756.ts,40,40,F,,,,,Token
13645,4645f756,GitHub,f008dd40,data/f008dd40/src/4645f756.ts,22,22,F,,,,,Token
13809,d347d839,GitHub,f008dd40,data/f008dd40/docker/d347d839.go,57,57,F,,,,,Password
13818,4026905e,GitHub,f008dd40,data/f008dd40/src/4026905e.tsx,136,136,F,,,,,Password
13819,4e64d3e5,GitHub,f008dd40,data/f008dd40/src/4e64d3e5.tsx,18,18,F,,,,,Password
14102,5a9c3f2c,GitHub,f008dd40,data/f008dd40/src/5a9c3f2c.ts,7,7,F,,,,,Password
14251,bad29981,GitHub,f008dd40,data/f008dd40/conf/docs/bad29981.md,177,177,T,14,29,,,Dropbox App secret:Password
14285,6a9d8abc,GitHub,f008dd40,data/f008dd40/internal/6a9d8abc.go,37,37,F,,,,,Password
14493,a40d8da9,GitHub,f008dd40,data/f008dd40/test/internal/a40d8da9.go,300,300,F,,,,,Password
14495,6e415fc6,GitHub,f008dd40,data/f008dd40/test/internal/6e415fc6.go,14,14,T,14,25,,,Password
14550,900c6b9b,GitHub,f008dd40,data/f008dd40/internal/util/900c6b9b.go,21,21,F,,,,,Key
15276,57c75806,GitHub,f008dd40,data/f008dd40/internal/conf/57c75806.go,61,61,F,,,,,Password
16008,57c75806,GitHub,f008dd40,data/f008dd40/internal/conf/57c75806.go,57,57,F,,,,,Secret
16179,57c75806,GitHub,f008dd40,data/f008dd40/internal/conf/57c75806.go,62,62,X,35,57,,,Password
16565,57c75806,GitHub,f008dd40,data/f008dd40/internal/conf/57c75806.go,63,63,F,,,,,Password
16579,57c75806,GitHub,f008dd40,data/f008dd40/internal/conf/57c75806.go,65,65,F,,,,,Secret
16581,57c75806,GitHub,f008dd40,data/f008dd40/internal/conf/57c75806.go,66,66,F,,,,,Key
16734,57c75806,GitHub,f008dd40,data/f008dd40/internal/conf/57c75806.go,64,64,F,,,,,Password
16803,57c75806,GitHub,f008dd40,data/f008dd40/internal/conf/57c75806.go,60,60,F,,,,,Password
16830,57c75806,GitHub,f008dd40,data/f008dd40/internal/conf/57c75806.go,59,59,F,,,,,Password
18451,0903b235,GitHub,f008dd40,data/f008dd40/conf/secret/docs/0903b235.md,198,198,T,21,34,,,Password
18453,0903b235,GitHub,f008dd40,data/f008dd40/conf/secret/docs/0903b235.md,201,201,T,22,36,,,Password
18455,43f75399,GitHub,f008dd40,data/f008dd40/internal/example/kube/43f75399.yml,11,11,F,,,,,Secret
18457,0903b235,GitHub,f008dd40,data/f008dd40/conf/secret/docs/0903b235.md,197,197,T,23,38,,,Dropbox App secret:Password
18673,57c75806,GitHub,f008dd40,data/f008dd40/internal/conf/57c75806.go,58,58,F,,,,,Secret
18750,d485c46a,GitHub,f008dd40,data/f008dd40/example/docker/docs/d485c46a.md,85,85,F,,,,,API
18751,1c846536,GitHub,f008dd40,data/f008dd40/example/docker/1c846536.yml,61,61,F,,,,,API
18757,57c75806,GitHub,f008dd40,data/f008dd40/internal/conf/57c75806.go,56,56,F,,,,,Secret
18808,0903b235,GitHub,f008dd40,data/f008dd40/conf/secret/docs/0903b235.md,199,199,T,22,36,,,Password
18814,0903b235,GitHub,f008dd40,data/f008dd40/conf/secret/docs/0903b235.md,300,300,F,,,,,Key
18816,c1d1b2dd,GitHub,f008dd40,data/f008dd40/internal/example/kube/c1d1b2dd.yml,66,66,F,,,,,Key
18820,0903b235,GitHub,f008dd40,data/f008dd40/conf/secret/docs/0903b235.md,296,296,F,,,,,Key
