Id,FileID,Domain,RepoName,FilePath,LineStart:LineEnd,GroundTruth,WithWords,ValueStart,ValueEnd,InURL,InRuntimeParameter,CharacterSet,CryptographyKey,PredefinedPattern,VariableNameType,Entropy,Length,Base64Encode,HexEncode,URLEncode,Category
1060,0a7abe6b,GitHub,f85f83c9,data/f85f83c9/src/0a7abe6b.js,6:6,F,F,,,F,F,,,,,0,0,F,F,F,Password
13758,0a7abe6b,GitHub,f85f83c9,data/f85f83c9/src/0a7abe6b.js,39:39,F,F,,,F,F,,,,,0,0,F,F,F,Generic Secret
13759,9295e42f,GitHub,f85f83c9,data/f85f83c9/src/9295e42f.js,48:48,F,F,,,F,F,,,,,0,0,F,F,F,Generic Secret
14137,b3356305,GitHub,f85f83c9,data/f85f83c9/other/b3356305.md,35:35,F,F,,,F,F,,,,,0,0,F,F,F,Password
27827,8033b47e,GitHub,f85f83c9,data/f85f83c9/src/8033b47e.sql,724:724,F,F,,,F,F,,,,,0,0,F,F,F,Generic Secret
27830,8033b47e,GitHub,f85f83c9,data/f85f83c9/src/8033b47e.sql,727:727,F,F,13,29,F,F,,,,,0,0,F,F,F,Generic Secret
27833,8033b47e,GitHub,f85f83c9,data/f85f83c9/src/8033b47e.sql,730:730,F,F,13,29,F,F,,,,,0,0,F,F,F,Generic Secret
27838,8033b47e,GitHub,f85f83c9,data/f85f83c9/src/8033b47e.sql,739:739,F,F,13,29,F,F,,,,,0,0,F,F,F,Generic Secret
27847,8033b47e,GitHub,f85f83c9,data/f85f83c9/src/8033b47e.sql,803:803,F,F,13,29,F,F,,,,,0,0,F,F,F,Generic Secret
27860,8033b47e,GitHub,f85f83c9,data/f85f83c9/src/8033b47e.sql,798:798,F,F,13,29,F,F,,,,,0,0,F,F,F,Generic Secret
27876,8033b47e,GitHub,f85f83c9,data/f85f83c9/src/8033b47e.sql,792:792,F,F,13,29,F,F,,,,,0,0,F,F,F,Generic Secret
27892,8033b47e,GitHub,f85f83c9,data/f85f83c9/src/8033b47e.sql,648:648,F,F,,,F,F,,,,,0,0,F,F,F,Generic Secret
27923,8033b47e,GitHub,f85f83c9,data/f85f83c9/src/8033b47e.sql,699:699,F,F,13,29,F,F,,,,,0,0,F,F,F,Generic Secret
27928,8033b47e,GitHub,f85f83c9,data/f85f83c9/src/8033b47e.sql,704:704,F,F,,,F,F,,,,,0,0,F,F,F,Password
28300,8033b47e,GitHub,f85f83c9,data/f85f83c9/src/8033b47e.sql,1153:1153,F,F,13,29,F,F,,,,,0,0,F,F,F,Generic Secret
28301,8033b47e,GitHub,f85f83c9,data/f85f83c9/src/8033b47e.sql,1154:1154,F,F,13,29,F,F,,,,,0,0,F,F,F,Generic Secret
28330,8033b47e,GitHub,f85f83c9,data/f85f83c9/src/8033b47e.sql,555:555,F,F,13,29,F,F,,,,,0,0,F,F,F,Generic Secret
28342,8033b47e,GitHub,f85f83c9,data/f85f83c9/src/8033b47e.sql,1266:1266,F,F,13,29,F,F,,,,,0,0,F,F,F,Generic Secret
28357,8033b47e,GitHub,f85f83c9,data/f85f83c9/src/8033b47e.sql,1205:1205,F,F,,,F,F,,,,,0,0,F,F,F,Generic Secret
28378,8033b47e,GitHub,f85f83c9,data/f85f83c9/src/8033b47e.sql,1058:1058,F,F,13,29,F,F,,,,,0,0,F,F,F,Generic Secret
28396,8033b47e,GitHub,f85f83c9,data/f85f83c9/src/8033b47e.sql,1076:1076,F,F,13,29,F,F,,,,,0,0,F,F,F,Predefined Pattern
28400,8033b47e,GitHub,f85f83c9,data/f85f83c9/src/8033b47e.sql,1052:1052,F,F,13,29,F,F,,,,,0,0,F,F,F,Generic Secret
28414,8033b47e,GitHub,f85f83c9,data/f85f83c9/src/8033b47e.sql,1042:1042,F,F,,,F,F,,,,,0,0,F,F,F,Generic Secret
28423,8033b47e,GitHub,f85f83c9,data/f85f83c9/src/8033b47e.sql,1038:1038,F,F,13,29,F,F,,,,,0,0,F,F,F,Generic Secret
28443,8033b47e,GitHub,f85f83c9,data/f85f83c9/src/8033b47e.sql,1152:1152,F,F,13,29,F,F,,,,,0,0,F,F,F,Generic Secret
28461,8033b47e,GitHub,f85f83c9,data/f85f83c9/src/8033b47e.sql,603:603,F,F,13,29,F,F,,,,,0,0,F,F,F,Generic Secret
28464,8033b47e,GitHub,f85f83c9,data/f85f83c9/src/8033b47e.sql,1104:1104,F,F,13,29,F,F,,,,,0,0,F,F,F,Generic Secret
28477,8033b47e,GitHub,f85f83c9,data/f85f83c9/src/8033b47e.sql,1273:1273,F,F,13,29,F,F,,,,,0,0,F,F,F,Generic Secret
28483,8033b47e,GitHub,f85f83c9,data/f85f83c9/src/8033b47e.sql,1547:1547,F,F,13,29,F,F,,,,,0,0,F,F,F,Generic Secret
28504,8033b47e,GitHub,f85f83c9,data/f85f83c9/src/8033b47e.sql,1522:1522,F,F,13,29,F,F,,,,,0,0,F,F,F,Generic Secret
28512,8033b47e,GitHub,f85f83c9,data/f85f83c9/src/8033b47e.sql,1496:1496,F,F,13,29,F,F,,,,,0,0,F,F,F,Generic Secret
28517,8033b47e,GitHub,f85f83c9,data/f85f83c9/src/8033b47e.sql,1499:1499,F,F,13,29,F,F,,,,,0,0,F,F,F,Generic Secret
28522,8033b47e,GitHub,f85f83c9,data/f85f83c9/src/8033b47e.sql,1504:1504,F,F,13,29,F,F,,,,,0,0,F,F,F,Generic Secret
28581,8033b47e,GitHub,f85f83c9,data/f85f83c9/src/8033b47e.sql,1483:1483,F,F,13,29,F,F,,,,,0,0,F,F,F,Generic Secret
28625,8033b47e,GitHub,f85f83c9,data/f85f83c9/src/8033b47e.sql,1301:1301,F,F,13,29,F,F,,,,,0,0,F,F,F,Generic Secret
28649,8033b47e,GitHub,f85f83c9,data/f85f83c9/src/8033b47e.sql,1468:1468,F,F,13,29,F,F,,,,,0,0,F,F,F,Generic Secret
28683,8033b47e,GitHub,f85f83c9,data/f85f83c9/src/8033b47e.sql,1429:1429,F,F,13,29,F,F,,,,,0,0,F,F,F,Generic Secret
