Id,FileID,Domain,RepoName,FilePath,LineStart,LineEnd,GroundTruth,ValueStart,ValueEnd,CryptographyKey,PredefinedPattern,Category
2602,1cd33e77,GitHub,fa71ac83,data/fa71ac83/src/1cd33e77.js,6,6,F,,,,,Secret
2698,98dab0bb,GitHub,fa71ac83,data/fa71ac83/src/98dab0bb.js,7886,7886,F,-1,-1,,,Other
4035,98dab0bb,GitHub,fa71ac83,data/fa71ac83/src/98dab0bb.js,225,225,F,,,,,Gitlab Feed Token
4150,98dab0bb,GitHub,fa71ac83,data/fa71ac83/src/98dab0bb.js,1084,1084,F,,,,,API
4176,98dab0bb,GitHub,fa71ac83,data/fa71ac83/src/98dab0bb.js,70,70,F,,,,,API
4894,d138b02e,GitHub,fa71ac83,data/fa71ac83/src/d138b02e.js,95,95,F,-1,-1,,,Key
6858,116fac3d,GitHub,fa71ac83,data/fa71ac83/src/116fac3d.js,4335,4335,F,,,,,Token
7557,782628b4,GitHub,fa71ac83,data/fa71ac83/src/782628b4.js,43,43,F,,,,,Token
7883,116fac3d,GitHub,fa71ac83,data/fa71ac83/src/116fac3d.js,6110,6110,F,,,,,Token
7993,0092c332,GitHub,fa71ac83,data/fa71ac83/src/0092c332.js,220,220,F,-1,-1,,,Key
8000,782628b4,GitHub,fa71ac83,data/fa71ac83/src/782628b4.js,158,158,F,,,,,Password
8001,d138b02e,GitHub,fa71ac83,data/fa71ac83/src/d138b02e.js,102,102,F,,,,,Password
8002,0092c332,GitHub,fa71ac83,data/fa71ac83/src/0092c332.js,277,277,F,,,,,Password
8863,927991a3,GitHub,fa71ac83,data/fa71ac83/src/927991a3.js,841,841,F,-1,-1,,,Key
9359,98dab0bb,GitHub,fa71ac83,data/fa71ac83/src/98dab0bb.js,5813,5813,F,,,,,Token
9999,7142121f,GitHub,fa71ac83,data/fa71ac83/src/7142121f.js,1328,1328,F,-1,-1,,,Key
10684,5222ac44,GitHub,fa71ac83,data/fa71ac83/test/5222ac44.js,127,127,Template,27,41,,,Password
10710,5222ac44,GitHub,fa71ac83,data/fa71ac83/test/5222ac44.js,113,113,Template,19,23,,,Password
10862,116fac3d,GitHub,fa71ac83,data/fa71ac83/src/116fac3d.js,4346,4346,F,,,,,Token
10917,9aa3c9b2,GitHub,fa71ac83,data/fa71ac83/src/9aa3c9b2.js,79,79,F,-1,-1,,,Key
