Repo,File,Scope,Extension,LineStart,LineEnd,Label,ValueStart,ValueEnd,Info,Category
ffea718f,10a4ff6a,/example/,.cs,81,81,T,30,38,,Password
ffea718f,10a4ff6a,/example/,.cs,47,47,T,60,71,,Password
ffea718f,10a4ff6a,/example/,.cs,335,335,F,-1,-1,,Other
ffea718f,35963191,/example/,.resx,120,120,F,146,162,,Key:Token
ffea718f,35963191,/example/,.resx,123,123,F,120,136,,Key:Token
ffea718f,37ebd5d0,/src/,.cs,53,53,Template,23,28,,Password
ffea718f,37ebd5d0,/src/,.cs,197,197,F,,,,Password
ffea718f,37ebd5d0,/src/,.cs,41,41,F,,,,Password
ffea718f,539d80f5,/_/,.config,5,5,F,-1,-1,,Key
ffea718f,5d44ff0b,/example/app/,.config,14,14,F,64,80,,Key:Token
ffea718f,5d44ff0b,/example/app/,.config,4,4,F,159,175,,Key:Token
ffea718f,5d44ff0b,/example/app/,.config,5,5,F,177,193,,Key:Token
ffea718f,5d44ff0b,/example/app/,.config,22,22,F,88,104,,Key:Token
ffea718f,5d44ff0b,/example/app/,.config,18,18,F,73,89,,Key:Token
ffea718f,6dffc537,/src/,.cs,563,563,F,,,,Password
ffea718f,6dffc537,/src/,.cs,568,568,F,,,,Password
ffea718f,6dffc537,/src/,.cs,71,71,Template,23,28,,Password
ffea718f,6dffc537,/src/,.cs,101,101,F,,,,Auth
ffea718f,6dffc537,/src/,.cs,395,395,F,,,,Auth
ffea718f,832e9275,/src/security/,.cs,162,162,F,,,,Token
ffea718f,832e9275,/src/security/,.cs,137,137,F,,,,Token
ffea718f,9212ab55,/src/,.cs,355,355,F,,,,Password
ffea718f,9212ab55,/src/,.cs,67,67,Template,23,28,,Password
ffea718f,92ab9a36,/app/,.yml,78,78,F,,,,API
ffea718f,92ab9a36,/app/,.yml,74,74,F,,,,Auth
ffea718f,96e5e346,/test/example/,.cs,170,170,Template,28,32,,Password
ffea718f,96e5e346,/test/example/,.cs,186,186,Template,28,33,,Password
ffea718f,96e5e346,/test/example/,.cs,115,115,Template,90,94,,Password
ffea718f,96e5e346,/test/example/,.cs,117,117,Template,90,94,,Password
ffea718f,ade75ade,/src/,.cs,200,200,F,,,,Password
ffea718f,ade75ade,/src/,.cs,272,272,F,,,,Password
ffea718f,ba574d88,/src/security/,.cs,26,26,F,,,,Token
ffea718f,db297253,/docs/vendor/,.js,26,26,F,,,,Auth
ffea718f,db297253,/docs/vendor/,.js,19,19,F,,,,Dropbox App secret
ffea718f,db297253,/docs/vendor/,.js,20,20,F,30639,30652,,CMD ConvertTo-SecureString
ffea718f,dc43559f,/docs/,.js,155,155,F,,,,Token
ffea718f,fd2d279d,/src/model/,.cs,57,57,F,,,,Password
ffea718f,fd2d279d,/src/model/,.cs,59,59,F,,,,Password
